Name,BSE Code,NSE Code,Industry,Current Price,Sales latest quarter,Profit after tax latest quarter,YOY Quarterly sales growth,YOY Quarterly profit growth,Sales growth,Profit growth,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,EBIT latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,NPM latest quarter,Equity Capital latest quarter,EPS latest quarter,Operating profit 2quarters back,Operating profit 3quarters back,Sales 2quarters back,Sales 3quarters back,Net profit 2quarters back,Net profit 3quarters back,Operating profit growth,Last result date,Expected quarterly sales growth,Expected quarterly sales,Expected quarterly operating profit,Expected quarterly net profit,Expected quarterly EPS,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,EBIT preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,NPM preceding quarter,Equity Capital preceding quarter,EPS preceding quarter,Market Capitalization,join_key
Iris Clothings,-1.0,IRISDOREME,Textiles - Products,69.75,42.12,3.49,12.05,56.5,9.22,47.82,7.08,0.02,7.1,1.59,5.51,0.97,4.54,1.05,0.0,3.49,41.33,16.81,8.29,16.31,0.43,7.53,6.34,32.16,24.16,3.66,3.08,35.67,202403.0,8.2,26.14,6.18,3.83,0.47,23.48,5.4,0.02,5.42,1.61,3.81,1.02,2.79,0.8,1.99,0.0,1.99,23.0,8.48,16.31,0.24,568.97,-1.0_IRISDOREME
IRM Energy,544004.0,IRMENERGY,Miscellaneous,463.1,214.25,8.98,-11.89,122.28,-9.14,35.79,22.61,9.79,32.4,7.4,25.0,8.51,16.49,5.26,0.0,8.98,26.3,10.55,4.19,41.06,2.19,41.96,42.07,220.12,230.04,26.02,26.91,32.62,202403.0,-8.3,210.94,36.27,21.42,5.22,226.11,42.24,7.13,49.37,7.26,42.11,6.97,35.14,10.8,23.78,0.0,23.78,18.68,10.52,30.26,5.79,1901.46,544004.0_IRMENERGY
Ironwood Educa,508918.0,__NA__,Miscellaneous,24.67,1.47,-0.23,182.69,65.67,71.73,18.09,0.16,-5.42,0.28,0.11,0.17,0.36,-5.73,0.02,-5.54,-5.75,100.0,10.88,-15.65,7.91,-7.27,-0.33,-0.17,0.84,0.95,0.53,-0.41,56.0,202403.0,102.77,1.93,-0.34,-0.91,-1.16,0.81,-0.19,0.02,-0.17,0.11,-0.28,0.12,-0.4,0.0,-0.4,0.0,-0.4,-23.46,-49.38,7.91,-0.51,19.51,508918.0___NA__
ISF,526859.0,__NA__,Finance & Investments,2.0,0.35,-0.88,25.0,-486.67,21.69,-7500.0,-1.11,0.0,-1.11,0.0,-1.11,0.07,-1.18,-0.31,0.0,-0.88,100.0,-317.14,-251.43,9.5,-0.09,0.13,0.11,0.58,0.51,0.02,0.01,-1200.0,202403.0,24.37,0.63,-0.2,-0.27,-0.03,0.58,0.23,0.0,0.23,0.0,0.23,0.01,0.22,0.12,0.1,0.0,0.1,39.66,17.24,9.5,0.01,19.01,526859.0___NA__
ISGEC Heavy,533033.0,ISGEC,Engineering - Turnkey Services,1236.9,1867.96,71.3,-8.56,-17.22,-2.81,24.66,137.6,4.03,141.63,28.2,113.43,11.01,102.42,30.36,0.0,72.06,34.73,7.37,3.86,7.35,9.7,133.58,103.54,1473.1,1385.76,63.7,52.53,5.32,202403.0,-2.27,1354.26,106.34,71.8,9.66,1492.52,123.34,5.34,128.68,27.04,101.64,12.96,88.68,22.1,61.92,0.0,66.58,8.26,4.46,7.35,8.42,9094.86,533033.0_ISGEC
Ishaan Infrastru,540134.0,__NA__,Construction,8.34,0.0,-0.02,,0.0,,-800.0,-0.07,0.05,-0.02,0.0,-0.02,0.0,-0.02,-0.01,0.0,-0.02,,,,6.47,-0.03,-0.08,-0.05,0.0,0.0,-0.03,-0.01,-45.0,202403.0,,,,,,0.0,-0.09,0.05,-0.04,0.0,-0.04,0.01,-0.05,-0.01,-0.04,0.0,-0.04,,,6.47,-0.06,5.4,540134.0___NA__
Ishan Dyes & Ch.,531109.0,__NA__,Dyes And Pigments,57.79,26.56,3.79,86.26,225.91,18.54,111.63,4.48,0.6,5.19,0.71,4.48,0.83,3.54,-0.14,-0.11,3.68,31.21,16.87,14.27,20.97,1.76,0.69,-1.13,23.54,12.04,-0.32,-1.77,183.33,202403.0,45.42,17.51,-0.41,-1.97,-0.94,14.53,-0.82,0.87,0.05,0.7,-0.65,0.62,-1.27,0.2,-1.47,0.0,-1.47,-5.64,-10.12,20.97,-0.7,121.17,531109.0___NA__
Ishan Internat.,-1.0,ISHAN,Engineering,2.85,9.01,,,,17.33,-12.5,-0.43,,,,,,,,,0.02,,,,,0.0,,,,,,,-90.78,202309.0,,,,,,22.34,0.56,,,,,,,,,,0.97,,,,0.04,61.62,-1.0_ISHAN
Ishita Drugs,524400.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs,66.5,4.5,0.28,71.1,55.56,25.85,29.31,0.3,0.1,0.4,0.01,0.39,0.02,0.37,0.09,0.0,0.28,21.78,6.67,6.22,2.99,0.94,0.22,0.18,4.4,3.09,0.21,0.14,19.74,202403.0,35.05,4.17,0.25,0.19,0.64,3.21,0.22,0.01,0.23,0.03,0.2,0.04,0.16,0.04,0.12,0.0,0.12,6.85,3.74,2.99,0.4,19.88,524400.0___NA__
ISL Consulting,511609.0,__NA__,Finance & Investments,29.0,14.06,-1.47,356.49,3.29,38.03,406.93,-0.71,0.02,-0.69,0.01,-0.7,0.0,-0.7,0.77,0.0,-1.47,-2.35,-5.05,-10.46,12.0,-0.61,1.39,1.43,3.49,1.22,1.38,1.37,516.67,202403.0,217.92,3.88,2.7,2.68,1.11,5.43,1.68,0.17,1.85,0.03,1.82,0.0,1.82,0.0,1.82,0.0,1.82,30.94,33.52,12.0,0.76,69.6,511609.0___NA__
ISMT,532479.0,ISMTLTD,Steel - Medium / Small,131.75,596.11,22.5,-8.35,135.14,2.49,114.19,65.88,-5.08,68.29,29.05,39.24,2.74,29.01,9.6,-7.49,19.41,57.11,11.05,3.77,150.25,0.65,122.16,80.7,748.65,657.36,51.47,40.67,71.86,202403.0,2.88,676.28,90.74,65.08,2.17,642.25,104.72,7.71,112.43,23.33,89.1,2.2,86.9,24.94,61.96,0.0,61.96,16.31,9.65,150.25,2.06,3959.1,532479.0_ISMTLTD
IST,508807.0,__NA__,Auto Ancillaries,960.95,28.95,24.62,-21.9,30.68,-9.42,52.7,20.44,15.69,36.13,1.49,34.64,0.8,33.84,9.35,0.0,24.62,98.72,70.6,85.04,5.85,21.11,18.65,22.7,24.02,28.54,32.21,36.93,8.13,202403.0,-7.08,26.52,20.31,18.19,15.6,28.14,20.45,29.62,50.07,1.26,48.81,0.99,47.82,15.66,32.26,0.0,32.26,72.67,114.64,5.85,27.66,1120.88,508807.0___NA__
iStreet Network,524622.0,__NA__,Trading,4.01,0.0,-0.03,,0.0,,45.83,-0.03,0.0,-0.03,0.0,-0.03,0.0,-0.03,0.0,0.0,-0.03,,,,8.52,-0.01,-0.04,-0.02,0.0,0.0,-0.04,-0.02,48.0,202403.0,,,,,,0.0,-0.03,0.0,-0.03,0.0,-0.03,0.0,-0.03,0.0,-0.03,0.0,-0.03,,,8.52,-0.01,8.54,524622.0___NA__
Italian,-1.0,ITALIANE,Food - Processing - Indian,33.4,37.52,,,,16.73,28.41,3.81,,,,,,,,,1.26,,,,,0.85,,,,,,,13.22,202403.0,,,,,,36.1,4.07,,,,,,,,,,1.83,,,,1.69,49.36,-1.0_ITALIANE
ITC,500875.0,ITC,Cigarettes,425.5,17922.7,5122.09,1.63,0.02,-0.05,6.91,6626.22,681.78,7310.05,461.44,6848.61,12.59,6833.97,1646.75,-2.05,5190.71,63.25,36.97,28.97,1248.47,4.1,6454.24,6670.07,17774.47,17164.46,4964.52,5189.61,2.14,202403.0,0.11,17182.71,6470.89,6003.78,4.74,18019.37,6503.82,651.31,7160.65,459.45,6701.2,13.6,6682.08,1281.57,5339.63,-5.52,5406.52,36.09,30.03,1247.09,4.28,531224.95,500875.0_ITC
ITCONS E-Soluti.,543806.0,__NA__,Miscellaneous,142.9,15.72,,,,1.06,10.4,2.08,,,,,,,,,1.14,,,,,2.27,,,,,,,30.04,202403.0,,,,,,12.78,1.08,,,,,,,,,,0.77,,,,1.53,71.86,543806.0___NA__
ITD Cem,509496.0,ITDCEM,Construction,543.7,2257.72,89.51,38.39,137.68,51.6,121.41,220.55,21.6,242.15,54.35,187.8,57.42,130.38,40.82,0.0,89.55,61.57,9.77,3.97,17.18,5.21,158.17,161.55,1610.42,1832.57,53.69,52.34,86.32,202403.0,52.33,2791.48,261.42,127.56,7.42,2017.16,204.8,15.06,219.86,56.11,163.75,57.95,105.8,27.21,78.39,0.0,78.6,10.15,3.9,17.18,4.56,9340.08,509496.0_ITDCEM
ITI,523610.0,ITI,Telecommunications - Equipment,308.95,601.28,-238.94,-22.44,-227.85,-9.45,-57.63,-173.81,9.27,-164.54,14.18,-178.72,60.22,-238.94,0.0,0.0,-238.94,-7.63,-28.91,-39.74,960.89,-2.49,-52.79,-48.94,246.47,157.04,-125.8,-102.6,-107.76,202403.0,-6.34,147.08,-39.37,-107.2,-1.12,258.84,-43.49,12.64,-30.85,13.59,-44.44,57.25,-101.69,0.0,-101.69,0.0,-101.69,-16.8,-39.29,960.89,-1.06,29686.61,523610.0_ITI
ITL Industries,522183.0,__NA__,Engineering,455.05,48.19,3.26,17.85,33.61,9.56,19.11,2.85,2.48,5.33,0.46,4.87,0.43,4.44,1.07,0.0,3.37,28.35,5.91,6.99,3.2,10.17,3.21,2.53,38.43,34.41,2.01,1.82,1.63,202403.0,10.43,38.0,2.75,1.98,5.96,36.75,2.63,0.98,3.61,0.32,3.29,0.53,2.76,0.61,2.1,0.0,2.16,7.16,5.88,3.2,6.55,145.83,522183.0___NA__
IVP,507580.0,IVP,Chemicals,193.55,142.23,4.74,-18.93,-44.5,-17.38,-33.55,8.83,0.83,9.66,1.4,8.26,1.85,6.41,1.67,0.0,4.74,19.22,6.21,3.33,10.33,4.59,9.02,4.89,141.97,139.58,4.64,1.19,-29.79,202403.0,-17.26,115.48,5.24,2.21,2.14,122.33,5.09,0.69,5.78,1.4,4.38,2.0,2.38,0.67,1.71,0.0,1.71,4.16,1.4,10.33,1.66,199.93,507580.0_IVP
Iykot Hitech,522245.0,__NA__,Engineering,16.5,0.07,-0.78,-58.82,-110.81,-40.89,-73.04,-0.71,0.0,-0.71,0.04,-0.75,0.03,-0.78,0.0,0.0,-0.78,-171.43,-1014.29,-1114.29,3.04,-0.38,-0.38,-0.35,0.19,0.69,-0.39,-0.4,-70.09,202403.0,7.88,0.74,-1.8,-2.01,-0.99,0.41,-0.36,0.01,-0.35,0.04,-0.39,0.03,-0.42,0.0,-0.42,0.0,-0.42,-87.8,-102.44,3.04,-0.21,23.59,522245.0___NA__
IZMO,532341.0,IZMO,Computers - Software - Medium / Small,341.95,50.29,9.04,15.19,9.05,21.4,30.12,12.05,0.86,12.91,3.2,9.71,0.23,9.48,0.43,0.0,9.04,97.43,23.96,17.98,14.11,6.41,9.05,8.28,44.76,41.49,5.12,5.01,32.69,202403.0,21.58,50.44,10.51,6.07,4.29,50.21,10.53,0.72,11.25,4.13,7.12,0.23,6.89,0.0,6.88,0.0,6.88,20.97,13.7,13.42,5.12,483.8,532341.0_IZMO
J & K Bank,532209.0,J&KBANK,Banks - Private Sector,115.8,2910.35,633.44,15.84,34.03,19.86,50.14,2205.58,228.69,2434.27,0.0,2434.27,1603.86,830.41,190.61,0.0,633.44,100.0,75.78,21.77,110.13,5.75,1782.47,1594.9,2764.44,2657.21,383.77,331.24,30.59,202403.0,19.98,3188.19,2066.42,461.34,4.19,2881.2,1975.38,185.77,2161.15,0.0,2161.15,1600.29,560.86,139.07,422.77,0.0,422.77,68.56,14.67,,3.84,12751.68,532209.0_J&KBANK
J A Finance,543860.0,__NA__,Finance & Investments,28.2,0.68,0.34,54.55,383.33,40.37,146.34,0.5,0.0,0.5,0.0,0.5,0.11,0.39,0.05,0.0,0.34,100.0,73.53,50.0,10.65,,0.69,0.66,0.81,1.0,0.29,0.2,75.4,202403.0,46.16,1.46,1.02,0.91,,0.56,0.35,0.0,0.35,0.0,0.35,0.11,0.24,0.06,0.18,0.0,0.18,62.5,32.14,10.65,,30.03,543860.0___NA__
J B Chemicals &,506943.0,JBCHEPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,1824.0,861.73,126.16,13.04,43.97,10.63,35.82,198.12,16.63,214.75,40.74,174.01,9.41,164.6,38.44,0.0,126.16,65.15,22.99,14.64,15.52,8.13,243.54,232.11,881.74,896.2,150.59,142.32,28.91,202403.0,10.72,992.28,255.89,204.94,13.2,844.51,223.12,7.35,230.47,34.03,196.44,12.49,183.95,50.38,133.57,0.0,133.57,26.42,15.82,15.5,8.61,28310.85,506943.0_JBCHEPHARM
J D Orgochem,524592.0,__NA__,Trading,17.64,55.79,3.37,11.89,111.95,9.69,2085.19,4.67,1.2,5.87,0.72,5.15,0.29,4.86,1.48,0.0,3.37,28.75,8.37,6.04,13.49,2.54,,,,,,,343.86,202403.0,,,,,,50.68,4.88,0.59,4.78,0.65,4.13,0.1,4.72,1.32,2.9,0.69,3.39,9.63,5.72,,2.56,23.37,524592.0___NA__
J J Finance Corp,523062.0,__NA__,Finance & Investments,21.78,0.3,0.19,500.0,480.0,85.37,362.5,0.22,0.0,0.22,0.0,0.22,0.0,0.22,0.03,0.0,0.19,100.0,73.33,63.33,2.82,0.67,0.06,0.04,0.13,0.11,0.02,0.02,140.0,202403.0,237.99,0.37,0.19,0.19,0.66,0.22,0.16,0.0,0.16,0.0,0.16,0.0,0.16,0.03,0.13,0.0,0.13,72.73,59.09,2.82,0.46,6.14,523062.0___NA__
J K Cements,532644.0,JKCEMENT,Cement - North India,4433.7,3105.77,213.94,11.8,99.31,18.89,88.66,559.94,55.18,605.62,153.0,452.62,114.94,347.18,127.5,9.5,219.68,63.21,18.03,6.89,77.27,28.44,466.96,407.79,2752.77,2762.63,175.72,113.47,56.07,202403.0,19.14,3291.42,551.72,273.76,35.43,2934.83,625.11,38.45,663.56,140.44,523.12,114.13,408.99,125.19,283.8,0.0,283.8,21.3,9.67,77.27,36.73,34258.43,532644.0_JKCEMENT
J Kumar Infra,532940.0,JKIL,Construction,892.0,1424.97,99.68,25.64,34.94,16.08,19.75,203.12,8.69,211.81,41.18,170.63,36.67,133.96,34.29,0.0,99.68,22.87,14.25,7.0,37.83,13.17,159.57,161.91,1104.18,1131.32,73.44,72.83,17.92,202403.0,16.41,1317.02,189.58,106.81,14.12,1218.73,179.47,7.12,186.59,43.11,143.48,32.54,110.94,28.3,82.64,0.0,82.64,14.73,6.78,37.83,10.92,6749.34,532940.0_JKIL
J Taparia Proj,538539.0,__NA__,Miscellaneous,28.32,3.16,-0.17,3850.0,-383.33,2446.15,,-0.16,0.0,-0.16,0.01,-0.17,0.0,-0.17,0.0,0.0,-0.17,0.95,-5.06,-5.38,16.2,-0.1,-0.04,-4.08,0.0,0.9,-0.04,-4.08,-72200.0,202403.0,,,,,,0.15,-2.04,0.0,-2.04,0.0,-2.04,0.0,-2.04,0.0,-2.05,0.0,-2.05,-1360.0,-1366.67,16.2,-1.27,45.88,538539.0___NA__
J.G.Chemicals,544138.0,JGCHEM,Chemicals,235.8,181.36,13.09,-6.64,15.74,-14.62,-40.78,17.14,2.98,20.12,1.35,18.77,0.63,18.14,4.55,0.0,13.6,20.38,9.45,7.5,39.19,3.34,,,,,,,-40.28,202403.0,,,,,,161.32,14.78,1.69,16.47,1.17,15.3,0.62,14.68,4.04,10.22,0.0,10.64,9.16,6.6,,3.22,924.0,544138.0_JGCHEM
Jackson Invest,538422.0,__NA__,Finance & Investments,0.96,0.16,-0.13,14.29,-186.67,-64.5,-138.71,-0.14,0.0,-0.14,0.0,-0.14,0.0,-0.14,-0.01,0.0,-0.13,18.75,-87.5,-81.25,29.07,0.0,0.06,-0.05,0.14,0.15,0.05,-0.05,-129.27,202403.0,-13.59,0.13,-0.03,-0.03,0.0,0.15,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,6.67,6.67,29.07,0.0,27.91,538422.0___NA__
Jagan Lamps,530711.0,__NA__,Auto Ancillaries,98.11,14.12,1.14,-0.21,14.0,9.41,10.53,1.73,0.18,1.91,0.33,1.58,0.07,1.51,0.37,0.0,1.14,27.76,12.25,8.07,7.3,1.56,1.22,0.94,14.47,10.34,0.68,0.51,9.3,202403.0,12.15,11.6,1.07,0.69,0.95,12.24,0.93,0.25,1.18,0.34,0.84,0.04,0.8,0.19,0.6,0.0,0.6,7.6,4.9,7.3,0.82,71.63,530711.0___NA__
Jagatjit Inds.,507155.0,__NA__,Breweries & Distilleries,220.95,130.15,1.99,-0.54,-69.34,9.84,48.11,4.75,6.05,10.83,2.37,8.46,6.47,1.96,0.0,-0.03,1.96,36.36,3.65,1.53,46.66,0.42,3.33,4.74,140.25,136.66,2.38,2.64,208.3,202403.0,11.08,151.81,4.94,-4.19,-0.9,150.39,4.64,4.96,9.62,2.48,7.14,6.5,0.62,0.0,0.64,-0.02,0.62,3.09,0.43,46.41,0.13,1033.66,507155.0___NA__
Jagjanani Text.,532825.0,__NA__,Textiles - Cotton/Blended,12.32,0.0,-0.03,,-175.0,,38500.0,-0.04,0.01,-0.03,0.0,-0.03,0.0,-0.03,0.0,0.0,-0.03,,,,15.6,-0.02,-0.05,3.92,0.0,3.98,-0.04,3.92,-23.08,202403.0,,,,,,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,,,15.6,-0.01,19.22,532825.0___NA__
Jagran Prakashan,532705.0,JAGRAN,Entertainment / Electronic Media Software,91.5,509.64,6.02,10.94,-74.13,4.19,20.0,25.24,24.01,49.25,29.03,20.22,7.82,12.4,6.37,0.0,6.02,79.0,4.95,1.18,43.53,1.05,71.94,69.42,458.73,454.58,41.52,43.9,6.86,202403.0,4.36,474.41,68.75,33.47,1.54,510.96,104.76,26.68,131.44,28.1,103.34,6.26,97.08,23.6,73.48,0.0,73.48,20.5,14.38,43.53,3.39,1991.53,532705.0_JAGRAN
Jagsonpal Fin.,530601.0,__NA__,Finance & Investments,9.75,0.5,0.48,2400.0,,900.0,700.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.0,0.48,100.0,96.0,96.0,5.5,0.87,-0.04,-0.07,0.0,0.0,-0.04,-0.07,700.0,202403.0,,,,,,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,,,5.5,-0.04,5.36,530601.0___NA__
Jagsonpal Pharma,507789.0,JAGSNPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,339.0,43.49,3.55,-21.57,-36.61,-11.83,-22.53,2.67,2.49,5.16,0.4,4.76,0.22,4.54,0.98,0.0,3.55,59.39,6.14,8.16,13.22,1.34,8.37,8.63,57.83,60.15,7.47,7.48,-33.33,202403.0,-10.8,53.65,6.34,5.67,2.14,47.23,3.4,2.52,5.92,0.41,5.51,0.23,5.28,1.31,3.96,0.0,3.96,7.2,8.38,13.1,1.51,896.34,507789.0_JAGSNPHARM
Jai Balaji Inds.,532976.0,JAIBALAJI,Steel - Large,883.0,1845.6,272.98,7.05,2187.0,4.71,570.14,240.81,156.23,397.04,22.8,374.24,17.61,356.63,83.65,0.0,272.98,35.57,13.05,14.79,163.65,16.68,213.48,205.18,1546.63,1482.56,201.55,170.43,174.58,202403.0,4.99,1556.61,218.98,180.39,10.46,1538.99,246.8,23.44,270.24,20.64,249.6,15.0,234.6,0.0,234.6,0.0,234.6,16.04,15.24,160.45,14.62,15228.05,532976.0_JAIBALAJI
Jai Corp,512237.0,JAICORPLTD,Plastics Products,384.75,122.74,23.51,-1.64,228.35,-22.09,136.05,15.81,16.89,32.79,2.88,29.91,0.05,29.77,6.3,-0.09,23.47,34.52,12.88,19.2,17.85,1.31,13.07,6.68,117.88,115.55,11.57,5.5,9.04,202403.0,-19.43,93.1,8.14,5.61,0.31,106.89,11.9,7.39,19.5,3.09,16.41,0.06,16.14,4.2,12.15,-0.21,11.94,11.13,11.37,17.85,0.67,6865.82,512237.0_JAICORPLTD
Jai Mata Glass,523467.0,__NA__,Trading,1.77,0.11,0.06,120.0,200.0,40.62,100.0,0.02,0.04,0.06,0.0,0.06,0.0,0.06,0.0,0.0,0.06,100.0,18.18,54.55,10.0,0.01,0.01,0.05,0.11,0.14,0.02,-0.07,300.0,202403.0,74.49,0.24,0.06,0.06,0.01,0.1,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,10.0,10.0,10.0,0.0,17.7,523467.0___NA__
Jaihind Synth,514312.0,__NA__,Textiles - Processing,27.54,0.13,0.08,160.0,700.0,,0.0,0.09,0.0,0.09,0.0,0.09,0.0,0.09,0.01,0.0,0.08,100.0,69.23,61.54,8.51,0.09,0.01,-0.02,0.04,0.01,0.01,-0.02,116.67,202403.0,88.33,0.02,-0.02,-0.02,-0.03,0.02,-0.05,0.0,-0.05,0.0,-0.05,0.0,-0.05,0.0,-0.05,0.0,-0.05,-250.0,-250.0,8.51,-0.06,23.54,514312.0___NA__
Jain Irrigat-DVR,570004.0,JISLDVREQS,Plastics Products,41.68,1092.49,29.87,7.78,85.3,,,175.14,-2.04,184.81,44.26,140.55,103.53,25.31,4.89,-11.71,20.42,43.53,16.03,2.73,92.48,10.58,,,,,,,,201506.0,,,,,,1548.56,232.64,10.87,243.51,44.43,199.08,101.76,97.32,14.76,82.56,0.0,82.56,15.02,5.33,,42.79,80.41,570004.0_JISLDVREQS
Jain Irrigation,500219.0,JISLJALEQS,Plastics Products,75.61,1726.57,30.89,-1.08,132.03,8.04,-89.2,223.98,-55.53,216.66,64.97,151.69,106.37,-2.89,7.79,-48.21,-10.68,44.1,12.97,2.17,137.35,-0.13,173.48,215.09,1361.92,1701.04,8.25,36.64,38.89,202403.0,8.85,1851.54,233.91,53.92,0.66,1357.77,165.06,12.87,177.93,59.11,118.82,107.89,10.93,2.34,8.59,0.0,8.59,12.16,0.63,137.35,0.15,5125.93,500219.0_JISLJALEQS
Jain Marmo Inds,539119.0,__NA__,Miscellaneous,23.0,1.04,0.35,52.94,3400.0,22.48,-36.36,0.51,0.01,0.52,0.02,0.5,0.03,0.47,0.12,0.0,0.35,68.27,49.04,33.65,3.13,1.12,-0.14,-0.12,0.13,0.14,-0.09,-0.13,241.67,202403.0,30.27,0.18,-0.1,-0.15,-0.48,0.27,-0.06,0.02,-0.04,0.02,-0.06,0.03,-0.09,-0.02,-0.07,0.0,-0.07,-22.22,-25.93,3.13,-0.22,7.2,539119.0___NA__
Jainam Ferro,-1.0,JAINAM,Mining / Minerals / Metals,145.0,90.63,5.35,,,,,-0.71,2.68,8.71,0.72,7.99,0.77,7.22,1.87,0.0,-0.01,36.28,6.07,5.39,10.56,0.0,,,,,,,,202403.0,,,,,,,,,,,,,,,,,,,,10.56,,153.14,-1.0_JAINAM
Jainco Projects,526865.0,__NA__,Construction,6.64,0.14,0.06,-33.33,500.0,-31.25,-100.0,0.1,0.0,0.1,0.04,0.06,0.0,0.06,0.0,0.0,0.06,100.0,71.43,42.86,10.0,0.06,0.01,-0.03,0.03,0.03,0.0,-0.04,-72.22,202403.0,-14.39,0.03,-0.01,-0.01,-0.01,0.02,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.03,0.0,-0.03,-100.0,-150.0,10.0,-0.03,6.64,526865.0___NA__
Jainex Aamcol,505212.0,__NA__,Auto Ancillaries,152.0,6.12,0.31,18.38,72.22,3.46,-57.38,0.7,0.03,0.73,0.18,0.55,0.1,0.45,0.14,0.0,0.31,67.48,11.44,5.07,1.5,2.07,0.61,0.39,5.33,4.52,0.34,-0.08,-40.2,202403.0,4.31,4.71,0.4,0.15,1.03,4.98,0.12,0.0,0.12,0.15,-0.03,0.12,-0.15,-0.11,-0.05,0.0,-0.05,2.41,-1.0,1.5,-0.33,22.81,505212.0___NA__
Jaipan Industrie,505840.0,__NA__,Trading,37.0,7.32,-10.36,-12.65,-867.41,-42.39,-3539.39,-10.14,-0.02,-10.16,-0.03,-10.13,0.22,-10.35,0.0,0.0,-10.36,9.84,-138.52,-141.53,6.1,-16.98,-0.02,-0.42,4.01,5.27,-0.13,-0.5,-1222.92,202403.0,-27.41,3.83,-1.06,-1.31,-2.15,5.93,-0.18,0.0,-0.18,0.11,-0.29,0.07,-0.36,0.0,-0.36,0.0,-0.36,-3.04,-6.07,6.1,-0.59,22.56,505840.0___NA__
Jalan Transol.,-1.0,JALAN,Miscellaneous,3.7,2.44,,,,-44.58,-36.0,0.08,,,,,,,,,-15.75,,,,,-10.83,,,,,,,-73.48,202403.0,,,,,,2.93,0.4,,,,,,,,,,0.13,,,,0.09,5.38,-1.0_JALAN
James Warren Tea,538564.0,__NA__,Tea,217.8,5.16,-8.15,-44.75,37.4,-10.49,-80.19,-21.65,12.6,-9.05,0.66,-9.71,0.0,-9.71,-1.56,0.0,-8.15,48.45,-419.57,-157.95,3.7,-22.03,11.2,-3.72,49.88,24.31,16.58,-1.55,-1478.57,202403.0,-8.71,22.19,-17.08,-18.13,-48.99,37.46,-7.04,2.58,-4.46,0.72,-5.18,0.0,-5.18,-0.18,-5.0,0.0,-5.0,-18.79,-13.35,3.7,-13.51,80.59,538564.0___NA__
Jamna Auto Inds.,520051.0,JAMNAAUTO,Auto Ancillaries,123.35,640.15,54.77,0.99,4.34,4.36,22.01,88.72,0.56,89.28,10.07,79.21,1.24,77.97,23.19,0.0,54.77,35.67,13.86,8.56,39.88,1.37,79.12,73.12,607.36,575.26,50.11,45.59,24.88,202403.0,4.48,601.0,79.44,67.03,1.68,604.01,86.32,1.02,87.34,12.2,75.14,1.34,73.8,18.86,54.94,0.0,54.94,14.29,9.1,39.87,1.38,4920.92,520051.0_JAMNAAUTO
Jamshri Realty,502901.0,__NA__,Construction,11116.0,1.6,-0.28,58.42,63.64,38.56,26.39,0.01,0.39,0.45,0.29,0.16,0.43,-0.32,0.0,-0.05,-0.33,100.0,0.62,-17.5,6.99,-47.21,-1.05,-0.77,1.25,1.06,-1.41,-1.27,18.48,202403.0,46.92,1.56,-0.78,-1.68,-239.91,1.49,0.02,0.63,0.7,0.24,0.46,0.81,-0.4,0.0,-0.35,-0.05,-0.4,1.34,-23.49,6.99,-57.22,77.65,502901.0___NA__
Jana Small Finan,544118.0,JSFB,Banks - Private Sector,691.8,1111.08,321.68,30.94,297.14,30.51,161.57,506.68,179.87,686.55,0.0,686.55,520.06,166.49,-155.19,0.0,321.68,100.0,45.6,28.95,104.59,30.76,412.57,325.32,979.03,884.91,122.85,90.36,60.67,202403.0,,,,,,1038.02,484.65,139.52,624.17,0.0,624.17,489.53,134.64,0.0,134.64,0.0,134.64,46.69,12.97,,26.54,7235.57,544118.0_JSFB
Janus Corporatio,542924.0,__NA__,Construction,6.27,29.86,,,,8.12,2.78,0.39,,,,,,,,,0.2,,,,,0.15,,,,,,,-6.85,202403.0,,,,,,9.04,0.29,,,,,,,,,,0.17,,,,0.13,8.4,542924.0___NA__
Jasch Gauging,544112.0,__NA__,Electronics - Components,839.15,17.23,4.94,,,,,6.21,0.74,6.95,0.23,6.72,0.03,6.69,1.75,0.0,4.94,57.86,36.04,28.67,4.53,10.9,,,,,,,,202403.0,,,,,,12.47,4.32,1.08,5.4,0.22,5.18,0.03,5.15,1.3,3.86,0.0,3.86,34.64,30.95,,8.52,380.3,544112.0___NA__
