Name,BSE Code,NSE Code,Industry,Current Price,Number of equity shares 10years back,Average return on equity 5Years,Average return on equity 3Years,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization,join_key
Ind Bank Housing,523465.0,__NA__,Finance - Housing,67.04,1.0,,,-119.19,-119.0,-100.93,,,,,0.0,0.0,0.0,-3.65,5.67,8.86,43.88,,,,-95.45,106.51,11525.0,0.0,0.0,0.0,0.0,1.87,-4.63,,22.42,22.42,13.24,32.1,35.45,28.05,5.99,6950.87,0.0,0.0,67.04,523465.0___NA__
IND Renewable,536709.0,__NA__,Power Generation And Supply,14.85,1.51,-1.22,-0.19,2.17,2.23,1.85,,,,,0.0,0.0,0.0,-1.48,-2.28,-2.6,-3.76,-3.12,-1.87,16.2,,,4456.0,,0.0,,40.56,-2.12,-0.79,90.3,84.11,86.48,78.3,13.41,24.55,24.92,23.71,0.0,0.0,0.0,20.68,536709.0___NA__
Ind-Agiv Commer.,517077.0,__NA__,Trading,69.45,,,,57.1,49.2,,0.74,2.89,2.75,,0.0,0.0,0.01,0.59,4.93,7.34,7.34,,,,-2.47,,1074.0,0.0,207.64,102.11,91.86,-3.54,-6.79,4.88,5.12,4.68,4.29,3.39,2.45,2.55,2.58,513.15,0.0,0.0,6.95,517077.0___NA__
Ind-Swift,524652.0,INDSWFTLTD,Pharmaceuticals - Indian - Formulations,21.42,5.03,,,-128.34,-131.66,-10.67,3.4,3.95,3.91,1.99,74.22,0.0,0.0,15.04,10.89,6.53,0.15,,,,10.05,-2.06,14785.0,0.0,95.54,110.66,95.42,-3.04,-2.15,8.13,8.13,8.13,8.13,24.37,28.44,30.6,27.69,-57.78,0.0,-1.77,116.03,524652.0_INDSWFTLTD
Ind-Swift Labs.,532305.0,INDSWFTLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,135.15,4.1,5.67,10.29,102.14,108.42,145.22,1.37,1.31,1.3,1.22,75.45,74.22,0.0,13.43,10.53,8.57,6.52,0.44,3.93,37.22,19.48,18.01,23397.0,0.0,120.26,177.06,169.26,2.42,4.46,17.27,15.79,15.79,17.21,425.13,186.95,151.22,158.32,186.9,0.21,-11.47,798.61,532305.0_INDSWFTLAB
Indag Rubber,509162.0,__NA__,Miscellaneous,243.3,2.63,6.03,5.17,75.12,71.05,48.67,3.06,3.35,3.0,5.19,0.0,0.0,5.04,6.62,7.59,8.22,14.45,9.46,6.33,6.19,6.4,10.43,6729.0,96.94,43.55,63.31,74.55,5.27,4.37,25.91,18.62,20.93,19.3,235.99,280.35,533.79,152.01,92.25,-1.48,-0.58,638.68,509162.0___NA__
Indbank Merchant,511473.0,INDBANK,Finance & Investments,51.59,4.44,7.22,8.43,14.48,13.57,10.43,,,0.01,,0.0,0.0,0.0,12.51,11.06,10.12,10.4,6.98,6.29,27.86,25.27,25.91,44131.0,0.0,69.76,78.58,184.43,5.5,6.49,23.43,17.68,20.55,20.25,55.92,40.83,57.25,17.97,58.0,0.05,-0.1,228.97,511473.0_INDBANK
Indbull.RealEst.,532832.0,IBREALEST,Construction,148.0,42.5,-4.79,-9.43,76.59,78.25,168.72,0.13,0.06,-0.01,-0.25,0.0,0.0,0.0,-5.49,0.09,5.7,5.95,6.91,8.32,,2.69,27.27,314158.0,0.0,57.29,72.02,19.91,-2.61,-4.71,66.95,13.83,21.04,38.65,3687.32,4155.27,4186.13,2310.86,1874.83,10.76,1.9,9396.97,532832.0_IBREALEST
Indegene,544172.0,INDGN,Miscellaneous,556.9,,,29.25,,,,,,,,0.0,0.0,0.0,35.98,40.11,40.11,40.11,,,,19.13,,,0.0,92.43,107.81,59.63,11.52,16.19,37.98,37.98,37.98,37.98,,,,,71.08,,,13324.9,544172.0_INDGN
Indergiri Fin.,531505.0,__NA__,Finance & Investments,52.96,0.51,-3.01,-5.37,10.14,10.1,9.72,0.0,0.05,0.0,3.16,0.0,0.0,0.0,-2.19,-1.08,-0.43,0.04,-1.08,-1.91,,-12.77,-1.41,1434.0,0.0,0.0,0.0,0.0,-2.3,-4.07,69.12,136.75,67.5,67.5,1.52,2.53,2.65,5.5,-285.5,0.0,0.0,26.8,531505.0___NA__
India Cem. Cap.,511355.0,__NA__,Finance & Investments,21.6,2.17,2.47,5.13,7.05,7.17,12.32,,,,,0.0,0.0,0.0,1.9,1.06,1.11,1.1,2.16,2.48,60.34,12.47,0.87,14003.0,0.0,200.0,147.55,312.13,0.59,1.26,37.6,27.15,26.92,36.72,10.61,4.97,6.71,8.73,274.39,0.0,0.0,46.89,511355.0___NA__
India Cements,530005.0,INDIACEM,Cement - South India,287.5,30.72,-0.84,-2.93,183.86,177.41,110.05,2.6,2.78,3.01,3.28,0.0,0.0,22.31,-0.42,1.92,2.83,4.21,0.26,-0.37,,7.27,11.13,195974.0,5.03,57.85,45.64,47.16,-0.39,-1.46,42.51,41.25,40.78,47.21,5186.13,3356.19,4990.12,1869.18,85.28,-0.05,0.88,8909.52,530005.0_INDIACEM
India Finsec,535667.0,__NA__,Finance & Investments,130.25,,8.88,10.77,21.07,19.53,,0.0,2.26,1.16,,0.0,0.0,0.0,10.81,10.34,8.62,8.29,,7.69,36.75,58.28,,793.0,0.0,1.7,8.0,0.0,3.24,2.95,24.82,26.16,24.99,21.75,18.38,36.79,33.55,26.15,-66.06,0.0,0.0,324.86,535667.0___NA__
India Gelatine,531253.0,__NA__,Chemicals,393.25,0.94,11.51,14.75,155.22,146.92,126.06,3.5,3.06,2.23,2.69,0.0,0.0,2.84,18.27,13.86,11.05,8.33,7.15,9.48,27.85,10.89,8.21,5097.0,22.32,24.41,23.64,17.18,8.73,11.33,11.8,13.78,13.72,11.7,63.87,60.89,79.76,63.68,97.49,0.0,0.0,278.91,531253.0___NA__
India Glycols,500201.0,INDIAGLYCO,Breweries & Distilleries,935.0,3.1,9.87,8.43,377.41,333.92,95.94,2.4,2.94,4.57,3.68,0.0,0.0,21.67,9.38,10.46,12.47,10.43,8.96,10.54,-9.81,11.33,10.28,42869.0,13.24,50.85,56.98,35.02,3.34,3.22,15.29,15.19,14.42,14.11,1290.78,862.74,494.92,291.81,22.34,0.65,-0.17,2894.69,500201.0_INDIAGLYCO
India Grid Trust,540565.0,INDIGRID,Power Generation And Supply,136.14,,8.06,7.14,66.87,72.1,,,,,,0.0,0.0,523.06,7.78,8.19,8.04,8.04,,,0.8,88.79,,,128.01,60.3,64.79,62.55,2.72,1.85,26.95,23.51,23.51,24.56,9836.11,2846.39,,,26.61,,,10668.94,540565.0_INDIGRID
India Home Loans,530979.0,__NA__,Finance - Housing,31.6,1.14,1.5,-0.71,27.38,24.56,15.52,,,,,0.0,0.0,0.07,8.4,9.49,9.81,9.1,3.16,2.93,,68.5,69.09,2719.0,0.0,0.0,0.0,0.0,0.06,-0.48,27.23,49.44,39.3,37.81,53.99,97.83,153.39,57.16,643.18,0.0,0.0,45.14,530979.0___NA__
India Infr Trust,542543.0,__NA__,Construction,92.0,,,5.61,,,,0.68,,,,0.0,0.0,0.0,5.77,4.97,4.97,4.97,,,,64.6,,,0.0,20.04,16.98,,,1.35,12.23,12.23,12.23,12.23,,,,,-152.01,,,6108.8,542543.0___NA__
India Lease Dev.,500202.0,__NA__,Finance & Investments,10.12,1.47,1.77,-1.13,7.2,6.32,5.48,,,,,0.0,0.0,0.0,-1.1,2.13,1.29,0.52,0.26,0.8,11.11,-299.32,-143.74,8426.0,0.0,0.0,151.62,1841.59,1.02,-1.05,288.67,165.9,138.6,132.6,16.61,12.5,12.35,7.47,-15.86,0.0,-0.01,14.88,500202.0___NA__
India Motor Part,590065.0,IMPAL,Auto Ancillaries,1089.5,1.25,4.1,4.36,1147.93,749.37,171.07,7.72,7.57,8.39,9.34,0.0,0.0,20.97,5.42,5.05,4.99,7.69,4.47,3.97,2.61,8.19,7.7,8595.0,38.56,48.42,52.82,51.84,3.64,3.94,16.16,18.05,17.24,16.04,849.64,754.16,696.88,352.16,62.94,8.04,-7.51,1359.7,590065.0_IMPAL
India Nipp.Elec.,532240.0,INDNIPPON,Auto Ancillaries,822.35,2.26,9.5,9.2,199.36,185.57,98.59,8.03,8.66,11.29,13.27,0.0,0.0,17.42,11.46,12.11,15.03,14.84,10.72,10.86,-8.66,9.26,10.47,18399.0,36.87,71.33,82.98,72.26,7.4,7.06,19.73,20.86,20.73,19.43,834.39,959.83,621.23,225.55,69.62,0.13,-2.5,1860.26,532240.0_INDNIPPON
India Pesticides,543311.0,IPL,Pesticides / Agrochemicals - Indian,235.05,,22.14,17.96,,,,5.9,6.96,6.37,,0.0,62.11,6.03,26.37,33.62,32.9,32.9,,22.56,-22.06,22.73,,129255.0,8.52,120.82,120.49,191.03,19.76,15.87,22.37,22.37,22.37,22.37,,,,,174.22,2.4,0.04,2706.9,543311.0_IPL
India Power Corp,-1.0,DPSCLTD,Power Generation And Supply,18.05,97.38,1.21,1.15,16.84,16.61,10.59,4.38,0.0,2.48,26.87,0.0,0.0,4.87,3.62,3.53,3.13,3.16,0.2,0.62,31.75,5.77,3.67,34523.0,30.24,63.76,46.4,145.3,0.7,0.66,80.31,70.8,73.33,73.06,1134.46,1309.75,4338.23,1353.57,29.72,0.25,0.0,1757.7,-1.0_DPSCLTD
INDIA SHELTE FIN,544044.0,INDIASHLTR,Finance - Housing,741.95,,11.77,13.49,,,,,,,,0.0,0.0,0.0,11.58,11.12,11.12,11.12,,,,68.89,,,0.0,0.0,0.0,3.27,4.11,4.5,17.21,17.21,17.21,17.21,,,,,19.73,,,7942.63,544044.0_INDIASHLTR
India Steel,513361.0,__NA__,Steel - Medium / Small,4.41,39.81,-29.32,-53.68,3.4,3.88,4.24,1.1,1.25,4.98,4.72,0.0,0.0,0.0,-18.01,-12.17,-7.19,-3.64,-11.32,-17.65,,-50.13,-2.33,40268.0,0.0,11.06,26.13,26.08,-6.52,-8.73,,46.0,33.17,,29.46,39.81,177.94,128.98,-19666.75,0.07,-0.07,175.55,513361.0___NA__
Indiabulls Enter,543715.0,IEL,Miscellaneous,12.24,,,,,,,,,,,,,,-0.53,-0.53,-0.53,-0.53,,,,,,68270.0,0.0,163.14,,,,,165.42,165.42,165.42,165.42,,,,,1375.33,,,242.74,543715.0_IEL
Indiabulls Hous.,535789.0,IBULHSGFIN,Finance - Housing,168.85,53.33,8.26,6.77,232.64,242.25,124.35,,,,,0.0,0.0,373.86,9.81,9.81,10.43,11.14,15.91,13.26,-24.4,84.67,86.6,522033.0,4.76,0.74,0.87,0.77,1.51,1.47,9.15,11.31,9.74,7.84,12146.65,49045.43,56546.14,10610.79,104.14,-14.32,-5.73,10134.48,535789.0_IBULHSGFIN
Indiamart Inter.,542726.0,INDIAMART,Miscellaneous,2682.65,1.83,19.83,16.33,265.39,47.59,,,,,,0.0,0.0,52.31,21.55,37.5,37.5,37.5,,,,30.85,17.02,177654.0,19.83,1.57,0.68,0.41,11.99,9.82,54.3,55.23,55.23,55.23,23484.71,,,,-297.29,-3.6,5.89,16090.31,542726.0_INDIAMART
Indian,-1.0,IEML,Chemicals,411.0,,,60.82,,,,,,,,,,,24.28,24.28,24.28,24.28,,,,,,,0.0,58.57,,,,13.56,43.72,43.72,43.72,43.72,,,,,156.07,,,502.34,-1.0_IEML
Indian Acrylics,514165.0,__NA__,Textiles - Manmade,13.0,13.53,-17.33,-42.71,10.99,10.49,4.06,1.6,2.57,2.65,4.63,7.78,0.0,0.0,-0.53,4.8,5.67,10.03,-6.92,-12.26,,4.58,5.15,104837.0,0.0,12.44,11.73,18.84,-3.62,-6.98,18.88,11.24,18.11,11.25,134.24,106.36,221.25,36.13,-3.03,0.0,0.0,175.91,514165.0___NA__
Indian Bank,532814.0,INDIANB,Banks - Public Sector,545.25,48.03,11.26,12.56,349.38,373.97,312.91,,,,,0.0,0.0,744.57,4.84,5.12,5.11,5.52,9.63,10.19,50.52,55.27,57.73,313448.0,19.32,0.0,0.0,0.0,0.7,0.85,6.66,7.68,7.97,6.74,13111.95,13452.97,13364.12,5338.79,-53.01,2.3,6.51,73443.23,532814.0_INDIANB
Indian Bright St,504731.0,__NA__,Steel - Medium / Small,174.4,0.1,-7.7,-7.14,3.5,4.3,10.7,,,,,,,0.0,-34.28,-27.87,-24.89,-20.57,-8.71,-8.38,12.06,,,1178.0,0.0,0.0,,,-26.86,-32.77,,,,,1.87,1.86,1.84,3.0,0.0,64.25,-0.01,507.95,504731.0___NA__
Indian CardCloth,509692.0,INDIANCARD,Textile Machinery,275.35,0.46,0.15,1.84,120.35,129.33,200.08,1.62,1.6,1.66,1.93,0.0,0.0,5.94,2.08,0.02,-3.67,-3.5,-3.09,-2.62,16.19,-1.31,-3.29,10011.0,137.84,78.24,78.71,69.88,-1.25,1.44,24.07,24.11,24.07,24.07,79.25,54.82,90.43,40.55,131.16,0.26,0.0,163.6,509692.0_INDIANCARD
Indian Energy Ex,540750.0,IEX,Miscellaneous,187.9,81.9,42.54,41.68,5.91,4.34,,,,,,0.0,0.0,110.34,56.95,57.12,60.07,59.88,42.53,42.99,-3.37,83.5,81.16,1630991.0,38.63,50.48,3.68,65.92,22.63,20.84,45.85,39.67,39.67,41.45,9969.28,5004.45,,,-147.46,-25.77,1.77,16754.91,540750.0_IEX
Indian Hotels Co,500850.0,INDHOTEL,Hotels,616.85,107.66,4.35,8.84,27.61,32.97,20.69,3.4,7.36,7.65,7.45,0.0,0.0,111.0,9.61,5.88,6.18,5.65,2.73,4.46,17.06,22.95,19.11,430896.0,3.67,28.08,50.94,26.0,1.7,4.78,62.93,70.89,70.31,60.01,14203.73,19847.43,15189.6,7103.41,-62.11,11.91,-7.2,87804.43,500850.0_INDHOTEL
Indian Hume Pipe,504741.0,INDIANHUME,Construction,407.9,4.84,9.54,9.24,124.37,117.38,59.27,0.51,1.99,2.82,0.35,0.0,0.0,9.33,12.05,12.57,14.74,16.71,12.35,11.13,-10.49,10.77,10.82,25173.0,14.78,172.84,162.7,132.77,3.04,3.1,15.34,20.63,18.14,15.51,832.32,1421.93,1914.15,295.97,253.08,0.13,0.13,2148.91,504741.0_INDIANHUME
Indian Infotech,509051.0,__NA__,Finance & Investments,1.45,126.43,-1.15,0.37,1.81,1.91,1.95,1.61,-2.0,,24.71,0.0,0.0,0.0,0.48,-0.8,-0.56,-0.33,-0.49,-0.71,15.62,6.28,13.09,256192.0,0.0,11.44,0.0,0.0,-1.15,0.36,68.0,17.0,17.0,17.0,57.02,21.54,27.87,675.14,247.08,0.0,0.0,183.73,509051.0___NA__
Indian Link Ch.,504746.0,__NA__,Trading,200.0,0.05,-8.27,-8.02,81.0,88.8,87.0,,,,,0.0,0.0,0.0,-7.53,-7.91,-6.93,-6.04,-6.18,-8.15,16.97,,,1216.0,0.0,0.0,199.09,60.83,-7.04,-6.85,115.76,24.19,25.23,5.16,1.85,2.72,2.95,0.89,0.0,0.0,0.0,10.0,504746.0___NA__
Indian Metals,533047.0,IMFA,Mining / Minerals / Metals,750.0,5.2,15.78,20.98,229.97,200.73,169.48,2.43,2.13,2.42,1.84,0.0,0.0,37.77,25.26,18.05,16.64,14.72,12.39,13.53,53.96,20.08,20.34,43840.0,15.84,14.17,18.25,11.18,8.88,13.59,6.59,8.5,6.47,8.53,1221.37,698.65,2075.22,665.5,112.58,2.14,0.09,4046.53,533047.0_IMFA
Indian Renewable,544026.0,IREDA,Finance - Term-Lending Institutions,197.05,,14.86,16.2,,,,,,,,0.0,0.0,0.0,8.52,8.27,8.27,8.27,,,,88.42,,,0.0,0.52,0.41,0.43,1.62,2.03,32.9,32.9,32.9,32.9,,,,,-183.07,,,52962.42,544026.0_IREDA
Indian Sucrose,500319.0,__NA__,Sugar,117.2,1.55,19.71,20.18,71.67,57.61,28.65,1.67,1.81,1.91,1.15,0.0,0.0,0.0,17.86,17.68,16.91,15.19,18.92,19.48,-5.58,12.4,12.26,19506.0,0.0,50.38,62.52,37.78,5.19,6.2,3.84,3.53,4.03,4.17,35.02,26.44,58.75,5.74,127.86,0.0,-0.01,203.66,500319.0___NA__
Indian Terrain,533329.0,INDTERRAIN,Textiles - Products,76.45,3.59,-4.93,-1.21,47.67,56.96,35.21,2.0,3.2,2.81,3.08,0.0,0.0,0.0,6.32,2.35,7.01,11.12,3.52,-0.16,,6.5,9.21,22445.0,0.0,217.6,387.82,207.45,-2.09,-0.45,22.23,19.85,19.78,13.54,124.3,510.88,641.59,86.93,171.13,-0.49,-6.64,338.63,533329.0_INDTERRAIN
Indian Toners,523586.0,__NA__,Dyes And Pigments,305.0,0.81,10.79,13.21,148.3,140.12,66.35,2.77,2.87,4.52,3.71,0.0,23.61,3.5,17.07,14.1,15.18,15.58,11.99,11.59,1.95,19.48,20.51,,16.27,53.67,64.96,57.87,9.52,11.62,11.32,10.86,10.43,11.03,151.9,186.43,130.76,19.91,137.76,0.0,0.0,330.89,523586.0___NA__
Indian Wood Prod,540954.0,__NA__,Miscellaneous,29.55,,0.8,0.47,55.03,54.77,,1.86,2.54,2.74,,0.0,0.0,0.38,2.15,2.51,4.0,4.84,,1.88,-27.05,7.11,,5418.0,-6.76,95.7,99.12,67.98,0.54,0.31,79.24,46.62,46.62,70.65,252.37,527.14,,,214.89,0.0,-0.01,189.05,540954.0___NA__
IndiaNivesh,501700.0,__NA__,Finance & Investments,12.52,3.77,,,-5.66,0.78,19.59,0.09,0.03,2.78,0.02,0.0,0.0,0.0,0.61,0.32,2.98,5.06,,,,7.38,24.78,1575.0,0.0,238.52,1366.98,194.01,-3.69,-0.87,22.6,50.68,47.05,25.27,34.92,251.79,147.22,159.87,2278.27,0.0,0.0,47.26,501700.0___NA__
Indifra Ltd,-1.0,INDIFRA,Diversified - Medium / Small,34.65,,10.17,5.86,,,,4.82,2.03,,,0.0,0.0,0.0,30.61,37.99,37.99,37.99,,,,2.55,,,0.0,105.06,159.54,101.14,2.51,0.43,0.04,0.04,0.04,0.04,,,,,83.69,,,25.26,-1.0_INDIFRA
Indigo Paints,543258.0,INDIGOPNTS,Paints / Varnishes,1385.6,0.04,17.94,16.81,118.46,,,4.43,4.44,4.72,4.63,0.26,0.88,9.52,21.18,23.84,20.71,10.29,15.59,17.69,-5.84,16.67,13.71,122785.0,13.61,65.53,61.15,70.77,11.9,11.99,54.54,75.94,75.94,75.94,11396.82,,,,45.33,-4.02,-0.63,6598.36,543258.0_INDIGOPNTS
Inditrade Cap.,532745.0,__NA__,Finance & Investments,20.5,2.34,1.1,-2.11,57.58,54.43,34.87,0.01,0.0,0.0,0.1,0.0,0.0,0.0,6.42,8.67,9.31,10.4,4.64,2.95,-27.89,21.69,25.5,5402.0,0.0,62.04,11.27,108.61,0.55,-0.71,21.29,11.29,15.12,11.05,84.66,91.08,84.07,17.82,105.54,0.0,0.0,47.88,532745.0___NA__
Indl. Inv. Trust,501295.0,IITL,Finance & Investments,175.0,2.25,-1.32,5.48,131.54,150.14,231.49,0.0,0.13,0.01,0.0,0.0,0.0,0.0,5.96,-2.1,-5.4,-4.07,-4.26,-5.56,24.54,-14.3,-13.76,2828.0,0.0,20.93,15.98,13.7,-2.21,4.72,12.74,84.46,12.74,12.74,130.21,166.29,156.03,123.76,-323.33,11.6,-6.04,394.58,501295.0_IITL
Indl.& Prud.Inv.,501298.0,__NA__,Finance & Investments,6800.0,0.17,6.76,6.97,3067.79,1851.95,876.18,,,,,0.0,0.0,8.44,7.13,6.92,5.56,5.57,8.0,7.02,-0.09,80.39,84.96,1855.0,25.3,0.0,0.0,0.0,6.15,6.72,8.49,9.19,8.93,8.19,187.69,176.47,227.09,87.83,-29.97,0.0,0.0,1139.56,501298.0___NA__
Indo Amines,524648.0,INDOAMIN,Chemicals,140.85,6.58,17.25,16.93,23.03,20.22,6.81,4.27,4.51,5.78,6.76,0.0,0.0,3.57,15.99,15.65,17.48,17.84,18.47,18.22,-6.49,8.72,9.48,26759.0,10.83,78.05,88.7,78.02,6.28,6.2,20.72,18.45,19.39,18.91,311.29,313.82,237.54,30.6,82.31,0.05,0.0,995.78,524648.0_INDOAMIN
Indo Borax & Ch.,524342.0,INDOBORAX,Chemicals,176.05,3.21,17.76,17.8,53.83,43.1,24.44,3.36,6.63,7.62,1.82,0.0,0.0,1.54,24.64,24.07,23.15,21.75,16.34,17.18,-1.73,25.3,22.57,21068.0,3.25,22.5,22.24,26.74,16.43,16.81,11.27,10.03,10.74,9.96,210.16,134.5,92.7,41.76,121.66,0.1,0.0,564.95,524342.0_INDOBORAX
Indo Cotspin,538838.0,__NA__,Textiles - Cotton/Blended,63.0,0.42,-0.21,0.8,15.21,15.09,13.9,3.61,6.32,6.36,3.54,0.0,0.0,0.0,1.43,-0.23,-0.87,-0.28,-0.26,-0.76,18.14,4.53,4.06,904.0,0.0,35.75,66.96,69.19,-0.08,0.56,84.14,85.96,81.17,81.17,1.39,8.19,5.01,,27.63,0.0,0.0,26.47,538838.0___NA__
Indo Count Inds.,521016.0,ICIL,Textiles - Cotton/Blended,441.0,19.74,19.16,19.16,65.07,49.95,21.35,2.15,2.32,2.13,2.79,94.66,92.85,32.82,18.51,18.67,17.34,24.25,20.67,17.25,22.99,14.39,14.01,67263.0,12.74,55.74,74.71,48.18,10.73,10.6,14.0,12.12,9.96,12.33,2598.77,961.34,3897.66,140.5,170.09,0.78,1.01,8734.22,521016.0_ICIL
Indo Credit Cap.,526887.0,__NA__,Finance & Investments,1.95,0.72,-2.38,-1.61,8.52,8.66,9.47,,,,,0.0,0.0,0.0,-1.27,-2.14,-1.93,-1.8,-1.52,-2.09,3.65,-400.0,-176.56,11164.0,0.0,0.0,0.0,0.0,-2.16,-1.31,,,,,0.29,0.46,0.8,0.7,-6640.97,0.0,0.0,1.41,526887.0___NA__
Indo Euro Indch.,524458.0,__NA__,Trading,14.65,0.91,1.74,2.51,10.68,10.6,11.1,1.61,2.79,5.71,2.14,0.0,0.0,0.0,4.07,2.78,2.42,1.71,1.05,1.49,-5.52,-1.01,-1.47,5874.0,0.0,231.87,271.47,1049.94,1.07,1.56,43.88,43.88,41.52,41.82,7.78,10.97,6.24,10.9,197.8,0.0,0.0,13.27,524458.0___NA__
Indo National,504058.0,NIPPOBATRY,Dry Cells,591.4,,3.95,1.53,322.67,285.72,,3.47,3.93,4.6,,0.0,0.0,3.75,5.47,10.13,11.83,12.3,,5.46,-13.44,7.05,,11871.0,-6.23,72.11,103.49,112.62,3.23,1.07,17.8,14.12,12.53,10.53,266.12,261.71,342.79,124.88,101.54,0.03,-4.77,443.56,504058.0_NIPPOBATRY
Indo Rama Synth.,500207.0,INDORAMA,Textiles - Manmade,45.52,15.18,,2.85,12.76,8.5,36.12,4.87,,,8.24,0.0,0.0,0.0,10.66,10.84,10.84,5.11,,,,2.35,,25027.0,0.0,15.52,18.8,,,1.98,6.3,6.66,6.38,6.34,1006.59,623.4,494.18,223.94,1.13,0.03,-1.91,1188.57,500207.0_INDORAMA
Indo Tech.Trans.,532717.0,INDOTECH,Electric Equipment,1683.2,1.06,12.45,17.25,125.45,119.14,142.04,3.48,3.75,3.83,3.51,0.0,0.0,0.0,21.61,14.81,9.76,6.28,4.24,7.98,41.73,8.38,4.59,9209.0,0.0,111.19,122.74,105.67,6.61,9.62,16.66,18.28,18.28,18.28,91.7,110.87,220.21,63.61,81.37,0.01,0.0,1787.56,532717.0_INDOTECH
Indo Thai Sec.,533676.0,INDOTHAI,Finance & Investments,279.75,1.0,6.16,9.87,55.33,45.03,39.65,0.08,0.07,0.11,5.6,0.0,0.0,0.64,11.57,9.11,9.61,8.87,6.45,6.36,64.43,31.75,17.96,3984.0,1.6,112.49,58.83,1063.12,3.31,5.7,31.53,8.53,21.05,31.48,55.5,36.55,21.95,12.3,-683.27,0.0,0.0,279.75,533676.0_INDOTHAI
Indo US Bio-Tech,541304.0,__NA__,Miscellaneous,211.0,0.45,16.73,15.3,14.86,11.34,,0.02,0.45,4.08,5.33,0.0,0.0,0.0,14.95,15.97,18.3,16.37,17.26,17.41,-8.7,13.98,11.58,235.0,0.0,131.9,228.9,93.55,10.91,10.95,25.88,20.72,20.72,20.65,19.68,50.75,,,333.14,0.0,0.0,423.1,541304.0___NA__
Indo-City Info.,532100.0,__NA__,Finance & Investments,14.43,1.04,-0.46,2.04,11.93,11.28,12.84,6.29,4.0,5.93,2.0,0.0,0.0,0.0,4.58,-0.53,-1.48,-0.89,-0.99,-1.51,23.56,-1.04,-2.35,3960.0,0.0,8.2,15.94,13.64,-0.48,2.0,30.21,43.41,31.98,27.53,3.04,4.47,2.17,4.21,40.41,0.0,0.0,15.0,532100.0___NA__
Indoco Remedies,532612.0,INDOCO,Pharmaceuticals - Indian - Bulk Drugs & Formln,328.75,9.22,11.83,13.47,83.45,73.75,56.3,1.75,1.86,1.97,2.47,0.0,0.0,14.38,16.85,14.4,11.52,12.97,10.81,9.68,86.46,16.38,15.53,34731.0,14.0,76.26,68.74,73.81,6.8,8.28,24.67,33.14,31.68,31.62,2649.78,1864.2,2295.93,1295.63,119.35,-0.37,0.13,3030.5,532612.0_INDOCO
Indokem,504092.0,__NA__,Dyes And Pigments,91.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,25049.0,,69.04,,,,,,,,,61.06,28.22,46.34,4.51,47.05,0.0,-0.03,253.79,504092.0___NA__
Indong Tea Co,543769.0,__NA__,Tea,25.46,,,-0.34,,,,0.97,,,,0.0,0.0,0.0,2.25,3.95,3.95,3.95,,,,8.71,,732.0,0.0,10.22,2.06,,,-0.2,26.4,26.4,26.4,26.4,,,,,45.74,,,38.19,543769.0___NA__
Indostar Capital,541336.0,INDOSTAR,Finance & Investments,251.1,5.12,-5.97,-4.16,297.92,289.94,,,,,,0.0,0.0,1.85,4.57,4.54,6.16,8.4,0.27,-2.42,-17.38,35.64,53.95,74441.0,0.0,0.0,0.0,0.16,-1.77,-1.3,13.31,14.52,14.52,12.85,3863.48,3838.83,,,-3.55,1.44,-0.32,3416.92,541336.0_INDOSTAR
Indowind Energy,532894.0,INDOWIND,Power Generation And Supply,27.77,12.56,0.78,2.02,18.25,16.01,13.59,-1.26,0.77,1.77,0.01,0.0,0.0,0.0,2.39,1.57,1.35,1.6,-0.09,-0.04,20.97,39.66,41.2,65983.0,0.0,95.04,103.85,96.03,0.55,1.52,84.92,56.0,47.67,84.92,44.09,64.56,48.73,40.95,206.61,0.0,0.0,298.08,532894.0_INDOWIND
Indra Industries,539175.0,__NA__,Fertilizers,18.97,0.65,,,-7.84,-2.76,,0.79,3.03,1.64,1.53,0.0,0.0,0.0,-12.54,-7.96,-9.34,-4.0,,,,-17.08,-1.89,2475.0,0.0,481.55,361.57,164.92,-4.63,-1.68,51.65,14.89,11.99,1.99,6.08,18.36,7.71,,-1873.16,0.0,0.0,12.28,539175.0___NA__
