Name,BSE Code,NSE Code,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization,join_key
Labelkraft Tech.,543830.0,__NA__,Computers - Hardware,65.5,1.66,3.24,0.0,7.54,3.28,0.0,13.76,5.7,0.0,0.11,5.48,1.66,0.0,5.79,1.75,0.0,0.0,0.0,13.76,4.56,0.0,1.84,1.36,10.0,2.5,0.01,0.1,0.32,3.28,6.85,5.59,5.7,0.0,,,,,,,,,,,,21.25,543830.0___NA__
Lactose (India),524202.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs,182.0,39.26,12.59,0.0,34.51,38.79,0.16,100.74,82.26,0.0,26.19,54.66,0.0,0.0,35.53,25.4,0.0,0.0,6.59,100.74,24.51,1.18,16.79,15.4,10.0,1.86,0.03,8.3,1.26,38.95,16.85,56.07,82.26,0.0,14.63,5.74,-1.73,-0.46,46.14,36.04,34.42,23.31,59.47,60.39,63.68,229.12,524202.0___NA__
Ladam Affordab.,540026.0,__NA__,Construction,8.04,9.83,9.15,0.0,20.33,0.0,9.48,46.53,22.53,2.0,1.44,21.04,0.2,3.75,11.36,12.41,0.0,0.0,0.0,46.53,8.78,0.0,3.73,0.0,5.0,0.67,0.0,1.52,1.83,9.48,9.14,21.08,22.53,0.2,17.95,36.71,42.08,30.28,15.63,32.15,37.41,30.43,21.19,21.3,21.45,14.73,540026.0___NA__
Ladderup Finance,530577.0,__NA__,Finance & Investments,39.9,12.25,12.85,0.0,64.36,1.7,0.0,99.67,8.86,0.0,3.0,6.1,0.0,75.23,7.32,5.32,0.0,23.42,0.05,99.67,2.0,0.0,0.0,1.46,10.0,3.94,0.0,0.3,1.29,1.7,7.29,5.85,8.86,0.0,9.69,19.77,21.15,11.1,0.9,32.71,9.28,0.88,2.23,29.97,0.25,51.27,530577.0___NA__
Laffans Petroch,524522.0,__NA__,Trading,39.9,0.38,8.0,0.0,53.62,0.38,0.0,65.61,9.91,0.0,2.95,6.96,0.0,50.2,3.38,2.62,0.0,0.0,0.0,65.61,0.77,0.0,0.99,0.0,10.0,0.01,0.0,0.04,0.8,0.55,-0.65,7.42,9.86,0.0,-0.48,0.57,0.14,5.38,0.0,0.0,0.0,0.0,7.44,8.02,1.21,31.92,524522.0___NA__
Lagnam Spintex,-1.0,LAGNAM,Textiles - Products,143.0,377.75,17.67,0.0,91.28,157.43,26.48,533.49,159.6,0.0,22.41,353.76,0.0,0.14,178.71,164.34,0.27,0.0,31.44,533.49,158.46,0.0,91.41,53.19,10.0,0.28,0.07,5.09,1.77,183.91,121.34,137.19,159.6,25.33,69.39,43.21,17.17,10.13,168.37,121.78,45.47,27.48,149.39,49.59,48.46,252.66,-1.0_LAGNAM
Lahoti Overseas,531842.0,__NA__,Trading,51.45,10.33,5.85,0.0,183.52,7.1,1.47,220.87,70.67,0.0,41.32,28.09,0.0,32.66,155.06,25.26,0.0,1.79,7.38,220.87,140.13,0.0,12.1,98.37,2.0,14.01,5.16,2.23,2.92,8.57,93.87,29.35,70.67,0.63,132.19,85.74,87.31,137.13,50.08,34.76,59.95,92.72,34.57,39.52,47.86,150.07,531842.0___NA__
Lak. Auto. Looms,505302.0,__NA__,Miscellaneous,3041.45,5.07,6.69,0.0,14.98,5.64,0.28,32.84,22.48,0.0,4.49,18.96,0.65,0.0,8.67,6.57,0.0,0.0,0.09,32.84,6.83,0.12,0.73,1.35,100.0,5.63,0.0,0.21,0.07,5.92,7.92,17.99,22.48,0.4,3.59,4.59,6.29,5.38,4.94,1.61,6.58,0.1,14.47,8.14,3.67,203.4,505302.0___NA__
Lak. Electrical,504258.0,__NA__,Electric Equipment,1520.0,6.65,2.46,0.0,279.06,7.6,0.0,337.07,51.51,0.0,13.31,43.56,2.77,177.26,104.01,41.48,0.0,0.0,0.75,337.07,69.18,0.0,30.44,60.32,10.0,10.55,4.09,26.45,0.25,7.6,66.82,38.2,51.51,0.68,53.09,52.55,77.78,58.09,10.77,5.27,21.95,3.23,33.08,25.56,25.34,373.91,504258.0___NA__
Lak. Fin. & Indl,-1.0,LFIC,Finance & Investments,212.75,0.0,3.0,0.0,53.51,0.0,0.0,59.72,2.04,0.0,1.37,0.67,0.0,52.21,6.74,2.05,45.76,0.0,0.0,59.72,4.69,0.0,0.0,0.0,10.0,6.4,0.0,0.01,0.3,0.0,-0.13,0.67,2.04,0.0,4.1,5.51,2.34,3.74,0.0,0.0,0.0,0.0,0.57,0.82,0.71,63.81,-1.0_LFIC
Lak. Mach. Works,500252.0,LAXMIMACH,Textile Machinery,17291.75,0.0,10.68,0.0,2692.96,0.0,0.0,4031.42,1272.54,0.0,369.7,972.14,9.31,641.32,2272.77,1057.75,0.0,495.19,105.94,4031.42,1215.02,0.0,619.61,129.65,10.0,954.75,290.18,530.31,1.07,0.0,557.77,902.84,1272.54,24.38,673.29,519.03,900.51,818.88,0.0,2.94,0.0,0.0,701.28,698.93,520.05,18472.79,500252.0_LAXMIMACH
Lak. Prec. Screw,506079.0,LAKPRE,Fasteners,5.78,260.75,10.94,0.0,12.42,193.78,66.97,460.13,342.2,0.0,198.35,143.84,24.25,1.74,284.35,338.42,0.0,0.0,9.77,460.13,103.0,0.0,196.4,55.1,10.0,5.22,10.81,55.45,1.09,253.13,145.61,149.75,345.15,17.96,233.31,167.87,145.24,96.85,259.23,196.61,119.86,68.72,82.85,101.05,58.98,6.32,506079.0_LAKPRE
Lakhotia Poly.,535387.0,__NA__,Textiles - Spinning - Synthetic / Blended,36.0,6.05,10.47,0.0,-1.63,4.38,3.43,17.28,2.04,0.0,1.95,0.4,0.0,0.0,16.39,8.26,0.0,0.0,0.0,17.28,14.03,0.0,2.08,13.9,10.0,0.14,0.0,2.16,1.05,7.81,13.54,0.09,2.04,0.0,10.86,10.33,9.34,7.92,5.6,5.92,4.67,3.65,0.28,0.57,0.79,37.71,535387.0___NA__
Lakshmi Mills,502958.0,__NA__,Textiles - Composite,6975.0,140.06,6.96,0.0,861.75,110.27,0.0,1116.86,224.09,0.0,54.52,237.22,1.59,801.59,64.64,111.06,0.0,0.0,16.93,1116.86,19.78,0.0,32.98,22.36,100.0,3.83,0.0,29.72,0.07,110.27,33.27,169.57,224.09,45.27,41.06,33.05,19.78,118.62,83.07,85.44,63.79,66.91,156.7,152.84,152.79,485.49,502958.0___NA__
Lambodhara Text.,590075.0,LAMBODHARA,Textiles - Cotton/Blended,152.25,56.88,5.19,0.0,105.6,39.98,16.05,192.29,150.97,7.69,42.21,112.38,0.01,33.68,71.34,26.45,0.0,24.43,0.64,192.29,61.01,0.04,17.94,7.68,5.0,3.45,0.0,2.56,1.04,56.03,34.54,108.77,150.97,0.78,28.3,27.59,26.74,19.57,42.03,46.61,53.04,64.28,81.93,70.97,66.44,158.0,590075.0_LAMBODHARA
Lancer Containe.,539841.0,__NA__,Miscellaneous,51.16,111.88,114.27,0.0,286.04,59.05,223.75,561.92,192.16,0.0,60.9,142.11,0.01,6.94,162.81,66.14,0.0,0.0,0.0,561.92,114.57,0.29,2.72,112.46,5.0,35.42,1.37,42.34,18.47,282.8,329.03,131.27,192.16,0.0,4.5,,,,30.93,,,,64.99,,,1203.38,539841.0___NA__
Lancor Holdings,509048.0,LANCORHOL,Construction,42.71,92.46,8.1,0.0,121.3,90.24,20.06,302.44,47.59,0.0,9.45,37.67,4.73,4.76,226.05,137.53,0.0,0.0,37.94,302.44,150.22,0.0,186.19,23.19,2.0,1.81,7.56,10.41,6.08,110.3,166.32,38.14,47.59,4.29,280.8,264.86,193.66,122.74,206.23,165.25,150.61,141.9,38.86,40.38,43.0,311.77,509048.0_LANCORHOL
Landmarc Leisur.,532275.0,__NA__,Entertainment / Electronic Media Software,0.92,12.31,80.0,0.0,-54.74,0.0,11.8,42.6,14.66,0.0,14.64,0.01,1.13,0.08,11.29,6.11,0.0,0.28,1.1,42.6,8.86,0.0,0.06,0.03,1.0,0.18,0.0,1.88,80.0,11.8,8.8,0.02,14.66,1.15,9.45,5.46,6.99,28.5,9.19,3.07,5.09,17.41,0.01,0.02,1.65,73.6,532275.0___NA__
Landmark Cars,543714.0,LANDMARK,Trading,723.1,627.02,20.65,0.0,518.3,193.16,236.83,1551.42,748.46,0.0,239.93,593.62,1.77,16.28,897.59,712.05,0.0,0.0,35.46,1551.42,551.41,263.29,568.08,130.71,5.0,31.91,82.63,114.2,3.96,429.99,369.57,508.53,748.46,5.75,171.92,180.8,,,345.06,409.39,,,326.0,391.51,,2988.35,543714.0_LANDMARK
Landmark Prop.,533012.0,LPDC,Construction,9.89,0.0,13.41,0.0,30.27,0.0,0.0,44.84,0.03,0.0,0.02,0.0,0.0,0.0,15.07,1.12,0.0,0.0,0.82,44.84,13.95,0.0,11.43,0.0,1.0,3.46,0.74,0.04,13.41,0.0,14.92,0.01,0.03,0.0,18.85,18.26,13.66,11.95,0.0,0.0,0.0,0.0,0.01,0.02,0.01,132.68,533012.0_LPDC
Larsen & Toubro,500510.0,LT,Engineering - Turnkey Services,3530.35,116322.22,274.93,0.0,86084.31,78930.87,37391.35,339093.61,61430.58,0.0,18258.42,42963.82,3045.01,45647.82,182116.88,176600.73,14267.58,0.0,18987.85,339093.61,33898.09,2282.45,6620.19,48770.95,2.0,15358.39,26874.76,53292.88,140.55,120650.44,54963.18,42641.0,58756.1,3065.57,54719.52,48266.8,34550.38,24587.07,133505.42,124578.88,92806.93,80845.52,44319.32,21193.94,16677.11,485369.51,500510.0_LT
Lasa Supergeneri,540702.0,LASA,Pharmaceuticals - Indian - Bulk Drugs & Formln,22.8,22.08,50.1,0.0,46.58,0.0,21.77,150.87,228.7,0.0,109.74,109.76,2.51,0.0,37.89,48.87,0.17,0.0,0.0,150.87,11.1,0.0,19.04,3.59,10.0,1.5,0.11,14.05,5.01,21.77,-3.51,118.96,228.7,4.64,23.78,1.71,32.61,,19.46,84.6,115.78,,142.95,161.69,118.83,114.23,540702.0_LASA
Last Mile Enter.,526961.0,__NA__,Construction,785.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,1.17,,,,,,,,,,,,,,,,,1614.68,526961.0___NA__
Latent View,543398.0,LATENTVIEW,Computers - Software - Medium / Small,505.8,23.99,20.59,0.0,1353.82,0.33,21.13,1455.88,53.35,0.0,30.15,27.5,0.0,328.98,1062.59,53.03,0.35,248.4,0.3,1455.88,1014.51,23.75,346.78,113.14,1.0,415.8,0.91,9.95,20.49,21.46,659.46,23.19,53.35,0.0,290.54,133.72,,27.6,51.86,35.54,,13.31,30.36,37.11,,10419.37,543398.0_LATENTVIEW
Latteys Industri,-1.0,LATTEYS,Engineering,16.61,16.89,11.5,0.0,6.94,11.29,1.02,48.8,13.22,0.0,5.7,8.96,0.0,0.01,39.01,28.98,0.7,0.0,0.0,48.8,25.94,0.29,20.73,16.61,2.0,0.07,0.68,10.39,5.75,12.31,20.75,7.53,13.22,0.07,20.17,16.93,7.18,,12.91,12.08,9.73,,6.58,7.16,4.69,95.5,-1.0_LATTEYS
Laurus Labs,540222.0,LAURUSLABS,Pharmaceuticals - Indian - Bulk Drugs & Formln,429.0,2577.4,107.79,0.0,4003.16,1928.12,649.28,8387.03,5652.2,0.0,1762.19,3890.01,422.84,123.98,3834.97,3112.28,0.0,0.0,153.92,8387.03,2439.7,70.35,1845.41,1662.92,2.0,141.65,81.85,1051.24,53.87,2015.09,2245.65,3408.62,4802.52,550.78,1643.97,723.27,663.24,218.58,1481.69,1035.93,841.75,542.82,2170.62,1629.07,1229.94,23128.57,540222.0_LAURUSLABS
Laxmi Cotspin,-1.0,LAXMICOT,Textiles - Cotton/Blended,31.13,50.19,17.15,0.0,45.8,37.93,4.35,120.01,87.83,0.0,64.06,34.8,3.62,0.2,78.54,50.11,0.0,0.0,0.0,120.01,72.1,0.0,52.69,3.83,10.0,0.84,0.43,3.66,1.71,42.28,61.0,23.77,87.83,3.13,47.24,55.56,50.83,34.39,31.66,45.89,54.64,33.33,27.24,34.75,41.6,53.39,-1.0_LAXMICOT
Laxmi Goldorna,-1.0,LGHL,Construction,334.0,52.78,20.87,0.0,24.57,27.29,4.44,107.91,1.39,0.0,0.45,0.82,0.0,15.39,99.94,20.12,1.93,0.0,0.0,107.91,90.24,0.0,52.34,35.39,10.0,0.73,75.04,4.67,2.09,31.73,60.71,0.94,1.39,0.0,45.62,37.96,9.72,9.76,14.43,16.32,5.38,6.16,0.09,0.03,0.07,697.11,-1.0_LGHL
Laxmi Organic,543277.0,LXCHEM,Chemicals,255.75,142.79,55.16,0.0,1742.47,347.3,58.42,2827.22,1018.0,0.0,303.4,878.74,444.16,125.85,1477.24,891.13,0.0,20.01,236.81,2827.22,625.26,7.04,283.34,583.44,2.0,317.08,23.37,762.13,26.52,405.72,633.87,714.6,1018.0,447.06,669.14,231.83,130.56,,149.45,175.33,103.79,,325.06,345.68,202.41,7070.16,543277.0_LXCHEM
Laxmipati Engg,537669.0,__NA__,Miscellaneous,70.35,40.11,5.75,0.0,-3.68,8.16,29.53,46.17,33.54,0.0,3.7,30.23,1.59,0.0,13.9,8.01,0.0,0.0,0.0,46.17,11.41,0.0,9.59,3.16,10.0,0.06,0.36,1.93,0.58,37.69,7.93,29.84,33.54,1.59,6.67,5.85,1.47,0.64,24.55,11.69,4.38,4.54,17.41,15.35,12.15,40.45,537669.0___NA__
LCC Infotech,532019.0,LCCINFOTEC,Computers - Education,4.0,2.93,25.32,0.0,-22.85,0.32,2.83,7.52,14.92,0.0,13.11,0.38,0.0,0.52,4.34,4.84,0.0,0.0,0.0,7.52,2.21,0.0,0.0,3.98,2.0,0.03,0.0,0.91,12.66,3.15,18.86,1.81,14.92,0.0,19.68,19.66,18.34,17.26,2.71,0.81,0.47,0.2,1.91,2.09,2.21,50.63,532019.0_LCCINFOTEC
Le Lavoir,539814.0,__NA__,Miscellaneous,269.95,0.0,3.24,0.0,2.68,0.0,0.58,7.85,2.59,0.0,0.26,2.0,1.08,0.0,4.75,1.93,0.0,0.0,0.0,7.85,2.82,0.0,0.0,1.03,10.0,0.56,0.25,0.06,0.32,0.58,3.13,2.33,2.59,0.0,2.64,2.72,0.06,0.01,0.57,0.0,0.0,0.0,0.36,0.01,0.0,87.46,539814.0___NA__
Le Merite Export,-1.0,LEMERITE,Trading,140.3,88.66,23.48,0.0,72.58,81.97,0.67,197.73,5.76,0.0,3.26,2.1,8.32,2.25,179.3,99.59,1.08,0.0,0.0,197.73,166.53,0.0,15.67,88.98,10.0,44.91,1.59,11.85,2.35,82.64,160.66,2.5,5.76,6.97,73.27,48.54,,,53.99,37.79,,,1.62,1.74,,329.44,-1.0_LEMERITE
Le Travenues,544192.0,IXIGO,Travel Agencies,159.3,10.03,37.12,0.0,336.64,0.54,9.49,583.4,311.24,0.0,19.26,291.98,7.73,47.74,201.52,156.28,0.0,47.74,0.0,583.4,48.94,9.49,0.0,11.89,1.0,92.58,7.89,36.09,36.97,7.07,60.79,288.64,297.61,0.0,-4.82,,,,7.84,,,,6.49,,,6171.64,544192.0_IXIGO
Lead Financial S,531288.0,__NA__,Finance & Investments,18.0,0.0,3.3,0.0,2.62,0.0,0.07,10.46,2.28,0.0,0.17,2.11,0.0,0.04,0.69,0.03,0.03,0.0,2.1,10.46,0.66,0.0,0.0,0.03,10.0,0.04,4.5,0.0,0.33,0.07,-0.66,2.11,2.28,0.0,0.07,3.03,-0.72,-1.55,0.13,0.24,0.13,1.01,2.11,2.11,2.12,5.93,531288.0___NA__
Lead Reclaim,-1.0,LRRPL,Miscellaneous,32.85,4.16,7.34,0.0,3.84,2.66,0.0,18.9,7.67,0.0,4.82,5.6,0.0,0.62,12.36,6.69,0.0,0.0,0.0,18.9,8.8,0.0,4.51,2.29,10.0,1.24,0.58,3.23,0.73,2.66,8.19,2.85,7.67,1.9,1.21,,,,3.94,,,,2.79,,,24.12,-1.0_LRRPL
Leading Lea. Fin,540360.0,__NA__,Finance & Investments,2.95,107.46,10.67,0.0,3.19,0.0,107.46,124.4,0.24,0.0,0.13,0.11,0.0,7.0,117.29,3.05,7.0,0.0,0.0,124.4,114.24,0.0,0.03,0.0,1.0,4.89,0.0,0.34,10.67,56.77,68.41,0.16,0.24,0.0,66.31,13.58,0.09,1.23,57.28,6.69,0.71,1.34,0.0,0.0,0.0,31.48,540360.0___NA__
Lee & Nee Soft.,517415.0,__NA__,Computers - Software - Medium / Small,10.22,0.1,55.77,0.0,0.79,0.0,0.01,58.32,26.12,0.0,1.58,24.73,0.0,8.25,11.04,1.57,0.0,0.0,0.0,58.32,9.51,0.0,0.0,0.33,10.0,2.3,0.01,0.3,5.58,0.01,1.77,24.54,26.12,0.0,6.49,6.02,15.15,7.52,0.04,0.15,0.0,0.0,24.51,24.49,24.5,57.0,517415.0___NA__
Lehar Footwears,532829.0,__NA__,Leather / Leather Products,160.6,67.5,17.68,0.0,84.62,63.24,2.3,220.16,101.17,25.57,27.76,81.0,0.0,0.0,137.93,98.29,0.0,0.0,4.77,220.16,96.04,0.7,63.36,51.79,10.0,3.33,2.88,34.27,1.57,65.54,83.33,73.41,101.17,4.11,38.76,43.64,43.95,30.72,33.36,40.1,42.35,21.47,58.28,54.74,50.0,283.93,532829.0___NA__
Lemon Tree Hotel,541233.0,LEMONTREE,Hotels,145.2,2335.84,791.85,0.0,175.04,1745.73,431.1,4033.04,3717.44,0.0,760.11,3641.78,24.84,13.33,205.34,359.12,0.0,0.0,20.17,4033.04,63.05,446.72,13.84,71.48,10.0,53.74,9.66,85.88,79.22,2176.83,-0.94,2957.33,3717.44,482.18,111.85,-122.83,-109.98,,2159.47,1195.57,798.67,,3193.78,1603.77,1418.34,11503.42,541233.0_LEMONTREE
Lerthai Finance,502250.0,__NA__,Finance & Investments,398.0,0.0,0.7,0.0,9.44,0.0,0.0,10.55,0.0,0.0,0.0,0.01,0.0,3.13,7.41,0.12,0.0,0.0,0.0,10.55,7.29,0.0,0.0,0.0,10.0,7.25,0.0,0.11,0.07,0.0,9.38,0.0,0.0,0.0,8.67,9.75,1.48,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.86,502250.0___NA__
Lesha Industries,533602.0,__NA__,Trading,3.9,20.82,11.0,0.0,14.44,0.0,0.18,49.73,11.52,0.0,0.32,0.55,0.0,3.47,1.46,24.0,0.0,0.0,0.0,49.73,-1.72,0.0,0.03,0.76,1.0,0.04,0.0,2.26,11.0,0.18,-0.46,11.2,11.52,2.25,0.31,0.84,10.44,16.57,0.46,2.13,1.06,9.2,7.37,7.39,7.47,42.9,533602.0___NA__
Lex Nimble Solu.,541196.0,__NA__,Computers - Software - Medium / Small,74.2,0.0,4.19,0.0,11.19,0.0,0.0,16.15,0.44,0.0,0.43,0.02,0.0,0.0,9.91,0.44,0.0,0.0,0.0,16.15,9.47,0.0,0.0,0.3,10.0,8.36,0.0,0.01,0.42,0.0,14.35,0.01,0.44,0.0,1.48,0.89,4.63,,0.0,0.0,0.0,,0.06,0.2,0.23,31.09,541196.0___NA__
Lexus Granito,-1.0,LEXUS,Ceramics - Tiles / Sanitaryware,42.51,58.03,20.19,0.0,-10.87,35.57,33.51,120.72,136.0,0.0,78.72,43.73,0.25,0.01,68.82,62.28,0.0,0.0,0.0,120.72,33.53,0.1,53.93,12.2,10.0,0.07,6.29,27.88,1.92,69.08,44.4,57.28,136.0,0.28,38.77,52.92,20.42,9.47,66.96,64.06,80.79,30.84,45.27,59.53,45.05,85.83,-1.0_LEXUS
LGB Forge,533007.0,LGBFORGE,Castings & Forgings,12.78,29.74,23.82,0.0,-3.65,23.45,3.59,78.97,40.0,0.0,22.39,12.08,0.0,0.0,62.29,44.73,0.0,0.0,2.94,78.97,33.69,0.68,28.13,31.24,1.0,0.48,0.0,21.73,23.82,27.04,38.48,17.61,40.0,0.0,22.98,14.65,13.28,17.6,13.1,10.94,17.9,35.75,24.18,24.95,8.76,304.44,533007.0_LGBFORGE
Libas Consumer,-1.0,LIBAS,Food - Processing - Indian,18.1,14.74,26.34,0.0,52.11,0.0,9.88,98.83,7.25,0.0,5.91,1.15,0.0,0.35,81.62,18.94,0.0,0.0,0.0,98.83,77.42,0.0,27.58,39.43,10.0,8.41,0.0,4.0,2.63,9.88,66.97,1.34,7.25,0.0,46.04,40.03,,,17.91,16.07,,,3.47,2.21,,47.68,-1.0_LIBAS
Liberty Shoes,526596.0,LIBERTSHOE,Leather / Leather Products,381.0,147.31,17.04,0.0,192.03,87.04,73.11,463.78,363.53,0.0,203.43,164.55,0.01,0.0,291.72,157.69,0.0,0.0,21.92,463.78,203.64,76.82,158.41,97.79,10.0,6.51,3.57,66.83,1.7,160.15,210.65,160.1,363.53,0.2,210.87,201.04,191.56,142.86,97.23,108.77,136.15,116.66,153.49,88.24,92.6,649.24,526596.0_LIBERTSHOE
Libord Finance,511593.0,__NA__,Finance & Investments,14.8,0.0,15.7,0.0,2.14,0.0,0.13,18.46,0.11,0.0,0.1,0.0,0.0,11.43,1.68,0.05,0.0,0.0,0.0,18.46,1.63,0.0,0.0,0.98,10.0,0.12,0.0,0.0,1.57,0.13,3.14,0.0,0.11,0.0,2.49,2.38,6.44,4.11,0.0,0.0,1.79,0.1,0.01,0.07,0.04,23.24,511593.0___NA__
Libord Securitie,531027.0,__NA__,Finance & Investments,20.02,0.0,5.0,0.0,-0.51,0.0,0.0,4.57,0.06,0.0,0.06,0.0,0.0,1.68,2.74,0.09,0.0,0.19,0.06,4.57,2.65,0.0,0.0,0.53,10.0,0.0,0.0,0.0,0.5,0.0,2.1,0.0,0.06,0.0,2.11,1.96,3.39,3.26,0.0,0.0,0.0,0.0,0.0,0.03,0.02,10.01,531027.0___NA__
LIC Housing Fin.,500253.0,LICHSGFIN,Finance - Housing,813.5,252618.4,110.08,,31366.58,,,291333.66,,,,388.79,0.2,6337.43,2121.6,6673.67,,,,291333.66,-4552.07,170.75,0.0,9.94,2.0,1655.18,,0.02,55.01,244912.88,-4778.23,388.48,373.01,0.84,-5412.35,-10349.83,-10755.98,-6690.99,207925.2,170657.14,126337.06,82036.41,281.87,168.08,102.37,44747.6,500253.0_LICHSGFIN
Life Insurance,543526.0,LICI,Finance & Investments,997.35,8.67,6325.0,0.0,76421.87,0.0,0.0,5316047.12,24664.3,1.97,4191.03,4074.77,0.0,4993128.29,197099.31,63794.98,4243008.27,0.0,0.0,5316047.12,133304.33,0.0,0.0,0.0,10.0,41824.47,0.0,0.0,632.5,0.0,138048.41,20473.26,24664.3,331.46,102324.68,190263.76,,,3.67,269400.6,,,17722.51,25193.53,,630823.63,543526.0_LICI
Likhami Consult.,539927.0,__NA__,Miscellaneous,137.2,0.0,9.95,0.0,24.74,0.0,0.0,34.86,0.05,0.0,0.04,0.01,0.0,13.89,7.63,0.17,0.0,0.0,0.0,34.86,7.46,0.0,0.0,0.62,10.0,0.22,0.0,0.09,0.99,0.0,7.27,0.01,0.05,0.0,9.97,9.32,0.76,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.01,136.51,539927.0___NA__
Likhitha Infra.,543240.0,LIKHITHA,Construction,470.0,0.0,19.73,0.0,290.44,0.0,0.0,349.72,37.5,0.0,15.46,27.92,0.0,5.39,311.27,39.07,52.77,0.0,90.53,349.72,272.2,0.0,107.59,76.58,5.0,90.2,0.0,22.46,3.94,0.0,162.26,22.04,37.5,0.0,83.0,41.06,18.7,5.35,0.16,9.85,4.5,0.24,11.68,13.79,4.23,1854.14,543240.0_LIKHITHA
Lime Chemicals,507759.0,__NA__,Chemicals,27.0,5.02,6.5,0.0,-4.76,0.08,5.67,10.67,9.64,0.0,4.15,5.71,0.0,0.11,4.21,8.72,0.0,0.0,2.84,10.67,0.51,0.0,0.39,2.33,10.0,0.28,0.01,2.97,0.65,5.75,1.74,5.49,9.64,0.0,-3.65,-2.99,-6.9,-21.7,12.04,15.83,29.96,26.81,2.59,8.96,8.95,17.56,507759.0___NA__
Linc,531241.0,LINC,Printing & Stationery,577.85,19.01,14.87,0.0,187.91,0.0,0.97,296.36,165.88,0.0,76.48,111.12,9.05,0.22,164.6,68.25,0.0,0.0,5.34,296.36,96.93,19.01,90.92,51.46,10.0,13.11,4.09,55.66,1.49,0.97,85.79,89.39,165.88,0.98,63.32,94.87,96.1,76.28,9.22,62.04,50.8,33.59,67.84,74.9,47.0,859.4,531241.0_LINC
Lincoln Pharma.,531633.0,LINCOLN,Pharmaceuticals - Indian - Formulations,626.8,1.07,20.03,0.0,572.81,0.0,2.0,700.29,197.47,0.0,46.95,179.33,3.48,138.92,446.74,92.28,0.0,0.0,0.23,700.29,355.53,0.0,77.17,161.77,10.0,13.83,0.82,72.44,2.0,2.0,205.6,150.53,197.47,6.71,152.63,150.72,124.96,66.47,0.52,33.61,64.48,68.14,110.64,120.91,102.71,1255.46,531633.0_LINCOLN
Linde India,523457.0,LINDEINDIA,Chemicals,8426.2,20.69,85.28,0.0,3349.25,0.0,22.05,4779.71,3020.47,0.0,1258.03,1821.54,483.48,26.53,1942.11,1031.4,0.0,0.0,167.54,4779.71,912.27,20.69,85.04,481.02,10.0,979.83,229.88,624.34,8.53,22.05,1116.04,1762.44,3020.47,225.23,350.29,-108.58,-143.96,-67.23,6.9,1199.36,1445.35,1527.81,1989.19,2161.55,2572.75,71858.65,523457.0_LINDEINDIA
Link Pharma Chem,524748.0,__NA__,Chemicals,45.2,9.22,4.44,0.0,9.27,1.98,6.78,25.95,13.88,0.0,4.88,9.94,0.0,2.93,11.53,11.01,0.0,3.62,0.23,25.95,8.68,0.0,6.21,5.15,10.0,0.09,0.0,1.76,0.44,8.76,9.82,9.0,13.88,0.0,6.36,2.97,3.51,3.59,3.66,2.64,4.73,9.08,8.71,9.14,9.57,20.07,524748.0___NA__
Lippi Systems,526604.0,__NA__,Engineering,16.43,0.81,7.0,0.0,14.87,0.0,0.17,23.95,17.34,0.0,9.91,6.57,0.0,0.0,3.5,1.06,0.0,0.0,0.0,23.95,3.25,0.0,0.0,0.56,10.0,0.07,0.0,0.07,0.7,0.17,2.9,7.43,17.34,0.0,5.26,6.09,5.95,5.33,6.53,6.9,15.61,9.84,13.73,15.34,17.32,11.5,526604.0___NA__
LKP Finance,507912.0,__NA__,Finance & Investments,149.9,84.53,12.57,0.0,344.45,48.49,36.04,456.36,1.71,0.0,0.15,1.56,0.0,336.53,59.64,4.91,142.19,186.2,35.22,456.36,54.73,0.0,0.0,0.0,10.0,45.83,0.0,0.0,1.26,121.19,58.46,1.61,1.71,0.0,44.45,47.33,128.01,232.8,45.78,36.13,95.66,115.7,1.55,1.65,2.7,188.42,507912.0___NA__
LKP Securities,540192.0,__NA__,Finance & Investments,21.2,20.93,16.33,0.0,62.27,8.15,12.78,251.62,34.27,0.0,12.97,21.31,0.0,5.11,223.76,152.08,0.0,2.73,67.15,251.62,71.68,0.0,0.0,22.99,2.0,109.29,0.0,122.75,7.84,21.55,55.59,23.52,33.1,0.0,39.29,46.34,58.54,48.15,18.32,28.06,65.81,36.3,15.16,5.84,4.56,167.87,540192.0___NA__
