Name,BSE Code,NSE Code,Industry,Current Price,Return over 3months,Return over 6months,Volume 1month average,Volume 1week average,Volume,High price,Low price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization,join_key
Interactive Fin,539692.0,__NA__,Finance & Investments,24.39,3.36,33.35,4142,5503,2130,27.0,13.74,55.7,4.42,1.67,0.08,8.7,22.74,20.62,22.69,20.59,55.36,0.11,0.0,-0.06,-0.1,41.2,59.7,2.26,3270,-5.67,,7.35,539692.0___NA__
Interglobe Aviat,539448.0,INDIGO,Transport - Airlines,4248.2,18.51,41.39,2225825,1130469,831230,4610.0,2333.35,4610.0,691.0,0.47,-2.03,0.94,4098.11,3373.76,4092.8,3365.18,49.82,24.07,29.17,47.9,53.85,60.96,34.96,21.77,1285066,19.82,,163971.88,539448.0_INDIGO
Interiors,-1.0,INM,Miscellaneous,264.0,-7.74,,5240,2100,3000,315.0,201.0,315.0,201.0,5.77,-5.81,-7.21,271.3,277.7,272.19,277.98,40.95,-4.14,-3.1,-4.15,-4.16,,,,31231,,,184.68,-1.0_INM
Interworld Digi.,532072.0,__NA__,Computers - Software - Medium / Small,0.55,10.42,15.22,834743,0,0,0.57,0.3,7.35,0.12,3.77,0.0,0.0,0.47,0.36,0.46,0.35,58.03,0.01,0.01,0.02,0.02,51.43,52.31,28.72,817950,19.76,0.58,26.31,532072.0___NA__
Intl. Combustion,505737.0,__NA__,Engineering,1555.0,-9.45,10.34,3708,2850,2043,2300.0,542.1,2300.0,67.7,-1.99,-3.77,-8.42,1749.86,1525.64,1756.52,1525.03,38.74,-63.4,-63.31,-57.76,-56.35,151.2,97.45,45.3,5565,6.89,19.95,371.65,505737.0___NA__
Intl. Conveyors,509709.0,INTLCONV,Miscellaneous,83.59,-6.17,-9.61,246310,239538,139935,124.79,69.05,124.79,1.63,1.35,-1.67,3.94,83.42,83.55,83.46,83.56,49.87,0.22,0.26,-0.15,-0.24,16.01,7.55,25.07,710432,19.36,13.7,529.78,509709.0_INTLCONV
Intl. Data Mgt.,517044.0,__NA__,Computers - Software - Medium / Small,25.5,-19.18,81.37,377,270,95,38.32,10.0,38.32,3.54,0.0,-2.19,-22.61,29.11,22.96,29.26,22.93,23.17,-1.84,-1.85,-1.5,-1.42,77.7,55.29,17.41,913,,,5.61,517044.0___NA__
Intl. Travel Hse,500213.0,__NA__,Travel Agencies,614.5,-6.0,15.28,4575,2857,5085,781.0,290.2,781.0,35.6,1.81,0.69,-0.21,614.52,540.45,614.97,539.81,47.75,-5.14,-5.61,-6.62,-6.99,94.79,89.74,42.92,13639,14.11,8.87,491.0,500213.0___NA__
Intrasoft Tech.,533181.0,ISFT,Miscellaneous,127.5,3.51,4.68,76946,132558,35600,191.75,107.5,855.0,20.6,1.93,2.16,3.38,125.36,131.79,125.37,131.85,52.53,0.24,0.14,-0.37,-0.52,-7.44,4.14,3.26,100562,-15.61,10.81,207.98,533181.0_ISFT
Inv.& Prec.Cast.,504786.0,__NA__,Castings & Forgings,575.0,0.82,-5.59,3061,3212,2621,765.0,403.8,765.0,23.9,0.0,4.36,-4.17,595.84,570.7,596.69,570.66,46.42,-12.77,-13.83,-12.12,-11.96,35.07,38.71,25.08,3986,11.79,26.02,287.52,504786.0___NA__
Inventure Grow.,533506.0,INVENTURE,Finance & Investments,3.02,30.0,8.73,9160744,18313874,17783167,3.92,1.8,8.48,0.46,1.0,7.55,17.25,2.6,2.51,2.59,2.51,64.58,0.12,0.11,0.11,0.1,49.5,-7.68,18.68,7009724,12.89,10.12,253.68,533506.0_INVENTURE
Invigorated Bus.,511716.0,__NA__,Finance & Investments,6.54,20.66,-24.83,6662,0,0,9.64,5.03,25.6,1.36,0.0,0.0,-17.32,7.3,6.57,7.34,6.57,38.53,0.11,0.23,0.34,0.4,-19.16,11.64,16.48,16552,-2.5,2.48,26.32,511716.0___NA__
IOL Chemicals,524164.0,IOLCP,Pharmaceuticals - Indian - Bulk Drugs & Formln,407.1,5.56,-15.93,438022,203854,165135,535.9,330.85,898.9,14.65,0.85,-1.63,12.17,389.04,403.44,388.44,403.44,57.42,9.13,9.63,7.85,7.53,-3.36,-14.54,13.79,526790,33.2,23.56,2389.9,524164.0_IOLCP
ION Exchange,500214.0,IONEXCHANG,Engineering,652.9,8.64,3.08,523376,1395046,1117519,687.55,406.95,687.55,5.5,13.65,12.6,12.62,525.3,509.94,523.3,509.29,64.91,6.62,3.02,0.11,-1.52,39.14,31.07,53.01,366999,41.66,41.5,9575.86,500214.0_IONEXCHANG
IP Rings,523638.0,__NA__,Auto Ancillaries,195.2,24.49,11.73,14147,9250,2765,222.55,102.0,278.8,18.42,-2.18,-4.89,8.3,185.62,165.97,185.05,165.63,55.82,6.55,7.06,6.74,6.79,87.14,13.27,18.96,10400,5.03,17.04,247.43,523638.0___NA__
Ipca Labs.,524494.0,IPCALAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,1141.75,-8.42,1.75,698310,1049588,1126114,1374.6,737.5,1383.56,23.5,1.07,0.38,-1.95,1204.72,1134.28,1207.78,1134.33,40.65,-38.24,-40.76,-36.89,-36.56,52.08,3.89,18.69,547536,24.3,9.88,28966.69,524494.0_IPCALAB
IRB Infra. Trust,-1.0,IRBIT,Construction,220.22,,,267200000,0,0,220.22,220.22,220.22,220.22,,0.0,,220.22,220.22,,,,0.0,,0.0,,,,,267200000,,,24525.75,-1.0_IRBIT
IRB Infra.Devl.,532947.0,IRB,Construction,65.1,1.76,56.13,138446659,25451871,22826337,78.15,24.95,78.15,4.56,0.35,-2.19,-1.86,66.66,54.79,66.73,54.69,44.85,-0.89,-0.83,-0.55,-0.46,141.6,60.47,46.69,44416498,17.17,9.71,39313.9,532947.0_IRB
IRB InvIT Fund,540526.0,IRBINVIT,Construction,65.49,-3.95,-4.83,452135,321948,263692,74.74,63.5,105.0,25.01,0.11,0.52,-0.06,66.04,67.65,66.07,67.67,47.71,-0.21,-0.24,-0.31,-0.33,-8.12,5.58,-0.09,392213,-5.14,,3801.7,540526.0_IRBINVIT
Ircon Intl.,541956.0,IRCON,Construction,269.4,16.15,44.12,16442840,7961479,7363553,301.45,79.0,301.45,29.0,-0.09,-3.51,-0.42,257.07,205.89,256.56,205.25,53.08,4.12,4.46,4.57,4.68,222.93,78.51,45.71,21719223,,,25337.49,541956.0_IRCON
IRIS Business,540735.0,IRIS,Computers - Software - Medium / Small,209.0,65.87,56.44,23465,23815,6801,271.3,74.15,271.3,11.55,0.97,1.03,-11.96,195.0,149.12,194.43,148.52,50.02,3.44,4.11,6.68,7.49,174.28,34.45,64.31,82880,,,404.65,540735.0_IRIS
Iris Clothings,-1.0,IRISDOREME,Textiles - Products,69.19,-11.19,-19.92,505659,1271224,812235,110.9,66.2,110.9,4.86,1.71,-8.66,-8.5,76.16,77.91,76.49,78.01,31.83,-2.1,-1.83,-1.46,-1.3,-22.01,40.54,56.7,245294,,,564.4,-1.0_IRISDOREME
IRM Energy,544004.0,IRMENERGY,Miscellaneous,466.0,-7.17,-16.01,178382,107016,131081,641.0,431.6,641.0,431.6,3.86,-2.86,-5.61,491.44,500.78,493.18,501.31,36.41,-13.11,-12.73,-13.82,-13.99,,,,330411,,,1913.35,544004.0_IRMENERGY
Ironwood Educa,508918.0,__NA__,Miscellaneous,23.56,3.16,3.74,3696,1956,2638,35.47,20.1,321.74,8.14,-1.26,-1.61,-4.52,24.22,24.71,24.23,24.71,47.18,-0.09,-0.08,-0.05,-0.04,-9.93,-11.52,-6.95,9870,-3.24,1.05,18.63,508918.0___NA__
ISF,526859.0,__NA__,Finance & Investments,2.07,2.56,-7.41,173522,129914,146134,3.0,1.58,31.5,0.15,3.5,-0.5,1.01,2.01,2.15,2.01,2.15,54.29,0.0,0.0,-0.01,-0.01,9.89,-9.96,41.71,217292,21.56,19.39,19.67,526859.0___NA__
ISGEC Heavy,533033.0,ISGEC,Engineering - Turnkey Services,1237.7,33.66,30.26,156585,89700,136382,1300.0,656.0,1300.0,5.0,-0.59,-2.09,15.83,1126.8,947.19,1121.98,944.19,57.4,48.43,51.27,47.61,47.4,79.5,15.81,21.83,149105,10.84,18.57,9100.74,533033.0_ISGEC
Ishaan Infrastru,540134.0,__NA__,Construction,8.34,61.98,105.53,67311,10263,1503,8.34,2.38,35.5,2.38,1.96,8.06,23.01,6.59,5.11,6.52,5.08,79.04,0.46,0.44,0.41,0.39,167.32,25.69,-10.94,29600,-2.08,,5.4,540134.0___NA__
Ishan Dyes & Ch.,531109.0,__NA__,Dyes And Pigments,59.4,12.03,-7.17,40684,20378,9626,71.8,44.63,177.0,6.3,2.86,-5.67,8.82,53.55,55.79,53.38,55.77,58.52,2.57,2.76,2.32,2.26,9.25,-3.32,17.72,33905,2.09,12.4,124.55,531109.0___NA__
Ishan Internat.,-1.0,ISHAN,Engineering,2.85,52.78,-2.48,570947,384000,1008000,6.1,0.78,6.1,0.58,3.64,17.02,27.91,2.36,2.43,2.34,2.43,74.74,0.09,0.06,0.0,-0.02,231.33,,,249850,,,61.62,-1.0_ISHAN
Ishita Drugs,524400.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs,66.3,-6.08,-12.58,2587,1569,1213,98.37,56.0,98.37,4.91,-0.69,-2.65,9.5,66.5,68.38,66.49,68.39,52.63,0.11,0.02,-0.22,-0.3,-14.69,32.5,28.85,6124,18.88,16.48,19.82,524400.0___NA__
ISL Consulting,511609.0,__NA__,Finance & Investments,29.0,-9.34,2.73,1952,1402,3128,36.9,23.45,36.9,2.98,2.65,-4.33,-6.02,29.97,28.99,30.04,28.99,24.75,-0.36,-0.27,-0.24,-0.21,15.54,32.37,22.48,3966,16.45,13.6,69.6,511609.0___NA__
ISMT,532479.0,ISMTLTD,Steel - Medium / Small,131.25,38.27,44.36,1300932,1119375,583314,139.8,68.2,140.0,1.85,0.02,2.03,14.25,116.97,98.66,116.39,98.33,59.34,4.6,4.67,4.8,4.85,71.87,64.46,85.34,979182,40.82,22.28,3944.08,532479.0_ISMTLTD
IST,508807.0,__NA__,Auto Ancillaries,958.95,1.47,15.74,1915,974,784,1105.05,516.05,1105.05,21.0,1.58,-1.09,-0.11,957.95,867.7,958.52,866.93,45.04,-4.83,-4.59,-5.37,-5.51,76.43,24.92,22.25,2450,9.45,19.42,1118.55,508807.0___NA__
iStreet Network,524622.0,__NA__,Trading,4.01,87.61,66.94,9558,3251,1285,5.44,1.41,54.4,1.01,-1.96,-7.26,-8.09,3.83,2.92,3.82,2.91,43.95,0.15,0.2,0.32,0.37,178.23,19.95,14.7,8044,-6.05,-10.25,8.54,524622.0___NA__
Italian,-1.0,ITALIANE,Food - Processing - Indian,33.3,-8.49,,17053,14000,18000,61.4,30.1,61.4,30.1,-0.3,0.91,0.3,35.02,45.01,35.08,45.12,47.81,-0.23,-0.23,-0.28,-0.29,,,,64559,,,49.21,-1.0_ITALIANE
ITC,500875.0,ITC,Cigarettes,425.95,-0.22,-10.97,19372309,19481646,18656274,499.7,399.3,499.7,29.38,0.25,0.38,-0.36,428.88,429.4,429.04,429.45,46.11,-2.07,-2.15,-1.66,-1.56,-5.91,28.04,8.96,16200900,3.13,6.69,531786.77,500875.0_ITC
ITCONS E-Soluti.,543806.0,__NA__,Miscellaneous,142.9,156.79,180.33,82526,96000,26000,142.9,37.1,142.9,33.01,5.0,16.51,158.21,75.74,57.86,73.28,57.08,92.41,18.8,17.39,13.0,11.54,239.83,,,34403,,,71.86,543806.0___NA__
ITD Cem,509496.0,ITDCEM,Construction,543.85,53.9,81.92,1753191,1959458,872408,545.95,160.5,545.95,5.73,3.46,6.02,30.91,422.99,326.11,418.8,324.11,75.29,32.12,30.91,27.21,25.98,222.09,85.13,37.75,1341236,16.82,29.68,9342.65,509496.0_ITDCEM
ITI,523610.0,ITI,Telecommunications - Equipment,309.0,13.32,-0.93,2558108,3354978,1493471,384.35,106.3,384.35,12.2,0.03,-1.1,3.97,298.07,265.77,297.63,265.34,55.11,3.42,3.38,3.14,3.07,187.35,33.02,26.03,5285430,19.05,25.16,29691.42,523610.0_ITI
ITL Industries,522183.0,__NA__,Engineering,463.95,21.71,55.84,7854,2948,4950,530.0,207.6,530.0,11.35,1.61,-2.83,4.08,430.57,354.94,429.5,353.92,53.2,11.11,12.34,14.18,14.95,93.64,51.99,24.66,10411,19.19,30.23,148.68,522183.0___NA__
IVP,507580.0,IVP,Chemicals,193.55,13.0,-15.25,76751,25824,16622,290.0,134.35,290.0,12.1,0.52,0.12,17.34,179.38,182.8,178.84,182.71,57.01,6.82,7.08,6.43,6.33,13.83,15.24,17.56,47614,2.1,15.67,199.93,507580.0_IVP
Iykot Hitech,522245.0,__NA__,Engineering,16.5,-0.25,64.55,6797,0,0,17.72,6.99,17.72,1.06,2.74,0.0,26.36,13.47,11.2,13.37,11.15,63.14,0.87,0.83,0.44,0.34,57.76,43.9,44.04,3607,25.58,27.72,23.59,522245.0___NA__
IZMO,532341.0,IZMO,Computers - Software - Medium / Small,343.4,22.37,38.83,158815,284623,324252,373.0,150.25,410.0,6.46,-1.14,9.9,19.32,316.6,271.36,315.34,270.59,60.89,8.92,8.19,5.91,5.15,82.72,59.69,47.92,69101,30.5,33.79,485.86,532341.0_IZMO
J & K Bank,532209.0,J&KBANK,Banks - Private Sector,115.9,-16.36,-8.46,5960543,3352659,4429372,152.5,60.4,199.51,11.0,1.33,-3.2,-13.15,125.26,118.12,125.7,118.16,34.52,-3.13,-2.94,-2.75,-2.65,88.59,41.23,23.02,7287047,4.31,-3.32,12762.68,532209.0_J&KBANK
J A Finance,543860.0,__NA__,Finance & Investments,28.2,-3.5,-7.38,3364,538,184,49.0,24.21,56.27,24.21,2.17,-5.12,-6.76,29.36,30.91,29.44,30.95,44.09,-0.33,-0.23,-0.25,-0.23,-30.62,,,1437,,,30.03,543860.0___NA__
J B Chemicals &,506943.0,JBCHEPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,1798.3,4.77,3.2,188690,225931,395071,1940.0,1132.4,1940.0,12.75,2.49,0.05,-0.97,1771.71,1608.34,1772.4,1606.87,46.55,-14.58,-14.64,-1.68,1.55,48.26,23.52,57.24,173102,41.08,36.06,27911.95,506943.0_JBCHEPHARM
J D Orgochem,524592.0,__NA__,Trading,17.64,113.2,114.01,8514,6492,3046,17.64,4.61,19.1,1.37,5.0,21.48,47.37,10.88,8.33,10.64,8.24,87.16,1.73,1.6,1.41,1.33,223.08,74.72,49.63,3694,21.57,15.46,23.37,524592.0___NA__
J J Finance Corp,523062.0,__NA__,Finance & Investments,21.78,-5.47,18.98,352,300,881,26.61,12.46,97.55,4.4,4.96,2.22,-1.19,20.57,20.19,20.56,20.19,52.39,-0.13,-0.18,-0.33,-0.38,27.85,47.55,6.14,566,6.7,3.3,6.14,523062.0___NA__
J K Cements,532644.0,JKCEMENT,Cement - North India,4443.65,1.36,14.08,240614,305748,111433,4599.95,3000.05,4599.95,31.25,1.25,3.92,13.34,4151.8,3892.0,4142.11,3887.0,60.05,102.73,103.53,84.49,79.93,29.78,15.28,34.51,147475,24.45,27.21,34335.31,532644.0_JKCEMENT
J Kumar Infra,532940.0,JKIL,Construction,896.0,27.98,42.92,520334,246766,249642,915.1,289.85,915.1,17.6,7.85,-2.12,9.92,740.6,593.15,736.92,590.76,58.63,42.76,46.44,47.03,48.1,176.18,64.55,39.89,450276,15.95,18.05,6779.61,532940.0_JKIL
J Taparia Proj,538539.0,__NA__,Miscellaneous,28.32,-13.13,-39.3,18429,11732,10710,77.84,17.28,77.84,0.19,4.89,2.04,-6.32,28.42,31.93,28.48,31.98,44.93,-0.46,-0.48,-0.5,-0.51,64.03,144.38,157.18,86745,2.44,,45.88,538539.0___NA__
J.G.Chemicals,544138.0,JGCHEM,Chemicals,237.0,22.24,,212182,159412,117326,274.5,171.0,274.5,171.0,0.19,-7.72,9.79,231.7,207.92,231.5,207.63,49.89,3.51,4.18,3.23,3.15,,,,605334,,,928.7,544138.0_JGCHEM
Jackson Invest,538422.0,__NA__,Finance & Investments,0.96,-11.54,22.67,221408,305121,138778,1.14,0.28,36.5,0.19,4.35,19.48,35.29,0.8,0.73,0.8,0.72,68.28,0.02,0.01,0.0,-0.01,,,37.09,472342,-18.0,-29.41,27.91,538422.0___NA__
Jagan Lamps,530711.0,__NA__,Auto Ancillaries,98.22,-9.6,26.83,24879,7292,6512,152.99,59.34,152.99,2.76,-0.05,-0.49,9.25,98.27,92.75,98.27,92.69,52.36,0.59,0.56,0.16,0.05,40.01,23.79,52.92,15943,31.44,31.85,71.71,530711.0___NA__
Jagatjit Inds.,507155.0,__NA__,Breweries & Distilleries,221.25,46.86,9.38,45575,29189,8487,255.95,115.0,255.95,18.1,-0.92,-1.89,20.77,200.91,181.96,199.99,181.54,61.22,10.01,10.47,9.76,9.7,81.18,50.35,45.03,32740,22.43,15.78,1035.07,507155.0___NA__
Jagjanani Text.,532825.0,__NA__,Textiles - Cotton/Blended,12.32,4.4,-9.57,4532,5257,2145,21.76,6.07,29.8,0.23,-1.99,-2.03,3.54,11.99,11.49,11.97,11.48,58.46,0.35,0.36,0.23,0.2,107.08,113.59,103.52,20807,55.57,29.47,19.22,532825.0___NA__
Jagran Prakashan,532705.0,JAGRAN,Entertainment / Electronic Media Software,91.25,-18.58,-13.83,620664,418726,267965,129.5,77.05,213.05,26.4,2.16,-2.71,-1.85,94.69,97.02,94.91,97.1,40.0,-1.3,-1.24,-1.39,-1.41,15.25,12.1,-3.55,598675,-9.87,-4.01,1986.09,532705.0_JAGRAN
Jagsonpal Fin.,530601.0,__NA__,Finance & Investments,9.75,41.72,103.12,403,132,1,9.75,3.61,29.0,0.94,4.95,21.42,78.57,6.42,5.23,6.29,5.18,84.14,0.87,0.75,0.5,0.4,28.8,74.02,17.04,507,16.24,12.36,5.36,530601.0___NA__
Jagsonpal Pharma,507789.0,JAGSNPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,335.8,12.34,-15.58,32417,21588,18709,514.85,270.05,514.85,6.0,-0.58,-0.75,3.57,333.35,347.1,333.17,347.19,51.25,1.54,1.67,1.85,1.92,-10.61,30.45,67.72,51069,37.44,35.66,887.88,507789.0_JAGSNPHARM
Jai Balaji Inds.,532976.0,JAIBALAJI,Steel - Large,882.9,-3.98,8.0,53172,37116,32922,1314.0,74.75,1314.0,4.8,1.12,-1.95,0.67,926.11,796.09,928.27,795.32,42.08,-14.25,-13.94,-14.96,-15.14,1048.88,157.06,100.5,365749,77.39,40.83,15226.33,532976.0_JAIBALAJI
Jai Corp,512237.0,JAICORPLTD,Plastics Products,387.05,28.39,-3.66,2516643,2016124,4406310,424.0,165.6,1450.0,4.1,1.35,-0.03,33.67,334.12,300.97,332.17,300.16,65.23,20.03,20.47,19.31,19.13,129.16,35.58,29.33,2100400,25.1,13.69,6906.89,512237.0_JAICORPLTD
Jai Mata Glass,523467.0,__NA__,Trading,1.78,-2.79,-16.35,182106,189848,243166,2.62,1.35,26.9,0.1,2.3,0.0,0.58,1.76,1.76,1.76,1.76,49.78,0.0,0.0,-0.01,-0.01,6.75,,46.26,244927,32.71,18.83,17.8,523467.0___NA__
Jaihind Synth,514312.0,__NA__,Textiles - Processing,27.54,-10.0,-0.51,3405,6117,15651,41.55,14.35,58.5,1.09,-4.97,-6.33,-0.07,31.35,29.37,31.44,29.38,43.31,-0.66,-0.62,-0.67,-0.67,32.33,53.58,48.01,8641,40.74,16.71,23.54,514312.0___NA__
Jain Irrigat-DVR,570004.0,JISLDVREQS,Plastics Products,42.1,23.49,23.86,362725,232653,168262,45.95,19.0,114.9,3.1,2.53,-6.68,33.31,36.62,32.94,36.44,32.86,59.53,2.1,2.21,1.97,1.94,106.33,29.97,14.24,141932,-6.83,-6.98,81.23,570004.0_JISLDVREQS
Jain Irrigation,500219.0,JISLJALEQS,Plastics Products,75.7,37.74,22.56,12487089,5886521,5111527,84.19,38.6,251.97,3.05,0.11,-4.68,24.99,68.4,60.53,68.1,60.38,56.79,3.32,3.59,3.57,3.64,93.4,34.11,24.14,7887790,-4.27,-5.08,5132.03,500219.0_JISLJALEQS
Jain Marmo Inds,539119.0,__NA__,Miscellaneous,23.0,-0.69,6.33,1,1,1,23.26,21.63,34.7,12.0,0.0,0.0,0.0,21.63,20.31,21.58,20.29,62.27,0.5,0.47,0.47,0.47,0.88,-7.44,,42,,,7.2,539119.0___NA__
Jainam Ferro,-1.0,JAINAM,Mining / Minerals / Metals,145.0,5.45,13.58,14111,15250,22000,188.0,100.65,218.6,69.0,0.52,-0.83,12.7,142.05,138.74,141.96,138.68,52.0,0.85,0.82,0.19,0.02,14.48,,,11616,,,153.14,-1.0_JAINAM
Jainco Projects,526865.0,__NA__,Construction,6.61,40.88,45.68,14242,7092,6188,7.87,2.96,15.91,0.41,3.12,-4.19,28.2,5.73,5.12,5.7,5.11,59.38,0.36,0.39,0.34,0.33,83.14,1.17,72.47,4257,7.16,5.76,6.61,526865.0___NA__
Jainex Aamcol,505212.0,__NA__,Auto Ancillaries,147.4,12.69,-3.85,808,548,189,190.0,130.4,190.75,29.05,-2.38,0.57,-11.51,152.03,152.37,152.08,152.38,48.94,-1.34,-1.5,-1.12,-1.07,-11.18,53.01,26.02,615,24.84,,22.12,505212.0___NA__
Jaipan Industrie,505840.0,__NA__,Trading,36.31,4.78,2.39,8283,2722,2078,57.56,32.42,245.0,4.75,-1.39,-5.47,-3.23,38.5,38.48,38.57,38.5,40.6,-0.36,-0.29,-0.4,-0.41,-30.33,45.11,25.14,8381,5.48,10.0,22.14,505840.0___NA__
Jalan Transol.,-1.0,JALAN,Miscellaneous,3.7,-12.79,-33.63,24706,24750,51000,9.9,3.6,63.3,2.75,-1.33,-5.06,2.74,4.09,5.32,4.1,5.33,42.79,-0.04,-0.03,-0.05,-0.05,-53.99,-3.32,-4.42,44395,-27.61,,5.38,-1.0_JALAN
James Warren Tea,538564.0,__NA__,Tea,217.8,-3.81,-15.66,895,484,238,303.95,209.1,320.0,60.0,-0.91,1.34,0.34,221.68,234.88,221.75,235.03,49.55,-0.25,-0.26,-0.17,-0.15,-8.42,1.2,14.44,1298,7.22,,80.59,538564.0___NA__
Jamna Auto Inds.,520051.0,JAMNAAUTO,Auto Ancillaries,123.9,-8.79,10.88,2374543,2418194,1788866,144.0,102.05,144.0,0.26,0.4,-2.74,2.29,127.38,121.38,127.54,121.36,43.18,-0.65,-0.42,-0.62,-0.62,21.05,13.59,18.46,4172470,13.47,26.46,4942.87,520051.0_JAMNAAUTO
Jamshri Realty,502901.0,__NA__,Construction,11116.0,85.72,175.3,44,75,46,12240.0,3500.0,12240.0,770.0,-4.99,5.28,17.34,9549.59,6634.46,9461.81,6583.55,68.33,512.81,472.78,388.37,357.26,215.62,52.67,43.75,56,25.81,17.49,77.65,502901.0___NA__
Jana Small Finan,544118.0,JSFB,Banks - Private Sector,692.55,57.72,,453926,141516,128153,760.9,365.0,760.9,365.0,3.47,-1.57,14.97,615.36,482.2,613.16,480.32,52.71,22.33,25.36,29.34,31.09,,,,916045,,,7243.43,544118.0_JSFB
Janus Corporatio,542924.0,__NA__,Construction,6.27,-0.48,32.0,63921,110250,98000,8.95,3.6,60.9,2.57,-2.64,-7.79,-13.87,6.69,5.88,6.71,5.87,41.79,-0.08,-0.05,-0.05,-0.04,38.11,,,126576,,,8.4,542924.0___NA__
Jasch Gauging,544112.0,__NA__,Electronics - Components,835.0,37.33,,7789,9726,25333,870.0,398.05,870.0,398.05,1.91,12.82,6.28,677.42,557.16,671.63,554.53,71.99,28.54,22.72,24.22,23.14,,,,10659,,,378.42,544112.0___NA__
Jasch Industries,500220.0,__NA__,Plastics Products,160.05,-20.43,-51.24,7308,11979,12116,377.0,158.7,377.0,4.34,-1.23,-0.22,-18.18,188.22,198.61,189.29,198.97,32.12,-9.48,-9.57,-8.7,-8.51,-1.79,8.04,27.66,23248,14.98,29.68,108.8,500220.0___NA__
Jash Engineering,-1.0,JASH,Engineering,2140.35,23.1,40.99,27872,20530,16781,2552.0,1163.0,2552.0,70.2,-0.62,-8.87,-1.69,2160.56,1761.59,2160.84,1757.65,43.46,15.18,27.48,40.29,46.56,89.52,55.62,75.12,22861,,,2678.11,-1.0_JASH
Jattashankar Ind,514318.0,__NA__,Textiles - Processing,28.11,25.73,17.97,750,1067,1600,28.11,13.0,49.65,9.5,4.97,15.68,33.9,20.81,18.21,20.57,18.13,68.07,1.13,0.86,0.67,0.56,96.19,18.98,9.84,1016,2.75,,12.34,514318.0___NA__
Jauss Polymers,526001.0,__NA__,Plastics Products,8.95,62.96,13.7,3150,2010,945,9.41,3.86,56.1,2.79,1.7,5.52,8.91,7.9,6.68,7.87,6.66,61.3,0.17,0.14,0.14,0.14,77.06,19.86,-7.93,1989,-15.45,,4.15,526001.0___NA__
Jay Bharat Maru.,520066.0,JAYBARMARU,Auto Ancillaries,109.5,-10.77,-13.91,335800,299915,117202,144.0,90.0,149.75,3.5,0.47,-1.56,7.7,110.43,111.04,110.49,111.06,50.49,0.12,0.11,-0.23,-0.31,-14.58,8.88,21.01,202622,-2.27,18.67,1185.35,520066.0_JAYBARMARU
Jay Jalaram Tech,-1.0,KORE,Trading,593.25,81.49,55.54,25000,7000,4000,689.95,176.0,689.95,50.0,-2.43,-5.24,35.61,489.15,394.91,484.3,392.77,64.36,49.2,50.73,44.36,43.15,244.96,,,16704,,,660.29,-1.0_KORE
Jay Kailash,544160.0,__NA__,Food - Processing - Indian,66.23,,,47074,18000,4800,89.0,49.86,89.0,49.86,5.04,-2.6,5.44,68.07,75.56,68.15,75.65,50.83,-0.15,-0.23,-0.72,-0.87,,,,87400,,,33.09,544160.0___NA__
Jay Shree Tea,509715.0,JAYSREETEA,Tea,116.65,10.94,4.88,180903,201896,101476,134.0,85.8,210.0,22.65,3.95,-2.37,15.69,105.73,104.01,105.46,103.92,57.21,3.51,3.67,2.85,2.68,24.83,2.11,15.93,189361,1.46,0.87,336.88,509715.0_JAYSREETEA
Jay Ushin,513252.0,__NA__,Auto Ancillaries,754.9,0.38,-2.62,167,176,315,899.0,642.0,917.6,38.0,5.92,-1.21,-1.68,726.39,727.44,726.95,727.59,47.18,-4.71,-4.5,-4.55,-4.51,4.61,12.67,24.74,509,11.16,18.1,291.39,513252.0___NA__
Jayabharat Cred.,501311.0,__NA__,Finance & Investments,11.95,-0.52,63.43,3852,892,607,14.95,3.52,32.0,1.72,4.46,3.34,30.15,10.09,8.63,10.04,8.6,61.61,0.54,0.54,0.54,0.54,143.92,19.52,,1712,,-0.29,5.98,501311.0___NA__
Jayant Agro Org.,524330.0,JAYAGROGN,Chemicals,318.7,30.81,22.75,230048,79585,53469,349.8,180.05,571.45,13.75,3.9,-3.25,21.9,269.35,241.2,267.83,240.54,60.62,18.8,20.16,18.01,17.82,30.89,12.19,11.64,69738,-6.5,17.02,956.1,524330.0_JAYAGROGN
Jayant Infratech,543544.0,__NA__,Engineering - Turnkey Services,154.5,-32.11,-34.18,22421,21938,28500,344.0,66.62,344.0,0.0,-1.06,-9.19,-4.17,181.11,181.51,182.13,181.77,42.68,-4.3,-3.78,-5.94,-6.35,123.33,,,26745,,,149.97,543544.0___NA__
Jayaswal Neco,522285.0,JAYNECOIND,Steel - Large,48.72,-7.74,-0.92,603630,768310,216091,65.46,21.6,83.5,1.85,0.87,-1.83,5.92,48.65,45.56,48.66,45.53,50.86,0.16,0.16,-0.25,-0.35,110.0,29.1,58.69,747747,30.73,10.78,4730.68,522285.0_JAYNECOIND
