Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization,join_key
Khazanchi Jewell,543953.0,__NA__,Trading,407.0,20.37,247.44,10.66,,,,,,,,,,5.73,,,,,1007.2,543953.0___NA__
KHFM Hospitality,-1.0,KHFM,Miscellaneous,79.85,5.4,44.61,3.68,,,,,,,,,,1.17,,,,0.58,160.03,-1.0_KHFM
Khoobsurat Ltd,535730.0,__NA__,Finance & Investments,1.15,-0.16,0.0,-0.09,0.15,0.06,0.0,0.06,0.0,0.06,0.01,0.05,0.0,0.05,,,13.28,0.0,54.08,535730.0___NA__
Khyati Multimed.,531692.0,__NA__,Entertainment / Electronic Media Software,2.66,-0.05,0.01,-0.05,0.0,-0.05,0.0,-0.05,0.0,-0.05,-0.05,0.0,0.0,0.0,-500.0,0.0,10.8,0.0,2.87,531692.0___NA__
KIC Metaliks,513693.0,__NA__,Steel - Pig Iron,46.26,7.29,212.43,9.13,0.47,9.6,3.62,5.98,2.91,3.07,0.95,2.12,0.0,2.12,4.3,1.0,7.1,0.6,164.21,513693.0___NA__
Kiduja India,507946.0,__NA__,Finance & Investments,240.0,19.32,0.0,-2.36,0.0,-2.36,0.0,-2.36,0.67,-3.03,0.0,-3.03,0.0,-3.03,,,1.72,-17.67,48.0,507946.0___NA__
KIFS Financial,535566.0,__NA__,Finance & Investments,165.2,13.44,9.3,8.85,0.03,8.88,0.13,8.75,5.25,3.5,0.96,2.55,0.0,2.55,95.16,27.42,10.82,2.36,178.75,535566.0___NA__
Kilburn Engg.,522101.0,__NA__,Engineering,432.75,,,,,,,,,,,,,,,,,,1809.8,522101.0___NA__
Kilitch Drugs,524500.0,KILITCH,Pharmaceuticals - Indian - Formulations,332.45,2.28,45.48,6.22,1.02,7.24,0.91,6.33,1.21,5.12,2.21,2.9,0.0,2.9,13.68,6.38,15.58,2.28,534.65,524500.0_KILITCH
Kimia Bioscien.,530313.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs,53.0,-1.05,22.66,-5.36,-0.69,-5.0,0.87,-5.87,1.26,-8.18,-2.01,-5.12,-1.05,-6.17,-23.65,-22.59,4.73,-1.3,250.75,530313.0___NA__
Kinetic Engg.,500240.0,__NA__,Auto Ancillaries,208.05,2.05,37.08,4.36,0.5,4.86,1.66,3.2,1.42,1.78,0.0,1.78,0.0,1.78,11.76,4.8,18.7,0.9,461.06,500240.0___NA__
Kinetic Trust,531274.0,__NA__,Finance & Investments,17.27,-0.05,0.27,-0.2,0.17,-0.03,0.0,-0.03,0.0,-0.03,-0.03,0.0,0.0,0.0,-74.07,0.0,,0.0,5.8,531274.0___NA__
Kingfa Science,524019.0,KINGFA,Plastics Products,2135.1,37.91,365.59,54.71,0.61,55.32,3.62,51.7,2.43,49.27,12.64,36.62,0.0,36.62,14.96,10.02,12.11,30.24,2585.7,524019.0_KINGFA
Kings Infra,530215.0,__NA__,Aquaculture,159.75,2.87,20.44,3.6,0.11,3.71,0.07,3.64,0.83,2.81,0.72,2.09,0.0,2.09,17.61,10.23,23.51,0.89,391.49,530215.0___NA__
KIOCL,540680.0,KIOCL,Mining / Minerals / Metals,452.25,36.16,734.74,46.59,21.85,68.44,3.92,64.52,6.91,57.61,-24.6,82.21,0.0,82.21,6.34,11.19,607.75,1.35,27485.56,540680.0_KIOCL
Kiran Print Pack,531413.0,__NA__,Trading,17.75,-0.2,0.16,-0.15,0.05,-0.1,0.0,-0.1,0.0,-0.1,0.0,-0.11,0.0,-0.11,-93.75,-68.75,5.0,-0.22,8.88,531413.0___NA__
Kiran Syntex,530443.0,__NA__,Textiles - Spinning - Synthetic / Blended,8.65,-0.01,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,,,4.24,-0.05,3.68,530443.0___NA__
Kiran Vyapar,537750.0,__NA__,Finance & Investments,187.7,21.86,20.63,1.99,0.15,2.14,0.06,2.08,2.27,-0.19,1.59,-1.73,0.0,-1.79,9.65,-8.68,26.98,-0.63,512.13,537750.0___NA__
Kiri Industries,532967.0,KIRIINDUS,Dyes And Pigments,332.15,-10.57,222.45,-4.76,2.77,-1.99,12.07,-14.06,1.96,-16.02,2.34,-61.49,0.0,-61.49,-2.14,-27.64,51.83,-11.86,1721.67,532967.0_KIRIINDUS
Kirl. Brothers,500241.0,KIRLOSBROS,Pumps,2219.3,123.6,1124.6,145.1,13.1,158.2,18.1,140.1,7.9,132.2,41.5,100.2,0.0,100.7,12.9,8.95,15.9,12.62,17623.18,500241.0_KIRLOSBROS
Kirl. Electric,533193.0,KECL,Electric Equipment,188.45,5.7,145.05,16.77,1.15,17.92,1.29,16.63,5.74,10.89,0.0,10.89,0.0,10.89,11.56,7.51,66.41,1.64,1251.6,533193.0_KECL
Kirl. Ferrous,500245.0,__NA__,Steel - Pig Iron,700.0,232.02,1565.56,221.03,11.6,232.63,47.92,184.71,25.7,159.01,64.45,88.22,0.0,94.56,14.12,6.04,69.36,6.35,9758.17,500245.0___NA__
Kirl.Pneumatic,505283.0,KIRLPNU,Compressors / Drilling Equipment,1347.85,52.63,359.58,47.9,2.74,50.64,8.57,42.07,0.02,42.05,9.81,32.24,0.0,32.24,13.32,8.97,12.89,4.99,8733.29,505283.0_KIRLPNU
Kirloskar Indus.,500243.0,KIRLOSIND,Finance & Investments,6010.0,228.3,1574.21,221.91,17.2,239.21,48.58,190.63,26.05,164.48,71.39,43.92,-0.1,93.09,14.1,5.92,9.78,44.39,5972.08,500243.0_KIRLOSIND
Kirloskar Oil,533293.0,KIRLOSENG,Engines,1439.35,256.65,1383.83,188.03,10.87,198.9,26.12,172.78,63.97,108.81,29.9,78.91,0.0,78.91,13.59,5.7,28.92,5.45,20879.02,533293.0_KIRLOSENG
Kisaan Parivar,519230.0,__NA__,Finance & Investments,13.33,-0.16,0.0,-0.04,0.01,-0.03,0.0,-0.03,0.0,-0.03,0.0,-0.03,0.0,-0.03,,,2.4,-0.06,11.73,519230.0___NA__
Kisan Mouldings,530145.0,__NA__,Plastics Products,67.48,-10.58,82.33,-1.55,0.96,-0.59,2.01,-2.6,7.09,-9.69,0.0,-9.7,0.0,-9.7,-1.88,-11.78,33.86,-2.86,806.13,530145.0___NA__
Kitex Garments,521248.0,KITEX,Textiles - Products,208.95,32.59,97.71,-6.49,17.13,10.64,5.14,5.5,0.09,5.41,2.44,2.97,0.0,2.97,-6.64,3.04,6.65,0.51,1389.51,521248.0_KITEX
KJMC Corporate,532304.0,__NA__,Finance & Investments,72.0,1.03,1.57,-0.15,1.0,0.85,0.12,0.73,0.05,0.68,0.13,0.55,0.0,0.55,-9.55,35.03,3.93,1.4,28.26,532304.0___NA__
KJMC Financial,530235.0,__NA__,Finance & Investments,64.63,0.51,0.64,-0.11,0.05,-0.06,0.07,-0.13,0.24,-0.37,0.14,-0.51,0.0,-0.51,-17.19,-79.69,4.79,-1.07,30.93,530235.0___NA__
KK Shah Hospital,544013.0,__NA__,Healthcare,45.91,0.38,2.12,0.37,,,,,,,,,,0.22,,,,0.45,31.26,544013.0___NA__
KKalpana Inds.,526409.0,__NA__,Plastics Products,13.0,-1.6,16.63,-1.51,4.04,2.53,0.75,1.78,1.29,0.49,0.01,0.48,0.0,0.48,-9.08,2.89,18.81,0.05,122.3,526409.0___NA__
Kkalpana Plastic,523652.0,__NA__,Plastics Products,32.13,-0.08,0.0,-0.16,0.11,-0.05,0.0,-0.05,0.0,-0.05,0.0,-0.05,0.0,-0.05,,,5.53,-0.09,17.77,523652.0___NA__
KKRRAFTON Develo,521238.0,__NA__,Computers - Hardware,214.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.56,0.0,2092.05,521238.0___NA__
KKV Agro Powers,-1.0,KKVAPOW,Trading,1119.2,1.23,569.38,2.38,,,,,,,,,,0.65,,,,11.47,63.44,-1.0_KKVAPOW
KLG Capital,530771.0,__NA__,Finance & Investments,13.38,-0.03,0.18,-0.06,0.1,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,-33.33,22.22,3.2,0.12,4.28,530771.0___NA__
KM Sugar Mills,532673.0,KMSUGAR,Sugar,43.24,8.54,90.57,4.8,4.38,9.18,5.05,4.13,3.62,0.51,-0.13,0.64,0.0,0.64,5.3,0.71,18.4,0.07,397.81,532673.0_KMSUGAR
KMC Speciality,524520.0,__NA__,Healthcare,85.24,14.4,41.08,11.27,0.86,12.13,2.09,10.04,0.32,9.72,2.47,7.26,0.0,7.26,27.43,17.67,16.31,0.45,1390.28,524520.0___NA__
KMF Builders,531578.0,__NA__,Construction,7.91,8.41,0.69,0.2,0.05,0.25,0.02,0.23,0.01,0.22,0.03,0.19,0.0,0.19,28.99,27.54,6.09,0.16,9.64,531578.0___NA__
KMG Milk Food,519415.0,__NA__,Food - Processing - Indian,33.07,-0.14,1.8,-0.03,0.23,0.2,0.08,0.12,0.01,0.11,-0.06,0.17,0.0,0.17,-1.67,9.44,5.3,0.32,17.54,519415.0___NA__
KN Agri Resource,-1.0,KNAGRI,Solvent Extraction,199.0,18.84,1169.1,31.56,,,,,,,,,,18.26,,,,7.3,497.48,-1.0_KNAGRI
Knowledge Marine,543273.0,__NA__,Miscellaneous,1376.0,36.12,78.82,33.9,,,,,,,,,,23.36,,,,21.69,1486.21,543273.0___NA__
KNR Construct.,532942.0,KNRCON,Construction,346.5,225.91,1245.33,245.97,10.1,256.07,48.24,207.83,20.56,187.27,45.24,141.73,0.0,141.73,19.75,11.38,56.25,5.24,9744.78,532942.0_KNRCON
Kobo Biotech,531541.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,3.81,-0.2,0.0,-0.79,0.0,-0.79,1.0,-1.79,0.0,-1.79,0.0,-1.79,0.0,-1.79,,,23.83,-0.75,9.08,531541.0___NA__
Kody Technolab,-1.0,KODYTECH,Computers - Software - Medium / Small,3101.05,1.14,9.39,5.41,,,,,,,,,,4.07,,,,11.78,1976.54,-1.0_KODYTECH
Kohinoor Foods,512559.0,KOHINOOR,Food - Processing - Indian,42.41,5.76,15.99,3.13,-0.14,4.06,1.67,2.39,3.44,-2.12,-0.72,-0.33,-1.07,-1.4,19.57,-2.06,37.07,-0.38,157.22,512559.0_KOHINOOR
Kokuyo Camlin,523207.0,KOKUYOCMLN,Printing & Stationery,155.5,12.51,216.25,17.16,0.25,17.41,4.24,13.17,1.52,11.65,2.89,8.76,0.0,8.76,7.94,4.05,10.03,0.87,1559.72,523207.0_KOKUYOCMLN
Kolte Patil Dev.,532924.0,KOLTEPATIL,Construction,435.3,-40.15,796.93,173.09,7.49,180.58,2.52,178.06,6.43,171.63,50.3,117.43,0.0,121.33,21.72,15.22,76.0,15.45,3308.47,532924.0_KOLTEPATIL
Kome-on Commun.,539910.0,__NA__,Entertainment / Electronic Media Software,1.89,-1.3,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,,,,-0.01,2.84,539910.0___NA__
Konark Synth,514128.0,__NA__,Textiles - Processing,20.77,0.92,6.0,0.35,-7.59,0.82,0.82,0.0,0.89,-8.95,0.76,-2.2,-8.06,-9.71,5.83,-38.83,5.81,-15.79,12.07,514128.0___NA__
Konndor Indust.,532397.0,__NA__,Trading,11.42,0.29,0.77,0.29,-0.19,0.1,0.0,0.1,0.0,0.1,0.03,0.07,0.0,0.07,37.66,9.09,5.5,0.13,6.31,532397.0___NA__
Konstelec Engg.,-1.0,KONSTELEC,Engineering - Turnkey Services,185.5,,,,,,,,,,,,,,,,,,280.11,-1.0_KONSTELEC
Kontor Space,-1.0,KONTOR,Miscellaneous,103.8,1.88,4.54,1.97,,,,,,,,,,0.87,,,,2.17,64.15,-1.0_KONTOR
Kopran,524280.0,KOPRAN,Pharmaceuticals - Indian - Bulk Drugs & Formln,259.5,23.58,148.88,12.16,3.78,15.94,3.24,12.7,1.78,10.92,2.88,8.04,0.0,8.04,8.17,5.4,48.21,1.67,1251.09,524280.0_KOPRAN
Kore Digital,-1.0,KDL,Transmisson Line Towers / Equipment,1712.55,5.65,9.27,2.05,0.0,2.05,0.15,1.9,0.05,1.85,0.59,1.27,0.0,1.27,22.11,13.7,,5.04,686.39,-1.0_KDL
Kore Foods,500458.0,__NA__,Food - Processing - Indian,8.73,-0.06,0.0,-0.17,0.0,-0.17,0.0,-0.17,0.01,-0.18,0.0,-0.18,0.0,-0.18,,,11.65,-0.15,10.17,500458.0___NA__
Kotak Mah. Bank,500247.0,KOTAKBANK,Banks - Private Sector,1804.8,2010.88,11981.63,1433.49,8784.88,10218.37,0.0,10218.37,4229.65,5988.72,1459.2,4566.39,0.0,4566.39,11.96,38.11,,22.99,358785.49,500247.0_KOTAKBANK
Kothari Ferment.,507474.0,__NA__,Food - Processing - Indian,68.0,2.71,32.3,6.14,0.13,6.27,1.5,4.77,0.78,3.99,0.01,3.99,0.0,3.99,19.01,12.35,15.0,2.66,102.0,507474.0___NA__
Kothari Indl,509732.0,__NA__,Trading,8.27,-4.43,4.16,-2.68,-2.38,-2.76,0.03,-2.79,2.9,-7.99,0.0,-5.69,-2.3,-7.99,-64.42,-136.78,9.56,-4.18,15.8,509732.0___NA__
Kothari Petroche,-1.0,KOTHARIPET,Petrochemicals,138.76,20.29,136.9,19.02,2.0,21.02,1.61,19.41,0.75,18.66,5.5,13.17,0.0,13.17,13.89,9.62,59.19,2.24,816.54,-1.0_KOTHARIPET
Kothari Products,530299.0,KOTHARIPRO,Trading,137.75,0.02,323.08,-21.18,22.11,0.93,0.53,0.4,3.72,-3.32,-0.3,-3.02,0.0,-3.02,-6.56,-0.93,29.84,-1.01,411.1,530299.0_KOTHARIPRO
Kothari Sugars,-1.0,KOTARISUG,Sugar,59.34,-0.27,207.48,28.83,5.61,33.98,3.55,30.43,0.34,30.55,6.84,23.35,0.46,23.71,13.9,11.25,82.89,2.86,491.85,-1.0_KOTARISUG
Kotia Enterprise,539599.0,__NA__,Trading,19.26,-0.17,0.0,-0.12,0.43,0.31,0.01,0.3,0.0,0.3,0.0,0.29,0.0,0.29,,,7.02,0.41,13.52,539599.0___NA__
Kotyark Indust.,-1.0,KOTYARK,Miscellaneous,999.0,20.0,78.16,19.39,0.0,4.81,0.25,4.56,0.11,4.45,1.16,3.29,0.0,12.84,10.04,6.87,,14.7,1026.87,-1.0_KOTYARK
Koura Fine Diamo,544139.0,__NA__,Diamond Cutting / Jewellery,44.68,0.27,5.16,0.09,,,,,,,,,,0.05,,,,1.06,16.09,544139.0___NA__
Kovai Medical,523323.0,__NA__,Healthcare,4289.95,96.33,266.98,67.08,5.23,72.31,21.68,50.63,9.96,40.67,10.12,30.56,0.0,30.56,25.13,11.45,10.94,27.93,4693.22,523323.0___NA__
Kovil. Lak. Rol.,507598.0,__NA__,Food - Processing - Indian,189.8,6.06,103.75,3.99,0.38,4.37,1.5,2.87,1.73,1.14,0.52,0.62,0.0,0.62,3.85,0.6,5.54,1.12,171.61,507598.0___NA__
KP Green Engg.,544150.0,__NA__,Engineering,593.0,17.8,52.64,9.04,,,,,,,,,,5.03,,,,44.91,2965.0,544150.0___NA__
KPI Green Energy,542323.0,KPIGREEN,Construction,1798.3,103.57,182.4,54.24,1.52,56.25,5.92,50.33,13.09,36.75,4.97,32.18,-0.49,31.78,29.74,17.64,18.07,5.86,10840.63,542323.0_KPIGREEN
KPIT Technologi.,542651.0,KPITTECH,Computers - Software - Medium / Small,1680.1,258.51,1017.37,182.35,6.72,189.12,42.21,146.91,10.66,136.2,24.62,111.62,-0.05,111.58,17.92,10.97,270.02,4.07,46058.87,542651.0_KPITTECH
KPT Industries,505299.0,__NA__,Engineering,784.0,5.63,35.41,4.39,0.23,4.62,0.78,3.84,1.27,2.57,0.82,1.75,0.0,1.75,12.4,4.94,1.7,5.15,266.55,505299.0___NA__
Kranti Industrie,542459.0,__NA__,Auto Ancillaries,68.96,1.59,22.34,1.06,4.13,5.19,1.09,4.1,0.52,3.58,0.74,2.83,0.0,2.83,4.74,12.67,10.56,2.68,78.69,542459.0___NA__
Kratos Energy,501261.0,__NA__,Miscellaneous,323.2,-0.03,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.03,0.0,-0.03,,,1.0,-0.3,32.32,501261.0___NA__
KRBL,530813.0,KRBL,Food - Processing - Indian,291.25,177.85,1280.26,143.86,43.2,187.06,19.33,167.73,7.82,159.91,41.93,117.98,0.0,117.98,11.24,9.22,23.54,5.01,6666.4,530813.0_KRBL
Krebs Biochem,524518.0,KREBSBIO,Pharmaceuticals - Indian - Bulk Drugs,72.93,-2.09,11.46,-4.62,0.19,-4.43,1.48,-5.91,1.03,-6.94,0.0,-6.94,0.0,-6.94,-40.31,-60.56,21.56,-3.22,157.23,524518.0_KREBSBIO
Kreon Finnancial,530139.0,__NA__,Finance & Investments,42.75,-1.83,2.65,1.25,0.06,1.31,0.19,1.12,0.11,1.01,-0.6,1.62,0.0,1.62,47.17,61.13,10.91,1.19,86.45,530139.0___NA__
Kretto Syscon,531328.0,__NA__,Construction,1.21,-0.02,0.0,-0.14,0.3,0.16,0.0,0.16,0.0,0.16,0.07,0.09,0.0,0.09,,,15.68,0.01,18.97,531328.0___NA__
Kridhan Infra,533482.0,KRIDHANINF,Trading,4.56,-0.15,2.08,0.72,-20.02,0.83,0.1,0.73,0.0,-19.4,0.25,0.24,-20.13,-19.65,34.62,11.54,18.96,-2.07,43.22,533482.0_KRIDHANINF
Krishana Phosch.,-1.0,KRISHANA,Fertilizers,294.35,23.59,145.3,18.7,1.15,19.85,2.32,17.53,3.32,14.21,7.98,6.23,0.0,6.23,12.87,4.29,29.64,1.05,1782.39,-1.0_KRISHANA
Krishanveer Forg,513369.0,__NA__,Castings & Forgings,95.17,2.16,19.02,2.57,0.0,2.57,0.39,2.18,0.2,1.98,0.37,1.61,0.0,1.61,13.51,8.46,10.94,1.47,104.12,513369.0___NA__
Krishca Strapp.,-1.0,KRISHCA,Steel - Medium / Small,324.4,7.97,,,,,,,,,,,,,,,,,391.55,-1.0_KRISHCA
Krishival Foods,-1.0,KRISHIVAL,Food - Processing - Indian,215.0,6.19,45.33,6.44,0.15,1.25,0.42,0.83,0.68,0.15,0.09,0.06,0.0,4.27,18.3,1.0,19.8,2.16,479.35,-1.0_KRISHIVAL
Krishna Capital,539384.0,__NA__,Finance & Investments,22.11,0.02,0.11,0.06,0.02,0.08,0.0,0.08,0.0,0.08,0.0,0.08,0.0,0.08,54.55,72.73,3.16,0.25,6.98,539384.0___NA__
Krishna Defence,-1.0,KRISHNADEF,Diversified - Medium / Small,1040.85,4.7,44.1,5.63,,,,,,,,,,3.66,,,,3.2,1426.49,-1.0_KRISHNADEF
Krishna Fil. Ind,500248.0,__NA__,Textiles - Products,3.79,-0.03,0.0,-0.07,0.0,-0.07,0.0,-0.07,0.0,-0.07,0.0,-0.07,0.0,-0.07,,,7.79,-0.09,2.95,500248.0___NA__
Krishna Institu.,543308.0,KIMS,Healthcare,2108.7,147.0,575.93,163.23,4.89,168.12,35.43,132.69,5.42,127.27,28.6,93.27,0.0,98.67,28.34,17.13,80.03,11.65,16875.44,543308.0_KIMS
Krishna Vent.,504392.0,__NA__,Construction,90.51,-0.17,1.38,0.17,0.0,0.17,0.04,0.13,0.08,0.05,0.0,0.05,0.0,0.05,12.32,3.62,10.8,0.05,97.75,504392.0___NA__
Kriti Industries,526423.0,KRITI,Plastics Products,189.85,17.85,188.35,15.65,0.11,15.86,2.31,13.55,5.17,8.28,-7.71,16.09,-0.1,15.99,8.31,8.54,4.96,3.22,941.65,526423.0_KRITI
Kriti Nutrients,533210.0,KRITINUT,Solvent Extraction,109.95,18.6,181.18,9.24,0.53,9.77,0.99,8.78,1.03,7.75,2.12,5.63,0.0,5.63,5.1,3.11,5.01,1.12,550.9,533210.0_KRITINUT
Kritika Wires,-1.0,KRITIKA,Steel - Medium / Small,19.24,2.14,92.73,4.15,1.29,5.44,0.58,4.86,1.01,3.85,1.06,2.79,0.0,2.79,4.48,3.01,17.75,0.1,512.32,-1.0_KRITIKA
Kronox Lab,544187.0,KRONOX,Chemicals,154.4,6.31,21.47,3.99,0.14,4.13,0.3,3.83,0.0,3.83,1.4,2.44,0.0,2.44,18.58,11.36,,0.66,572.88,544187.0_KRONOX
Krsnaa Diagnost.,543328.0,KRSNAA,Healthcare,615.95,34.83,115.86,25.09,5.94,31.03,14.6,16.43,2.23,14.2,2.4,11.81,0.0,11.81,21.66,10.19,15.7,3.76,1988.88,543328.0_KRSNAA
Krypton Industri,523550.0,__NA__,Tyres,42.33,1.23,10.08,1.07,0.36,1.43,0.65,0.78,0.54,0.24,-0.01,0.25,0.0,0.25,10.62,2.48,14.7,0.18,62.23,523550.0___NA__
Krystal Integrat,544149.0,KRYSTAL,Miscellaneous,817.95,18.23,185.94,9.56,1.85,11.41,1.49,9.92,2.62,7.3,-1.84,9.15,0.0,9.15,5.14,4.92,,15.88,1142.85,544149.0_KRYSTAL
KSB,500249.0,KSB,Pumps,4835.95,80.9,489.6,57.2,10.5,67.7,11.7,56.0,0.8,55.2,14.3,40.9,0.0,40.9,11.68,8.35,,11.75,16833.95,500249.0_KSB
KSE,519421.0,__NA__,Food - Processing - Indian,2470.0,7.81,395.48,-4.88,1.98,-2.9,1.27,-4.17,0.52,-4.69,-1.1,-3.59,0.0,-3.59,-1.23,-0.91,3.2,-11.22,790.4,519421.0___NA__
Kshitij Polyline,-1.0,KSHITIJPOL,Plastics Products,7.02,-2.74,9.61,0.9,0.04,0.94,0.29,0.65,0.27,0.38,0.09,0.29,0.0,0.29,9.37,3.02,,0.03,64.01,-1.0_KSHITIJPOL
Ksolves India,543599.0,KSOLVES,Computers - Software - Medium / Small,1146.65,11.93,22.46,9.03,0.42,9.45,0.12,9.33,0.0,9.33,2.15,7.18,0.0,7.18,40.2,31.97,11.86,6.06,1359.51,543599.0_KSOLVES
Kuantum Papers,532937.0,KUANTUM,Paper,157.75,79.37,343.73,114.02,0.12,114.14,11.5,102.64,15.86,86.78,21.73,65.05,0.0,65.05,33.17,18.92,8.73,7.45,1376.57,532937.0_KUANTUM
Kuber Udyog,539408.0,__NA__,Finance & Investments,14.02,0.03,0.26,0.07,0.34,0.41,0.0,0.41,0.06,0.35,0.0,0.35,0.0,0.35,26.92,134.62,3.43,1.02,4.81,539408.0___NA__
Kuberan Global,543289.0,__NA__,Miscellaneous,15.3,0.16,0.43,0.15,,,,,,,,,,-0.02,,,,-0.09,3.22,543289.0___NA__
Kumbhat Fin.,526869.0,__NA__,Finance & Investments,17.97,0.08,0.09,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.01,0.04,0.0,0.04,55.56,44.44,,0.08,8.53,526869.0___NA__
Kundan Edifice,-1.0,KEL,Electric Equipment,142.1,5.73,,,,,,,,,,,,,,,,,145.97,-1.0_KEL
Kunststoff Inds.,523594.0,__NA__,Plastics Products,27.0,0.31,4.08,0.55,0.06,0.61,0.06,0.55,0.0,0.55,0.12,0.43,0.0,0.43,13.48,10.54,6.89,0.62,18.59,523594.0___NA__
Kush Industries,514240.0,__NA__,Textiles - Processing,12.66,-0.03,0.01,-0.04,0.02,-0.02,0.01,-0.03,0.0,-0.03,0.0,-0.03,0.0,-0.03,-400.0,-300.0,14.85,-0.02,19.31,514240.0___NA__
Kuwer Industries,530421.0,__NA__,Packaging,12.24,0.86,15.46,3.73,0.09,3.82,0.53,3.29,0.48,2.81,-0.02,2.83,0.0,2.83,24.13,18.31,,3.12,11.11,530421.0___NA__
Kwality Pharma,539997.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,495.0,16.68,68.8,11.49,-15.07,12.95,4.43,8.52,1.67,-9.68,-2.28,8.94,-16.53,-7.4,16.7,13.02,10.38,-7.11,513.62,539997.0___NA__
L G Balakrishnan,500250.0,LGBBROSLTD,Auto Ancillaries,1449.0,106.53,523.02,89.18,16.41,97.56,20.21,77.35,2.32,83.06,28.54,49.14,8.03,54.53,17.05,9.42,31.39,17.33,4548.72,500250.0_LGBBROSLTD
L T Foods,532783.0,LTFOODS,Food - Processing - Indian,263.0,238.64,1821.38,196.37,33.55,229.92,35.12,194.8,25.8,169.0,37.19,128.19,0.0,131.82,10.78,7.24,31.98,3.69,9132.73,532783.0_LTFOODS
L&T Finance Ltd,533519.0,LTF,Finance & Investments,185.45,2159.36,3242.86,1934.29,201.57,2135.86,28.53,2107.33,1444.89,662.44,245.51,416.93,0.0,416.93,59.65,12.86,2474.04,2.02,46174.11,533519.0_LTF
L&T Technology,540115.0,LTTS,Computers - Software - Large,4983.0,454.9,2152.6,451.0,49.3,500.3,50.5,449.8,10.4,439.4,116.7,322.7,0.0,322.7,20.95,14.99,21.1,30.56,52734.76,540115.0_LTTS
La Opala RG,526947.0,LAOPALA,Glass & Glass Products,325.45,40.63,108.88,40.21,6.94,47.15,5.84,41.31,2.39,38.92,9.72,29.2,0.0,29.2,36.93,26.82,22.2,2.63,3612.51,526947.0_LAOPALA
La Tim Metal & I,505693.0,__NA__,Trading,14.92,3.09,58.59,1.26,0.92,2.18,0.61,1.57,1.32,0.25,0.07,0.18,0.0,0.18,2.15,0.31,8.83,0.01,194.03,505693.0___NA__
Labelkraft Tech.,543830.0,__NA__,Computers - Hardware,65.5,0.74,13.44,1.02,,,,,,,,,,0.21,,,,0.65,21.25,543830.0___NA__
Lactose (India),524202.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs,182.0,5.72,25.99,4.0,0.14,4.14,1.19,2.95,1.84,1.11,0.23,0.89,0.0,0.89,15.39,3.42,12.59,0.71,229.12,524202.0___NA__
Ladam Affordab.,540026.0,__NA__,Construction,8.04,-0.04,0.92,-0.42,0.3,-0.12,0.05,-0.17,0.0,-0.17,0.01,-0.19,0.0,-0.19,-45.65,-20.65,9.15,-0.1,14.73,540026.0___NA__
Ladderup Finance,530577.0,__NA__,Finance & Investments,39.9,1.18,2.89,-0.03,0.48,0.45,0.14,0.31,0.17,0.14,0.12,0.01,0.0,0.03,-1.04,1.04,12.85,0.01,51.27,530577.0___NA__
Laffans Petroch,524522.0,__NA__,Trading,39.15,-0.72,0.73,-0.37,2.01,1.64,0.12,1.52,0.02,1.5,0.32,1.18,0.0,1.18,-50.68,161.64,8.0,1.47,31.32,524522.0___NA__
Lagnam Spintex,-1.0,LAGNAM,Textiles - Products,143.0,11.45,90.37,7.43,0.04,7.47,1.82,5.65,3.38,2.27,0.75,1.52,0.0,1.52,8.22,1.68,17.67,0.86,252.66,-1.0_LAGNAM
Lahoti Overseas,531842.0,__NA__,Trading,51.5,3.86,84.03,0.93,2.09,2.78,0.77,2.01,0.18,2.07,0.65,1.27,0.24,1.43,1.11,1.51,5.85,0.49,150.21,531842.0___NA__
Lak. Auto. Looms,505302.0,__NA__,Miscellaneous,3041.45,0.64,3.39,0.76,0.47,1.23,0.25,0.98,0.31,0.67,0.17,0.5,0.0,0.5,22.42,14.75,6.69,7.48,203.4,505302.0___NA__
Lak. Electrical,504258.0,__NA__,Electric Equipment,1519.9,2.4,95.78,5.74,0.86,6.6,0.7,5.9,0.16,5.74,1.69,4.05,0.0,4.05,5.99,4.23,2.46,16.48,373.89,504258.0___NA__
