Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,Change in DII holding,DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter,join_key
Jyoti Resins,514448.0,__NA__,Chemicals,1429.9,1715.88,25.57,0.43,10.33,27.91,0.0,49.31,50.83,5.61,0.0,39.79,1605.29,1.2,138.53,17.25,2.1,0.0,7.0,4.0,1.07,1.45,41670.0,50.83,40.4,133.33,3.67,,10.51,33.16,417.55,112.47,41.9,133.33,21.03,48.79,0.3,-0.2,0.07,0.07,88.32,72.9,25.63,55.12,38015.0,514448.0___NA__
Jyoti Structures,513250.0,JYOTISTRUC,Transmisson Line Towers / Equipment,28.25,2393.74,82.91,0.0,,1.25,71.11,,0.0,0.49,0.0,73.26,4269.91,84.73,-0.3,2.86,6.21,0.0,5.0,0.0,0.2,-90.49,82408.0,0.0,1.01,1642.16,5.57,,1585.81,0.88,,1536.81,232.14,1642.16,126.79,96.12,0.38,0.26,-0.4,3.5,0.34,-0.2,-0.18,-4.59,60714.0,513250.0_JYOTISTRUC
Jyotirgamya Ent.,539246.0,__NA__,Trading,80.77,18.58,,0.0,5.95,-0.26,0.0,-0.35,66.51,-0.05,0.0,34.16,18.56,0.23,13.57,,0.34,,3.0,4.0,0.0,1.34,615.0,66.51,-0.75,,3.16,,,-0.26,,,,,,33.49,0.0,0.0,0.0,0.0,12.48,0.0,0.0,0.0,615.0,539246.0___NA__
K C P,590066.0,KCP,Cement - South India,243.55,3139.9,16.61,0.04,2.23,10.32,0.34,14.34,43.95,12.33,0.0,25.9,2704.37,12.89,109.37,3.34,1.69,0.0,8.0,3.0,1.05,1.93,54321.0,43.95,13.58,22.38,2.04,,60.25,11.82,189.71,141.9,36.55,22.38,156.07,53.46,1.54,-0.36,0.42,1.04,94.99,6.22,3.61,3.45,41153.0,590066.0_KCP
K E C Intl.,532714.0,KEC,Transmisson Line Towers / Equipment,889.05,22856.42,65.89,0.33,5.58,1.84,0.97,8.82,51.88,4.08,0.0,73.26,26568.17,25.71,159.31,7.15,1.03,0.0,6.0,1.0,1.06,4.6,110618.0,51.88,12.82,75.82,5.57,,90.89,5.68,219.89,-271.19,399.68,75.82,52.67,9.83,12.45,1.55,-1.11,25.84,146.7,11.75,1.0,4.74,116281.0,532714.0_KEC
K G Denim,500239.0,__NA__,Textiles - Cotton/Blended,26.31,67.45,,0.0,2.94,-6.99,9.54,-81.29,58.74,-4.51,0.0,26.01,281.42,2.56,8.92,1.63,0.39,0.0,4.0,2.0,0.65,17.68,9897.0,58.74,-4.08,93.6,1.46,,113.45,-3.15,,-20.66,432.9,93.6,318.64,41.25,0.0,0.0,0.0,0.01,18.11,-5.28,-6.35,-46.86,9624.0,500239.0___NA__
K K Fincorp,503669.0,__NA__,Finance & Investments,30.84,17.27,287.88,0.0,1.01,0.38,0.0,0.38,24.13,0.28,0.0,23.18,16.84,0.56,30.5,,1.48,0.0,3.0,1.0,0.01,0.93,885.0,24.13,31.25,0.0,1.78,,-579.71,0.29,8.57,0.0,,0.0,,75.87,0.0,0.0,0.0,0.0,25.84,4.86,4.36,4.37,844.0,503669.0___NA__
K P R Mill Ltd,532889.0,KPRMILL,Textiles - Products,912.55,31192.23,39.67,0.56,7.2,13.72,0.27,19.49,73.76,3.5,0.0,30.63,32171.65,34.18,127.5,2.02,1.11,0.0,5.0,4.0,1.06,1.31,105566.0,73.76,15.87,40.31,5.02,,163.01,18.59,259.99,221.46,11.63,40.31,192.79,6.81,4.64,0.32,-0.33,14.79,108.44,23.94,15.08,22.87,106005.0,532889.0_KPRMILL
K Z Leasing,511728.0,__NA__,Finance & Investments,32.0,9.73,7.72,0.0,0.47,4.42,0.35,6.69,30.25,12.6,0.0,23.18,16.98,0.3,68.16,,0.08,0.0,3.0,5.0,0.02,1.37,3932.0,30.25,7.66,0.0,1.78,,-107.7,6.64,60.26,0.0,,0.0,,69.75,0.0,0.0,0.0,0.0,55.73,3.83,1.99,2.85,3874.0,511728.0___NA__
K-Lifestyle,514221.0,__NA__,Textiles - Products,0.33,33.74,,0.0,,-25.44,,,,-0.82,,31.14,359.71,102.24,-2.98,2.76,0.11,0.0,4.0,1.0,0.01,-0.73,,,-5.85,1235.59,2.37,,-19140.87,-1.51,,1209.38,252.07,1235.59,225.86,,,,,,-2.42,-40.62,-12.22,,,514221.0___NA__
K.P. Energy,539686.0,__NA__,Engineering - Turnkey Services,424.3,2829.64,48.46,0.04,15.25,12.01,0.47,37.13,44.8,3.21,0.0,37.82,2893.12,6.67,27.83,3.16,0.99,0.0,5.0,4.0,0.97,2.62,43282.0,44.8,23.53,194.94,4.55,,74.17,14.38,74.0,131.83,197.45,194.94,134.34,54.87,0.32,0.06,0.0,0.0,19.27,44.92,12.47,39.74,18312.0,539686.0___NA__
K&R Rail Engine.,514360.0,__NA__,Construction,462.0,978.08,55.17,0.0,8.57,,0.0,,55.82,3.1,0.0,36.76,883.5,2.12,53.84,,2.37,0.0,0.0,1.0,,,21069.0,55.82,6.74,83.53,3.11,,48.79,11.22,104.21,50.5,38.73,83.53,5.7,44.19,0.0,0.0,0.0,0.0,,,,,21069.0,514360.0___NA__
K2 Infragen,-1.0,K2INFRA,Engineering - Turnkey Services,278.45,351.34,28.21,0.0,,21.88,0.56,89.44,40.36,5.43,0.0,37.82,354.88,1.26,,,1.67,0.0,3.0,1.0,1.91,4.09,,40.36,42.83,122.64,4.55,,77.22,19.18,,122.64,,122.64,,,,,,,,57.85,27.39,150.0,,-1.0_K2INFRA
Kaarya Facilit.,540756.0,__NA__,Miscellaneous,4.42,4.13,,0.0,,-26.06,,-129.53,55.43,-44.05,0.0,34.07,8.49,0.94,-1.75,0.48,0.72,0.0,3.0,1.0,1.72,4.97,171.0,55.43,-40.95,53.04,3.2,,52.79,-21.53,,53.04,,53.04,,44.58,0.0,0.0,0.0,0.0,3.66,-17.74,-17.09,-43.34,169.0,540756.0___NA__
Kabra Drugs,524322.0,__NA__,Pharmaceuticals - Indian - Formulations,7.91,3.47,,0.0,3.21,-28.08,1.58,-422.86,0.0,-29.48,0.0,26.15,2.51,0.44,2.46,,1.3,,5.0,2.0,0.0,2.44,7364.0,0.0,-26.71,,3.36,,,-16.19,,,,,,100.01,0.0,0.0,0.0,0.0,-1.66,-52.71,-47.55,,7396.0,524322.0___NA__
Kabra Extrusion,524109.0,KABRAEXTRU,Engineering,413.55,1446.29,45.67,0.84,3.24,4.69,0.19,7.59,60.24,3.49,0.0,43.13,1487.21,3.5,128.78,1.9,0.92,0.0,4.0,2.0,0.9,1.5,29965.0,60.24,8.07,59.55,5.46,,153.24,7.28,161.98,195.16,69.54,59.55,205.15,36.08,3.67,-0.11,0.0,0.01,114.36,15.12,6.33,10.68,30185.0,524109.0_KABRAEXTRU
Kabsons Industri,524675.0,__NA__,Trading,24.3,42.43,17.31,0.0,3.57,14.97,0.03,23.17,68.03,6.23,0.0,34.16,40.74,1.75,6.8,85.31,1.18,0.0,8.0,5.0,1.66,1.38,20527.0,68.03,26.26,8.45,3.16,,-8.45,13.98,15.12,8.61,7.41,8.45,7.57,29.93,0.0,0.0,0.0,2.03,5.31,9.55,5.82,9.01,20462.0,524675.0___NA__
Kachchh Minerals,531778.0,__NA__,Mining / Minerals / Metals,31.99,16.95,27.35,0.0,8.84,27.74,0.15,38.51,44.7,4.12,0.0,19.15,16.32,0.53,3.62,6.98,5.81,0.0,8.0,1.0,1.17,1.16,3841.0,44.7,30.45,102.09,3.52,,104.89,26.69,9.76,74.19,67.42,102.09,39.52,55.3,0.0,0.0,0.0,0.0,2.45,-2.05,-4.5,-6.67,3438.0,531778.0___NA__
Kahan Packaging,543979.0,__NA__,Packaging,65.0,17.68,17.68,0.0,2.03,6.9,0.73,57.8,73.49,8.45,0.0,26.93,23.67,0.27,32.1,3.67,1.01,0.0,2.0,5.0,1.7,8.38,306.0,73.49,16.1,49.36,1.82,,64.28,10.17,51.53,65.61,83.12,49.36,99.38,26.51,0.0,0.0,0.0,0.0,,22.9,8.5,84.77,277.0,543979.0___NA__
Kaira Can,504840.0,__NA__,Packaging,1918.0,176.46,46.81,0.63,2.04,3.28,0.0,4.42,45.38,3.35,22.78,26.93,160.96,0.09,940.79,4.03,1.11,0.0,5.0,2.0,1.95,1.32,1584.0,35.04,4.83,24.05,1.82,,52.62,4.65,930.29,70.84,43.24,24.05,90.03,54.63,0.0,0.0,0.0,0.0,910.96,14.33,7.21,9.96,1629.0,504840.0___NA__
Kaiser Corporat.,531780.0,__NA__,Printing & Stationery,10.09,53.11,165.91,0.0,7.31,1.48,1.7,4.5,59.52,3.48,0.0,26.77,64.67,5.26,1.38,1.39,0.78,0.0,6.0,0.0,0.68,5.22,18755.0,59.52,9.38,180.36,3.15,,255.41,6.02,1.37,302.22,221.22,180.36,343.08,40.47,0.0,0.0,0.0,0.0,1.32,9.28,0.75,2.03,15096.0,531780.0___NA__
Kaizen Agro,538833.0,__NA__,Trading,21.9,112.61,1125.96,0.0,0.98,0.1,0.0,0.11,37.52,0.13,0.0,34.16,111.01,5.14,22.36,46.78,89.05,0.0,5.0,5.0,0.33,0.86,1741.0,37.52,0.09,11.39,3.16,,1264.72,0.12,3.13,26.52,0.0,11.39,15.14,52.75,9.72,9.72,0.0,0.0,32.61,0.81,0.5,0.56,1505.0,538833.0___NA__
Kajaria Ceramics,500233.0,KAJARIACER,Ceramics - Tiles / Sanitaryware,1452.0,23124.28,54.76,0.64,8.83,12.58,0.09,17.08,47.49,2.69,0.0,56.36,22849.11,15.93,164.29,5.18,1.85,0.0,7.0,3.0,1.33,1.31,80081.0,47.49,15.66,49.38,1.55,,56.47,16.84,313.01,93.49,54.15,49.38,98.26,8.43,19.18,0.85,-0.62,24.91,146.12,19.73,11.18,15.79,74777.0,500233.0_KAJARIACER
Kaka Industries,543939.0,__NA__,Plastics Products,204.0,278.67,21.44,0.0,5.42,19.55,0.87,66.29,69.88,6.04,0.0,34.93,321.58,1.37,37.69,7.68,0.66,0.0,5.0,4.0,2.56,3.39,1312.0,69.88,29.02,37.95,3.72,,65.64,18.14,89.83,73.95,11.51,37.95,47.5,29.45,0.0,-1.42,-0.75,0.66,,25.18,12.78,44.72,787.0,543939.0___NA__
Kakatiya Cement,500234.0,KAKATCEM,Cement - South India,229.25,178.12,,1.3,0.79,-0.39,0.42,-0.59,54.25,2.29,0.0,25.9,156.22,0.78,289.74,1.86,1.35,0.0,4.0,5.0,0.45,1.55,22089.0,54.25,1.3,42.41,2.04,,191.27,1.03,,405.99,81.85,42.41,445.42,45.75,0.01,-0.04,0.0,0.0,294.29,0.02,-1.36,-1.92,22771.0,500234.0_KAKATCEM
Kakatiya Textile,521054.0,__NA__,Textiles - Cotton/Blended,25.78,14.98,,0.0,,-6.84,,,51.03,-5.54,0.0,26.01,30.62,0.58,-24.46,0.42,0.11,0.0,4.0,1.0,0.03,-1.72,10335.0,51.03,-27.18,129.37,1.46,,-7526.39,-6.21,,129.37,,129.37,,48.96,0.0,0.0,0.0,0.02,-22.03,10.35,-0.64,,10341.0,521054.0___NA__
Kalahridhaan,-1.0,KTL,Textiles - Products,39.5,67.89,8.43,0.0,1.4,7.34,1.38,44.43,68.24,13.94,0.0,31.14,134.86,1.72,28.29,3.51,1.19,0.0,4.0,5.0,1.77,6.05,808.0,68.24,18.0,102.69,2.37,,138.2,14.19,54.6,146.05,60.71,102.69,104.06,31.76,0.0,,,0.0,,18.91,6.26,45.03,,-1.0_KTL
Kallam Textiles,530201.0,__NA__,Textiles - Cotton/Blended,7.86,41.5,,0.0,0.26,-6.92,1.94,-20.63,46.76,-5.79,0.0,26.01,357.35,5.28,30.9,2.73,0.2,0.0,3.0,2.0,0.68,3.32,10546.0,46.76,-2.89,17.11,1.46,,114.5,-4.05,,106.52,18.43,17.11,107.84,53.26,0.0,-0.2,0.0,0.0,37.86,1.43,-2.24,-6.26,9173.0,530201.0___NA__
Kalpataru Proj.,522287.0,KPIL,Transmisson Line Towers / Equipment,1147.3,18637.43,36.49,0.68,3.69,2.49,0.78,10.37,40.59,6.37,31.51,73.26,21613.64,16.24,316.29,6.61,1.14,0.0,8.0,4.0,0.95,4.04,76744.0,27.8,11.4,107.96,5.57,,92.51,6.39,472.5,-92.31,260.48,107.96,60.2,7.6,8.17,0.48,-0.17,43.64,290.6,14.08,2.11,8.57,68851.0,522287.0_KPIL
Kalyan Capitals,538778.0,__NA__,Finance & Investments,16.97,89.09,14.83,0.0,1.91,4.54,2.66,13.67,67.6,14.32,4.82,23.18,211.88,5.25,8.95,,1.51,0.0,5.0,6.0,0.19,3.46,7444.0,64.34,423.81,0.0,1.78,,-0.23,16.65,15.18,0.0,,0.0,,32.41,0.0,0.0,0.0,0.0,7.8,14.38,3.07,10.01,5375.0,538778.0___NA__
Kalyan Jewellers,543278.0,KALYANKJIL,Diamond Cutting / Jewellery,487.8,50273.32,84.34,0.1,12.02,5.07,1.07,15.24,60.63,2.02,0.0,24.82,53784.58,103.06,40.67,2.07,0.22,0.0,7.0,5.0,1.58,2.81,370812.0,60.63,10.31,6.46,2.38,,95.95,8.68,72.85,152.91,44.81,6.46,191.27,7.26,21.1,-5.11,5.52,11.0,35.29,12.69,4.64,13.46,371648.0,543278.0_KALYANKJIL
Kalyani Cast-Tec,544023.0,__NA__,Castings & Forgings,481.0,345.38,35.98,0.0,6.86,39.52,0.15,67.42,69.83,3.86,0.0,32.3,343.4,0.72,70.12,7.72,2.96,17.75,2.0,4.0,3.89,1.71,958.0,69.83,56.6,6.26,3.65,,24.84,20.65,145.24,39.98,13.57,6.26,47.29,29.68,0.38,-2.49,-0.93,0.11,,83.21,39.84,78.67,877.0,544023.0___NA__
Kalyani Forge,513509.0,KALYANIFRG,Castings & Forgings,555.0,202.02,44.4,0.54,2.46,2.22,0.74,4.85,58.71,4.59,0.0,32.3,257.0,0.36,225.43,1.8,0.83,0.0,6.0,3.0,1.15,2.5,5878.0,58.71,6.75,95.35,3.65,,117.04,5.63,251.86,129.38,146.31,95.35,180.33,41.29,0.0,0.0,0.0,0.0,289.94,6.25,1.89,3.52,5530.0,513509.0_KALYANIFRG
Kalyani Invest.,533302.0,KICL,Finance & Investments,6453.55,2820.2,49.3,0.0,0.34,0.8,0.0,0.83,74.97,2.88,0.0,23.18,2637.65,0.44,18580.65,,85.39,0.0,6.0,5.0,0.01,0.88,19637.0,74.97,31.64,0.0,1.78,,-10.01,0.87,7400.73,0.0,,0.0,,23.49,1.39,-0.51,0.12,0.13,12989.94,1.04,0.77,0.78,18615.0,533302.0_KICL
Kalyani Steels,500235.0,KSL,Steel - Medium / Small,990.8,4325.81,17.47,1.01,3.15,,0.25,,64.7,10.4,0.0,27.86,3691.11,4.37,313.26,,2.01,,2.0,3.0,,,45777.0,64.7,,,2.94,,,15.82,633.78,,,,,20.59,2.54,-0.17,2.81,12.18,,,,,42135.0,500235.0_KSL
Kama Holdings,532468.0,__NA__,Finance & Investments,2991.0,9598.31,11.0,1.16,1.46,7.58,0.76,14.18,75.0,15.95,0.0,23.18,14036.65,3.21,2059.38,3.5,1.14,0.0,5.0,3.0,0.66,3.07,15701.0,75.0,11.14,52.79,1.78,,58.11,10.38,3551.91,59.81,119.57,52.79,126.59,24.69,0.3,0.08,0.0,0.0,1780.38,22.88,13.04,23.63,15111.0,532468.0___NA__
Kamadgiri Fash.,514322.0,__NA__,Textiles - Processing,75.48,44.3,,0.0,1.29,-1.02,1.21,-4.02,34.01,6.62,0.0,21.29,85.5,0.59,58.57,2.48,0.62,0.0,6.0,2.0,1.57,4.02,1381.0,34.01,6.07,57.3,2.79,,93.77,4.68,,121.75,77.06,57.3,141.52,65.98,0.0,0.0,0.0,0.0,61.01,9.28,0.36,1.72,1288.0,514322.0___NA__
Kamanwala Housin,511131.0,__NA__,Construction,16.85,23.72,,0.0,0.35,-3.0,0.02,-3.27,41.43,-9.27,0.39,36.76,25.25,1.41,49.46,0.29,3.95,0.0,3.0,4.0,0.04,1.1,5008.0,41.27,-6.34,73.0,3.11,,4699.38,-3.03,,1287.93,28.68,73.0,1243.61,58.57,0.0,0.0,0.0,0.0,50.9,-3.34,-2.93,-3.13,4402.0,511131.0___NA__
Kamat Hotels,526668.0,KAMATHOTEL,Hotels,226.75,587.41,28.95,0.0,2.87,3.31,1.29,11.67,64.2,10.38,81.38,47.22,818.19,2.59,79.38,11.21,0.56,0.0,5.0,2.0,0.5,2.98,24816.0,11.95,19.96,10.47,4.25,,-88.85,13.75,175.84,-363.64,432.67,10.47,58.55,35.58,0.21,-0.3,0.0,0.0,57.75,26.07,14.33,,14620.0,526668.0_KAMATHOTEL
Kamdhenu,532741.0,KAMDHENU,Steel - Medium / Small,521.5,1404.69,28.02,0.29,6.58,20.35,0.01,24.81,58.74,5.02,0.0,27.86,1353.44,2.69,79.23,39.52,5.75,0.0,8.0,5.0,2.94,1.04,19174.0,58.74,22.57,27.47,2.94,,62.78,23.77,182.26,19.16,16.65,27.47,8.34,36.68,6.12,2.12,-0.01,0.18,61.96,23.22,12.25,20.94,17169.0,532741.0_KAMDHENU
Kamdhenu Venture,543747.0,KAMOPAINTS,Trading,41.2,1295.14,93.5,0.0,8.15,5.65,0.13,11.55,50.33,1.47,0.0,34.16,1307.22,31.44,5.07,2.57,1.56,0.0,6.0,1.0,1.19,1.54,27786.0,50.33,8.71,180.04,3.16,,166.75,6.89,7.09,169.31,160.42,180.04,149.69,39.16,10.53,-6.3,0.0,0.0,2.99,-6.95,-10.26,-27.98,18932.0,543747.0_KAMOPAINTS
Kanani Industrie,506184.0,KANANIIND,Diamond Cutting / Jewellery,2.89,57.17,92.24,0.0,0.87,0.55,0.09,0.98,57.21,2.42,0.0,24.82,61.96,19.79,3.2,10.14,3.01,0.0,6.0,3.0,1.98,1.78,65336.0,57.21,1.91,123.47,2.38,,111.08,1.51,1.5,109.82,42.28,123.47,28.63,42.8,0.0,0.0,0.0,0.0,3.17,3.72,1.59,3.56,41801.0,506184.0_KANANIIND
Kanchi Karpooram,538896.0,__NA__,Chemicals,478.0,207.65,,0.21,1.06,-0.22,0.0,-0.22,49.78,0.91,0.0,39.79,159.02,0.43,454.48,1.6,10.25,0.0,4.0,3.0,0.71,1.04,13815.0,49.78,-0.27,39.85,3.67,,195.41,0.68,118.85,232.91,5.12,39.85,198.18,50.22,0.0,-0.47,0.0,0.0,454.48,,,,14536.0,538896.0___NA__
Kanco Tea,541005.0,__NA__,Tea,70.0,35.87,,1.43,0.53,-7.12,0.56,-12.33,70.35,-9.62,0.0,30.73,64.51,0.51,131.26,4.68,0.43,0.0,2.0,6.0,0.62,1.85,8007.0,70.35,-7.87,5.2,1.36,,13.12,-5.06,,-11.37,103.77,5.2,87.2,29.25,0.0,0.0,0.0,0.31,148.69,8.51,5.82,9.54,8102.0,541005.0___NA__
Kandagiri Spinng,521242.0,__NA__,Trading,28.0,10.78,,0.0,,-11.76,,,64.93,1.94,0.0,34.16,28.86,0.38,-16.78,,0.44,0.0,4.0,1.0,0.1,-2.33,2415.0,64.93,6.22,386.9,3.16,,-343.1,3.8,,386.9,,386.9,0.0,35.06,0.0,0.0,0.0,0.0,-12.18,25.32,7.3,,2429.0,521242.0___NA__
Kandarp Digi,-1.0,KANDARP,Computers - Software - Medium / Small,29.6,26.56,26.3,0.0,1.48,3.87,0.27,5.98,69.91,6.74,0.0,34.11,30.42,0.9,19.98,,2.06,0.0,4.0,3.0,0.63,1.54,410.0,69.91,15.91,223.51,3.7,,159.62,8.01,22.5,223.51,,223.51,,30.09,0.0,0.0,0.0,0.0,18.81,10.54,4.57,8.28,456.0,-1.0_KANDARP
Kanel Indust.,500236.0,__NA__,Trading,1.62,2.99,,0.0,,-5.11,,,0.07,-1.99,0.0,34.16,13.65,1.84,-4.0,,2.4,,3.0,1.0,0.0,-0.72,31296.0,0.07,-8.18,,3.16,,,-5.12,,,,,,99.93,0.0,0.0,0.0,0.0,-3.86,-4.68,-3.33,,31457.0,500236.0___NA__
Kanishk Steel,513456.0,__NA__,Steel - Medium / Small,28.45,80.9,31.12,0.0,0.82,1.43,0.56,2.7,67.89,6.42,0.0,27.86,129.89,2.84,34.33,9.43,1.28,0.0,8.0,3.0,2.13,1.87,7126.0,67.89,5.04,20.11,2.94,,68.31,4.25,26.59,26.66,22.35,20.11,28.89,32.11,0.0,0.0,0.0,0.0,33.4,2.58,0.8,1.39,6713.0,513456.0___NA__
Kanoria Chem.,506525.0,KANORICHEM,Chemicals,131.1,572.89,,0.0,0.95,-3.64,0.85,-6.24,74.4,0.91,29.57,39.79,1068.7,4.37,137.61,3.54,0.55,0.0,4.0,3.0,0.99,2.47,17571.0,52.4,0.85,45.86,3.67,,61.92,0.64,,68.34,81.98,45.86,104.46,25.39,0.14,0.07,-0.02,0.08,138.56,1.27,-1.57,-2.57,18177.0,506525.0_KANORICHEM
Kanoria Energy,539620.0,__NA__,Cement Products,31.22,266.28,34.1,0.15,3.01,2.78,1.41,9.19,73.95,6.16,0.0,44.59,378.78,8.53,10.4,1.72,0.31,0.0,3.0,3.0,1.24,3.16,5620.0,73.95,7.78,18.15,2.38,,131.35,7.87,14.69,206.58,79.66,18.15,268.09,26.06,0.0,0.0,0.0,0.0,9.53,13.65,3.9,12.46,4669.0,539620.0___NA__
Kanpur Plastipa.,507779.0,KANPRPLA,Packaging,105.15,225.72,278.68,0.48,1.25,0.18,1.25,0.45,66.74,4.08,0.0,26.93,446.58,2.15,83.85,3.41,0.52,0.0,2.0,2.0,1.13,2.45,10346.0,66.74,2.24,55.35,1.82,,110.1,3.85,26.68,148.99,22.25,55.35,115.88,33.26,0.0,0.0,0.0,0.0,83.86,4.63,1.27,2.93,9293.0,507779.0_KANPRPLA
Kansai Nerolac,500165.0,KANSAINER,Paints / Varnishes,273.5,22109.18,34.19,0.93,3.96,9.43,0.05,12.79,74.99,4.06,0.0,50.34,22125.65,80.84,69.06,2.71,1.14,0.0,8.0,2.0,1.14,1.23,114008.0,74.99,15.83,62.45,7.63,,83.36,11.98,150.95,110.2,88.38,62.45,136.13,8.68,4.72,0.44,-0.23,11.61,56.08,14.26,7.7,10.68,114047.0,500165.0_KANSAINER
Kanungo Financi.,540515.0,__NA__,Finance & Investments,5.23,2.42,9.31,0.0,0.4,1.67,2.08,4.41,20.5,6.75,0.0,23.18,14.37,0.46,13.01,,40.48,0.0,2.0,5.0,0.0,2.59,1174.0,20.5,3.48,,1.78,,,5.21,12.82,,,,,79.5,0.0,0.0,0.0,0.0,12.45,4.49,2.04,4.67,796.0,540515.0___NA__
Kapil Cotex,512036.0,__NA__,Textiles - Processing,144.0,14.98,9.73,0.0,1.38,19.76,0.0,21.51,62.71,28.7,0.0,21.29,6.55,0.1,104.23,,20.98,,5.0,3.0,0.0,0.72,320.0,62.71,18.8,,2.79,,,16.31,186.35,,,,,37.3,0.0,0.0,0.0,0.0,33.56,-0.83,-0.71,-0.83,318.0,512036.0___NA__
Kapil Raj Financ,539679.0,__NA__,Finance & Investments,22.8,24.94,,0.0,2.04,-0.2,0.0,-0.31,0.0,-0.08,0.0,23.18,24.88,1.09,11.16,,444.0,0.0,1.0,2.0,0.0,1.52,1764.0,0.0,-0.32,,1.78,,,-0.16,,,,,,99.99,0.0,0.0,0.0,0.0,12.65,5.41,3.26,4.24,1837.0,539679.0___NA__
Kapston Services,-1.0,KAPSTON,Miscellaneous,379.9,385.37,30.65,0.0,5.38,6.51,1.43,19.3,72.87,4.31,0.0,34.07,480.67,1.01,70.55,1.79,1.36,0.0,7.0,3.0,2.69,2.7,2710.0,72.87,12.33,88.97,3.2,,99.42,9.93,140.25,88.97,,88.97,,27.13,0.0,0.0,0.0,0.0,57.83,7.91,2.96,9.04,2914.0,-1.0_KAPSTON
Karma Energy Ltd,533451.0,KARMAENG,Power Generation And Supply,57.24,66.23,551.91,0.0,1.74,0.23,0.03,0.31,74.7,0.14,0.0,38.17,67.22,1.16,33.22,0.0,1.87,0.0,7.0,1.0,0.23,1.37,8749.0,74.7,-1.18,271.02,2.52,,212.79,0.18,8.81,271.02,,271.02,,25.29,0.0,0.0,0.0,0.0,33.25,6.98,4.71,8.15,8314.0,533451.0_KARMAENG
Karnataka Bank,532652.0,KTKBANK,Banks - Private Sector,224.15,8460.81,6.52,2.23,0.85,1.32,10.83,15.9,0.0,7.19,0.0,12.74,91232.07,37.75,262.96,,7.56,0.0,4.0,5.0,0.08,12.06,300872.0,0.0,6.76,0.0,1.94,,281.23,6.62,452.63,0.0,,0.0,,58.08,18.86,-0.17,5.37,23.06,262.96,5.86,1.24,15.42,267637.0,532652.0_KTKBANK
Karnavati Financ,538928.0,__NA__,Finance & Investments,2.43,24.43,,0.0,2.06,-5.96,1.31,-13.1,58.64,0.0,0.0,23.18,39.84,10.05,1.19,0.0,0.24,0.0,2.0,4.0,0.11,2.35,7462.0,58.64,0.0,0.0,1.78,,-127.27,0.0,,0.0,,0.0,,41.36,0.0,0.0,0.0,0.0,1.35,5.33,2.68,4.21,6703.0,538928.0___NA__
Karnika Industri,-1.0,KARNIKA,Textiles - Products,250.05,310.05,30.7,0.0,5.84,10.03,0.98,55.89,73.39,5.27,0.0,31.14,350.62,1.24,42.83,1.33,1.03,16.67,3.0,3.0,1.26,5.57,307.0,73.39,19.64,115.35,2.37,,192.04,15.42,88.6,244.38,144.47,115.35,273.5,26.61,0.0,,,0.0,,29.29,10.34,45.09,,-1.0_KARNIKA
Kartik Invest.,501151.0,__NA__,Finance & Investments,785.5,19.17,,0.0,4.29,-0.2,0.0,-0.24,74.82,-0.05,0.0,23.18,18.62,0.02,183.2,,18.67,0.0,4.0,4.0,0.01,1.12,138.0,74.82,-1.89,0.0,1.78,,-182.5,-0.19,,0.0,,0.0,,25.19,0.0,0.0,0.0,0.0,164.75,-0.54,-0.46,-0.54,137.0,501151.0___NA__
Karur Vysya Bank,590003.0,KARURVYSYA,Banks - Private Sector,209.45,16848.93,10.51,0.96,1.98,1.78,9.09,18.7,2.2,7.22,6.7,12.74,90223.39,80.44,107.03,,2.18,0.0,6.0,6.0,0.09,10.51,245953.0,2.05,7.5,0.0,1.94,,-23.29,7.2,219.2,0.0,,0.0,,46.19,15.38,-0.23,1.06,36.22,107.03,5.61,1.3,13.66,232052.0,590003.0_KARURVYSYA
Kashyap TeleMed.,531960.0,__NA__,Computers - Software - Medium / Small,2.43,11.59,,0.0,18.12,-4.41,0.0,-4.58,36.4,-0.26,0.0,34.11,11.5,4.77,0.13,,2.0,0.0,3.0,4.0,0.28,1.06,6779.0,36.4,-60.0,19.21,3.7,,-76.84,-4.41,,19.21,,19.21,,63.54,0.0,0.0,0.0,0.06,0.14,0.0,0.0,0.0,6237.0,531960.0___NA__
Katare Spinning,502933.0,__NA__,Textiles - Cotton/Blended,225.85,64.37,,0.0,0.55,-1.52,0.03,-1.58,49.84,-2.54,0.0,26.01,67.89,0.28,412.6,2.07,0.57,0.0,4.0,2.0,0.03,1.05,2076.0,49.84,-1.34,155.12,1.46,,302.04,-1.43,,308.99,4.49,155.12,158.35,49.89,0.0,0.0,0.0,0.28,419.16,-1.9,-2.13,-2.22,2133.0,502933.0___NA__
