Name,BSE Code,NSE Code,Industry,Current Price,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Net cash flow last year,Cash beginning of last year,Cash end of last year,Free cash flow preceding year,Cash from operations preceding year,Cash from investing preceding year,Cash from financing preceding year,Net cash flow preceding year,Cash beginning of preceding year,Cash end of preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Free cash flow 10years,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Operating cash flow 10years,Investing cash flow 10years,Investing cash flow 7years,Investing cash flow 5years,Investing cash flow 3years,Cash 3Years back,Cash 5Years back,Cash 7Years back,Market Capitalization,join_key
KIOCL,540680.0,KIOCL,Mining / Minerals / Metals,452.85,104.73,8.66,-127.39,-372.44,-395.1,508.58,456.95,-732.48,-309.36,129.19,337.05,156.87,351.71,773.29,-944.26,-930.69,-1162.47,-1568.33,-134.71,-59.51,-285.36,-678.52,1318.34,784.8,216.42,-130.59,1422.04,1526.87,1845.01,27522.03,540680.0_KIOCL
Kiran Print Pack,531413.0,__NA__,Trading,17.75,-2.7,-2.32,0.55,0.0,-2.16,2.32,0.16,-0.03,-0.03,0.07,0.0,0.04,2.28,2.32,-2.69,-2.7,-1.48,-1.42,-3.07,-3.08,-1.87,-2.0,0.47,0.05,1.08,0.76,2.48,1.79,0.37,8.88,531413.0___NA__
Kiran Syntex,530443.0,__NA__,Textiles - Spinning - Synthetic / Blended,8.65,-0.24,-0.24,0.0,0.25,0.01,0.02,0.03,-0.07,-0.07,0.0,0.07,0.0,0.01,0.02,-0.33,-0.35,-0.41,-0.82,-0.33,-0.35,-0.41,-0.82,0.11,0.04,0.04,0.02,0.01,0.02,0.08,3.68,530443.0___NA__
Kiran Vyapar,537750.0,__NA__,Finance & Investments,189.5,58.37,58.21,26.72,-53.42,31.68,17.86,49.54,-34.66,-45.3,-70.66,94.2,-21.76,39.61,17.86,90.44,48.29,87.32,75.19,78.36,38.16,74.45,84.98,35.62,-28.5,-23.33,-83.96,15.27,9.23,22.07,517.04,537750.0___NA__
Kiri Industries,532967.0,KIRIINDUS,Dyes And Pigments,331.95,-60.58,-60.52,0.11,49.68,-10.79,27.48,93.97,67.01,89.18,-17.95,-56.99,14.24,13.24,98.53,61.46,67.31,92.06,242.3,120.8,317.26,522.96,871.6,-969.34,-405.95,-221.18,-46.81,10.47,22.57,15.56,1720.63,532967.0_KIRIINDUS
Kirl. Brothers,500241.0,KIRLOSBROS,Pumps,2206.4,376.3,247.0,-189.4,-147.3,39.6,221.3,292.8,209.35,329.24,-72.84,-169.38,87.02,134.27,252.86,506.58,919.71,973.99,1062.32,819.87,1441.68,1613.0,1937.52,-1077.96,-862.71,-761.93,-445.68,175.39,73.53,73.06,17520.74,500241.0_KIRLOSBROS
Kirl. Electric,533193.0,KECL,Electric Equipment,190.75,36.57,34.11,-2.12,-30.65,3.8,12.95,29.24,10.27,7.3,2.06,-33.3,-23.94,36.88,24.68,113.95,255.5,341.94,304.09,78.83,143.2,167.29,130.04,263.02,244.43,177.43,103.04,18.3,15.63,22.17,1266.87,533193.0_KECL
Kirl. Ferrous,500245.0,__NA__,Steel - Pig Iron,705.65,562.7,35.24,-521.26,-61.56,-20.12,55.83,45.6,382.14,797.73,-399.12,-423.36,-24.75,80.58,62.67,337.98,,,,1705.44,,,,,,,-1110.36,,,,9836.93,500245.0___NA__
Kirl.Pneumatic,505283.0,KIRLPNU,Compressors / Drilling Equipment,1349.65,183.42,113.63,-136.41,-33.28,13.73,35.86,53.12,-2.0,39.79,-11.21,-28.4,0.18,35.66,39.44,131.51,141.05,140.45,209.75,332.28,398.63,513.91,587.08,-341.76,-319.54,-248.66,-193.38,52.36,31.92,27.49,8744.96,505283.0_KIRLPNU
Kirloskar Indus.,500243.0,KIRLOSIND,Finance & Investments,5996.6,576.17,83.95,-600.29,-4.59,-28.71,88.98,114.96,344.76,760.49,-368.87,-396.99,-5.37,94.35,202.05,317.63,219.87,187.5,368.68,1653.26,2094.62,2314.24,2661.6,-1871.35,-1770.46,-1631.89,-1180.61,66.19,27.9,84.0,5958.77,500243.0_KIRLOSIND
Kirloskar Oil,533293.0,KIRLOSENG,Engines,1437.1,-468.78,-846.39,-108.87,800.3,222.65,270.3,504.75,-1080.8,-920.3,-144.52,1182.17,117.35,152.95,290.47,-3092.29,-3418.69,-3253.75,,-2429.77,-2569.88,-2241.59,,,-519.39,-488.23,-256.28,258.18,198.37,19.99,20846.39,533293.0_KIRLOSENG
Kisaan Parivar,519230.0,__NA__,Finance & Investments,13.33,3.61,3.61,0.29,2.49,6.4,0.0,0.05,-0.09,-0.09,0.01,0.07,-0.01,0.11,0.1,3.35,3.53,3.45,3.26,3.35,3.53,3.5,3.33,0.27,0.33,0.36,0.33,0.18,0.0,0.0,11.73,519230.0___NA__
Kisan Mouldings,530145.0,__NA__,Plastics Products,67.48,12.48,16.14,3.72,17.75,33.95,0.12,35.5,10.86,12.39,-0.01,-13.79,-1.41,1.52,1.61,58.69,112.0,149.22,243.11,57.37,87.9,139.58,260.01,-14.65,18.27,33.71,2.77,9.47,15.01,12.02,806.13,530145.0___NA__
Kitex Garments,521248.0,KITEX,Textiles - Products,208.9,-38.26,-655.15,-607.38,649.87,4.23,45.52,69.23,-120.69,295.33,-414.68,57.02,-62.33,107.85,100.81,-812.65,-683.94,-761.44,-517.02,247.14,414.44,451.62,759.74,-1312.86,-1232.49,-1101.95,-1068.51,151.4,98.95,134.53,1389.18,521248.0_KITEX
KJMC Corporate,532304.0,__NA__,Finance & Investments,72.0,9.7,9.63,-8.15,-0.28,1.28,7.03,8.31,-7.9,-7.49,2.53,-2.35,-7.32,14.34,7.03,1.72,11.11,14.49,12.6,3.52,13.01,16.69,15.06,-15.6,-14.15,-12.32,-4.69,10.97,7.01,0.26,28.26,532304.0___NA__
KJMC Financial,530235.0,__NA__,Finance & Investments,64.63,3.38,3.35,-1.56,-1.92,-0.1,0.45,0.36,-3.78,-3.51,0.74,2.83,0.06,0.4,0.45,-2.44,-3.08,-4.66,-8.75,-1.37,-1.98,-3.34,-7.4,7.9,14.25,5.2,0.89,0.28,6.92,0.19,30.93,530235.0___NA__
KK Shah Hospital,544013.0,__NA__,Healthcare,45.91,-0.58,-1.56,-9.02,8.39,-1.21,2.02,3.73,-1.12,0.22,-1.36,4.87,3.73,0.0,3.73,,,,,,,,,,,,,,,,31.26,544013.0___NA__
KKalpana Inds.,526409.0,__NA__,Plastics Products,12.99,1.88,2.99,3.0,-9.89,-5.01,10.76,5.76,-9.51,-4.16,-6.09,20.79,10.53,0.23,10.76,-5.98,96.8,421.08,641.18,2.68,114.78,490.78,793.25,-136.14,-59.36,-13.64,-8.03,7.75,16.92,15.59,122.21,526409.0___NA__
Kkalpana Plastic,523652.0,__NA__,Plastics Products,32.13,-0.43,-0.43,0.44,0.0,0.01,0.06,0.07,-0.49,-0.49,0.47,0.0,-0.02,0.08,0.06,-1.41,-2.25,-5.17,-4.98,-1.41,-2.24,-5.16,-4.97,4.73,3.19,2.27,1.36,0.12,0.05,2.05,17.77,523652.0___NA__
KKRRAFTON Develo,521238.0,__NA__,Computers - Hardware,214.0,-96.52,-96.56,-0.07,97.02,0.44,-0.02,0.43,-0.02,-0.02,0.0,0.0,-0.02,0.01,-0.02,-96.62,-96.62,-95.85,-100.78,-96.58,-96.58,-95.81,-100.74,0.05,-0.03,-0.03,-0.03,0.0,0.01,0.0,2092.05,521238.0___NA__
KKV Agro Powers,-1.0,KKVAPOW,Trading,1119.2,3.0,2.99,-0.03,-2.75,0.21,3.05,4.23,6.58,6.46,-0.35,-3.42,2.68,0.37,4.23,5.45,9.26,8.61,5.47,11.85,20.18,29.53,32.0,-28.31,-22.15,-12.76,-3.29,2.3,0.07,0.1,63.44,-1.0_KKVAPOW
KLG Capital,530771.0,__NA__,Finance & Investments,13.38,0.04,0.04,0.0,-0.04,0.0,0.01,0.01,-0.12,-0.12,1.42,-1.33,-0.02,0.03,0.01,-0.99,-0.9,-8.17,-10.4,-0.99,-0.9,-8.17,-10.4,10.41,10.28,-0.18,1.42,0.01,1.64,0.01,4.28,530771.0___NA__
KM Sugar Mills,532673.0,KMSUGAR,Sugar,43.24,28.76,3.08,-34.16,6.81,1.41,5.85,11.11,-2.76,73.05,-105.43,29.81,-2.57,8.42,6.33,-2.26,-34.81,15.57,28.09,107.13,111.05,191.23,275.95,-313.64,-235.78,-200.09,-151.29,5.84,8.84,11.48,397.81,532673.0_KMSUGAR
KMC Speciality,524520.0,__NA__,Healthcare,85.19,38.42,-36.82,-55.91,20.5,3.01,1.84,22.68,-11.77,32.33,-47.99,15.84,0.17,1.67,38.79,-32.88,-40.85,-31.58,-16.41,99.87,136.17,164.41,185.63,-216.64,-210.82,-182.78,-132.41,17.7,6.37,0.87,1389.46,524520.0___NA__
KMF Builders,531578.0,__NA__,Construction,7.91,0.74,0.74,0.44,-0.11,1.08,3.09,8.87,-1.99,-1.93,0.22,-0.09,-1.8,4.88,3.09,-0.64,1.74,3.19,2.16,-0.57,2.26,3.81,2.78,1.19,0.5,0.49,0.81,4.2,1.47,0.18,9.64,531578.0___NA__
KMG Milk Food,519415.0,__NA__,Food - Processing - Indian,33.07,-0.82,-0.84,-0.02,2.91,2.07,0.2,2.28,-1.07,-0.95,0.67,0.32,0.05,0.16,0.2,-3.08,-2.72,-5.2,-3.89,-2.88,-2.47,-4.9,-1.57,-1.55,0.59,0.6,0.61,0.95,0.0,1.05,17.54,519415.0___NA__
KN Agri Resource,-1.0,KNAGRI,Solvent Extraction,199.95,21.53,20.99,2.65,-8.84,15.34,17.51,17.51,-11.5,-6.33,-1.16,-9.47,-16.96,34.47,17.51,2.92,22.19,,,8.98,30.38,,,,,-16.36,-14.87,9.51,,,499.85,-1.0_KNAGRI
Knowledge Marine,543273.0,__NA__,Miscellaneous,1376.0,38.36,-19.52,-71.96,28.21,-5.39,55.99,55.99,4.32,21.22,-22.75,34.96,33.42,22.57,55.99,17.58,29.06,22.82,,94.17,100.97,115.21,,,-160.63,-140.8,-125.24,11.53,7.42,,1486.21,543273.0___NA__
KNR Construct.,532942.0,KNRCON,Construction,346.05,-315.64,-392.96,-15.08,496.13,165.4,190.98,410.89,1100.29,1194.13,66.81,-1217.35,43.6,147.37,220.2,17.3,-127.61,-72.94,-373.41,542.05,697.08,1173.56,1863.48,-1688.0,-645.43,-298.65,-356.75,147.84,27.47,33.81,9732.14,532942.0_KNRCON
Kobo Biotech,531541.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,3.81,0.2,0.2,0.0,-0.15,0.05,0.13,0.18,0.87,0.87,0.0,-0.87,0.0,0.13,0.13,107.72,124.71,177.13,234.37,94.83,111.82,164.24,221.48,25.09,25.09,25.09,25.09,1.56,0.13,0.13,9.08,531541.0___NA__
Kody Technolab,-1.0,KODYTECH,Computers - Software - Medium / Small,3101.05,-9.06,-12.67,-3.52,20.62,8.04,0.1,0.15,-8.08,-1.34,-6.94,8.27,-0.01,0.16,0.15,-20.79,,,,-10.32,,,,,,,-10.58,0.09,,,1976.54,-1.0_KODYTECH
Kohinoor Foods,512559.0,KOHINOOR,Food - Processing - Indian,42.38,28.18,22.84,-4.82,-24.71,-1.34,1.8,0.45,20.74,21.5,-0.12,-21.02,0.36,1.43,1.8,128.63,107.26,351.32,639.26,128.75,63.97,310.43,613.44,53.87,52.77,44.03,-0.33,1.53,3.59,22.33,157.11,512559.0_KOHINOOR
Kokuyo Camlin,523207.0,KOKUYOCMLN,Printing & Stationery,155.35,18.84,1.09,-17.67,0.04,1.21,8.25,9.7,19.97,27.48,-7.41,-18.83,1.24,7.01,8.49,32.7,142.65,123.9,36.35,64.12,190.41,212.43,239.26,-154.51,-84.36,-41.45,-30.66,7.05,10.5,14.09,1558.22,523207.0_KOKUYOCMLN
Kolte Patil Dev.,532924.0,KOLTEPATIL,Construction,436.95,-111.01,-152.95,-133.8,318.84,74.03,225.73,410.02,127.88,192.5,-44.95,-68.23,79.32,146.41,353.33,292.96,748.86,1040.88,1199.43,436.43,1095.15,1392.32,1605.74,-563.44,-464.47,-517.88,-293.98,163.91,63.82,79.68,3321.01,532924.0_KOLTEPATIL
Kome-on Commun.,539910.0,__NA__,Entertainment / Electronic Media Software,1.71,-0.06,-0.06,0.0,0.0,-0.06,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.01,0.02,0.45,0.44,0.01,0.03,0.36,0.35,0.39,0.39,0.29,0.0,0.01,0.02,0.0,2.57,539910.0___NA__
Konark Synth,514128.0,__NA__,Textiles - Processing,20.77,1.41,1.43,0.2,-1.48,0.12,0.21,0.34,3.35,0.57,3.04,-3.45,0.17,0.05,0.21,11.18,26.78,17.75,29.85,2.84,-20.65,14.1,31.67,72.71,43.71,49.33,8.79,0.25,1.19,1.95,12.07,514128.0___NA__
Konndor Indust.,532397.0,__NA__,Trading,11.42,-0.46,-0.47,-0.01,0.0,-0.47,0.55,0.08,0.06,0.06,0.0,0.0,0.06,0.48,0.55,0.06,0.03,0.08,-2.84,0.09,0.18,0.23,-2.69,2.71,-0.16,-0.16,-0.03,0.01,0.05,0.01,6.31,532397.0___NA__
Konstelec Engg.,-1.0,KONSTELEC,Engineering - Turnkey Services,185.5,-20.84,-22.05,0.04,27.59,6.79,0.41,9.69,-6.23,-4.57,-0.62,4.98,-0.21,0.62,9.69,-28.36,-35.48,-25.85,,-24.98,-32.1,-19.15,,,-174479.87,-174476.06,-0.7,5.26,5.27,,280.11,-1.0_KONSTELEC
Kontor Space,-1.0,KONTOR,Miscellaneous,103.9,0.32,-4.19,-9.36,14.55,5.51,2.08,2.08,-2.68,3.47,-6.32,4.89,2.04,0.04,2.08,-7.0,,,,4.69,,,,,,,-16.7,0.23,,,64.21,-1.0_KONTOR
Kopran,524280.0,KOPRAN,Pharmaceuticals - Indian - Bulk Drugs & Formln,259.95,43.26,-13.35,-43.55,0.99,0.69,7.4,14.2,-27.19,34.02,-12.65,-19.84,1.53,5.87,12.58,-116.88,-56.54,-48.37,4.32,43.8,134.75,185.93,276.73,-250.9,-214.25,-178.42,-140.62,6.9,3.96,6.88,1253.26,524280.0_KOPRAN
Kore Digital,-1.0,KDL,Transmisson Line Towers / Equipment,1712.55,-8.26,-15.78,-7.52,55.98,40.2,0.06,40.26,-2.68,0.43,-3.11,1.42,-1.26,1.32,0.06,-17.15,-17.23,,,-6.52,-6.23,,,,,-11.07,-10.7,0.14,,,686.39,-1.0_KDL
Kore Foods,500458.0,__NA__,Food - Processing - Indian,8.73,-0.28,-0.28,0.0,0.36,0.07,0.01,0.08,-0.42,-0.42,0.0,0.42,0.0,0.0,0.01,2.21,2.22,0.84,-2.18,-1.16,-1.15,-2.53,-5.75,3.57,3.37,3.37,3.37,0.02,0.0,0.01,10.17,500458.0___NA__
Kotak Mah. Bank,500247.0,KOTAKBANK,Banks - Private Sector,1803.0,15685.01,14592.93,-9096.93,15515.11,22103.19,42925.34,42925.35,-2203.06,-1242.43,-10380.71,1883.0,-9740.14,52665.48,42925.35,20064.9,70852.03,61424.96,81013.43,22750.94,74250.9,65680.87,86229.67,-75528.09,-63419.36,-54621.3,-30380.54,47716.62,31264.46,25588.55,358427.66,500247.0_KOTAKBANK
Kothari Ferment.,507474.0,__NA__,Food - Processing - Indian,68.03,8.63,1.48,-7.19,-1.38,0.06,0.15,0.46,2.86,6.05,-2.57,-3.49,-0.02,0.18,0.35,1.0,-9.54,-11.04,-15.23,24.2,46.25,68.77,93.22,-106.79,-78.98,-55.13,-22.53,0.71,0.92,0.77,102.05,507474.0___NA__
Kothari Indl,509732.0,__NA__,Trading,8.27,14.6,62.11,61.02,-74.84,0.78,0.38,1.16,3.2,3.49,-0.3,-0.69,2.51,0.17,0.38,46.88,45.6,41.42,52.25,-4.1,-29.0,-32.72,-22.98,88.93,87.63,88.18,64.48,0.19,0.33,1.21,15.8,509732.0___NA__
Kothari Petroche,-1.0,KOTHARIPET,Petrochemicals,139.7,71.52,56.52,-44.4,-33.03,-5.91,11.77,11.71,6.71,26.22,-26.19,4.87,4.9,6.87,14.57,61.4,111.19,154.45,179.78,116.27,173.06,216.32,249.98,-164.38,-157.4,-119.97,-102.6,14.79,7.71,23.74,822.07,-1.0_KOTHARIPET
Kothari Products,530299.0,KOTHARIPRO,Trading,137.75,161.92,178.74,35.0,-198.11,-1.19,32.51,32.89,239.49,240.94,-167.85,-80.87,-7.78,40.29,43.06,1086.47,1148.3,-987.47,-902.45,1072.42,1129.39,-923.41,-840.09,1462.07,1377.57,13.43,-119.52,103.46,229.84,273.69,411.1,530299.0_KOTHARIPRO
Kothari Sugars,-1.0,KOTARISUG,Sugar,59.32,15.58,-1.79,-35.57,-12.36,-32.35,-37.0,0.18,23.68,45.12,-18.7,-15.14,11.28,-48.27,0.26,14.95,102.12,159.78,184.64,58.01,166.75,229.35,266.47,-109.84,-105.04,-93.83,-67.72,0.41,7.53,2.73,491.68,-1.0_KOTARISUG
Kotia Enterprise,539599.0,__NA__,Trading,19.26,-0.17,-0.15,0.43,0.0,0.26,0.33,0.59,-9.24,-9.24,9.71,-0.16,0.31,0.02,0.33,-14.03,12.46,-2.04,-2.44,-14.04,12.52,-1.94,-2.28,16.36,15.53,13.23,10.49,9.08,36.7,4.21,13.52,539599.0___NA__
Kotyark Indust.,-1.0,KOTYARK,Miscellaneous,993.05,-15.35,-65.98,-50.8,67.44,1.29,0.11,0.06,-27.96,1.77,-29.82,27.54,-0.51,0.57,0.06,-97.82,-108.45,,,-16.43,-24.38,,,,,-84.45,-81.59,0.3,0.14,,1020.75,-1.0_KOTYARK
Koura Fine Diamo,544139.0,__NA__,Diamond Cutting / Jewellery,44.68,-1.32,-1.36,-0.04,5.3,3.95,0.1,0.1,-2.94,-2.72,-0.22,3.04,0.1,0.0,0.1,,,,,,,,,,,,,,,,16.09,544139.0___NA__
Kovai Medical,523323.0,__NA__,Healthcare,4289.85,344.13,205.95,-138.17,-243.49,-37.53,248.59,211.06,136.07,262.91,-357.5,-85.7,-180.29,198.24,248.59,504.72,406.26,214.8,351.32,868.83,1206.54,1419.54,1700.14,-2121.69,-1846.04,-1302.58,-787.55,154.58,101.89,68.13,4693.11,523323.0___NA__
Kovil. Lak. Rol.,507598.0,__NA__,Food - Processing - Indian,189.8,16.61,7.66,-8.33,-8.31,-0.03,0.14,0.17,10.95,8.94,2.11,-11.14,-0.09,0.21,0.16,3.84,32.43,58.71,59.84,37.67,63.96,102.31,102.93,-42.48,-42.76,-30.63,-33.06,0.19,0.33,0.36,171.61,507598.0___NA__
KP Green Engg.,544150.0,__NA__,Engineering,592.6,-42.14,-55.37,-13.23,213.89,158.52,3.54,3.54,6.46,11.86,-5.4,-6.12,0.33,3.21,3.54,-46.25,-52.11,,,-25.99,-24.97,,,,,-27.15,-20.27,3.68,,,2963.0,544150.0___NA__
KPI Green Energy,542323.0,KPIGREEN,Construction,1802.05,-57.41,-143.54,-386.79,561.81,117.62,52.4,170.01,-151.21,159.38,-309.43,176.8,26.76,25.64,52.4,-383.01,-552.15,,,204.35,217.52,,,,,-1067.51,-885.62,21.68,1.99,,10863.23,542323.0_KPIGREEN
KPIT Technologi.,542651.0,KPITTECH,Computers - Software - Medium / Small,1687.85,1001.77,846.88,-563.7,-239.98,198.08,454.21,770.53,334.83,462.45,-167.2,-183.1,112.15,342.06,549.13,1588.2,2477.67,2602.6,,1939.21,2955.55,3106.68,,,-1646.39,-1662.26,-1022.93,700.8,220.66,,46271.34,542651.0_KPITTECH
KPT Industries,505299.0,__NA__,Engineering,784.0,4.61,-2.07,-6.16,1.95,0.4,0.27,2.65,8.16,13.53,-5.88,-8.42,-0.76,1.04,2.96,5.97,27.69,41.65,60.81,17.06,42.82,58.5,80.16,-21.12,-12.1,-8.88,-10.67,2.64,3.62,3.42,266.55,505299.0___NA__
Kranti Industrie,542459.0,__NA__,Auto Ancillaries,69.0,-0.55,-7.49,-7.45,4.9,-3.1,3.21,0.14,0.17,5.61,-5.41,2.5,2.7,0.01,2.71,-3.89,-8.38,-3.69,,14.22,25.81,37.31,,,-41.63,-34.2,-18.55,1.59,1.47,0.05,78.74,542459.0___NA__
Kratos Energy,501261.0,__NA__,Miscellaneous,323.2,0.01,0.01,0.0,0.0,0.01,0.03,0.04,-1.31,-1.31,0.0,1.2,-0.11,0.13,0.02,-1.68,-2.61,-3.49,-1.67,-1.68,-2.6,-3.37,-1.88,1.24,2.33,3.43,0.0,0.51,1.11,1.03,32.32,501261.0___NA__
KRBL,530813.0,KRBL,Food - Processing - Indian,291.4,226.47,141.09,-87.44,-156.94,-17.91,42.72,30.21,-419.17,-360.1,206.36,4.78,-148.96,191.68,47.52,242.0,1766.31,1653.81,2148.29,427.19,2022.8,1968.7,3073.88,-794.35,-181.08,-152.6,-87.4,161.86,5.27,4.76,6669.84,530813.0_KRBL
Krebs Biochem,524518.0,KREBSBIO,Pharmaceuticals - Indian - Bulk Drugs,72.93,2.3,-5.03,-7.82,5.56,0.05,0.09,0.14,-35.58,-24.71,-12.65,37.34,-0.01,0.1,0.09,-81.35,-166.33,-176.26,-265.39,-39.63,-89.7,-91.99,-163.71,-94.85,-83.23,-76.14,-43.37,0.71,17.32,0.12,157.23,524518.0_KREBSBIO
Kreon Finnancial,530139.0,__NA__,Finance & Investments,42.75,-1.27,-1.99,-25.12,28.01,1.61,1.38,21.19,-6.8,-5.76,-0.99,6.74,-0.01,1.39,1.49,-13.79,-17.62,-20.84,-20.77,-10.81,-14.25,-17.29,-17.22,-25.71,-25.71,-27.72,-27.33,1.33,1.06,0.13,86.45,530139.0___NA__
Kretto Syscon,531328.0,__NA__,Construction,1.21,-0.39,-0.39,0.0,0.0,-0.39,0.43,0.04,0.15,0.17,-0.02,0.0,0.15,0.27,0.43,-0.11,-0.29,-1.57,-13.89,-0.09,-0.27,-1.52,-13.12,-0.77,1.4,-0.02,-0.02,0.17,0.32,0.16,18.97,531328.0___NA__
Kridhan Infra,533482.0,KRIDHANINF,Trading,4.56,-4.73,-4.77,0.11,5.12,0.5,0.91,1.41,1.95,1.8,0.2,-1.45,0.55,0.36,0.91,-3.05,-9.87,-103.73,-55.67,-3.02,-5.72,-60.05,41.21,-185.76,-133.36,3.49,1.38,0.58,15.29,30.16,43.22,533482.0_KRIDHANINF
Krishana Phosch.,-1.0,KRISHANA,Fertilizers,294.2,-81.64,-119.44,-36.51,120.75,2.6,0.02,5.21,-226.16,-32.77,-190.14,222.93,0.01,0.01,0.02,-436.64,-427.01,-405.08,-418.2,-119.49,-87.16,-43.97,-11.75,-395.87,-351.33,-330.38,-310.63,0.02,0.04,0.04,1781.48,-1.0_KRISHANA
Krishanveer Forg,513369.0,__NA__,Castings & Forgings,95.17,0.52,0.0,-0.43,-0.11,-0.03,2.36,1.19,6.52,7.4,-0.79,-0.53,6.07,-3.71,0.81,1.42,7.75,9.52,17.92,3.22,12.71,17.01,30.44,-12.89,-8.29,-4.54,-1.54,1.46,0.9,0.55,104.12,513369.0___NA__
Krishca Strapp.,-1.0,KRISHCA,Steel - Medium / Small,325.0,1.63,-15.91,-19.26,18.16,0.52,0.14,0.14,2.36,6.72,-4.48,-2.39,-0.16,0.16,0.14,-14.92,-22.2,,,8.39,6.34,,,,,-30.35,-25.13,0.23,,,392.27,-1.0_KRISHCA
Krishival Foods,-1.0,KRISHIVAL,Food - Processing - Indian,215.0,-33.55,-43.38,-9.91,46.28,2.83,3.22,3.22,-31.79,-29.11,-2.42,13.48,-18.05,21.27,3.22,-71.36,-65.59,,,-58.2,-51.62,,,,,-14.0,-13.09,1.28,0.42,,479.35,-1.0_KRISHIVAL
Krishna Capital,539384.0,__NA__,Finance & Investments,22.11,-0.36,-0.36,0.34,0.0,-0.02,0.04,0.02,-0.32,-0.32,0.34,0.0,0.02,0.02,0.04,-1.01,-1.7,-2.43,,-1.01,-1.7,-2.43,,,1.72,1.72,1.0,0.03,0.0,,6.98,539384.0___NA__
Krishna Defence,-1.0,KRISHNADEF,Diversified - Medium / Small,1040.85,-3.23,-5.55,-37.19,45.42,5.0,0.09,7.91,-10.06,-7.3,1.43,5.87,0.01,0.09,7.91,-13.59,-9.99,,,-6.58,2.66,,,,,-43.6,-39.3,9.66,9.02,,1426.49,-1.0_KRISHNADEF
Krishna Fil. Ind,500248.0,__NA__,Textiles - Products,3.79,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.08,0.08,-0.06,0.0,0.02,0.0,0.03,0.07,-0.12,-0.04,-0.1,0.07,-0.12,-0.04,-0.1,0.01,0.01,0.01,-0.06,0.02,0.14,0.01,2.95,500248.0___NA__
Krishna Institu.,543308.0,KIMS,Healthcare,2110.35,521.09,-124.84,-752.56,216.76,-14.72,61.61,49.01,-139.81,432.09,-484.45,88.34,35.98,25.63,66.37,-110.62,301.79,407.45,,1277.21,1834.68,2074.35,,,-2300.91,-2127.42,-1648.53,284.44,10.2,8.42,16888.64,543308.0_KIMS
Krishna Vent.,504392.0,__NA__,Construction,89.21,0.12,-2.1,-2.21,-0.08,-2.17,2.48,0.31,-5.86,0.12,2.31,-0.01,2.42,0.06,2.48,-9.36,-9.67,-9.97,-14.56,-1.16,-1.47,-1.68,-6.27,7.01,1.87,1.67,1.55,0.01,0.0,0.0,96.34,504392.0___NA__
Kriti Industries,526423.0,KRITI,Plastics Products,188.9,58.43,18.32,-45.9,-12.3,0.23,0.06,20.65,-1.21,26.81,-30.67,3.76,-0.09,0.15,13.12,2.85,39.64,55.51,68.31,89.27,150.73,199.09,252.25,-186.4,-149.73,-113.14,-83.59,21.96,12.15,8.6,936.93,526423.0_KRITI
Kriti Nutrients,533210.0,KRITINUT,Solvent Extraction,109.0,49.81,41.12,-29.19,-30.4,-9.77,19.04,22.46,13.34,19.86,-3.13,-1.4,15.32,3.72,21.74,35.09,46.51,76.9,69.59,59.16,81.64,122.62,122.78,-67.47,-64.73,-56.92,-52.3,5.18,1.91,1.93,546.15,533210.0_KRITINUT
Kritika Wires,-1.0,KRITIKA,Steel - Medium / Small,19.31,13.89,5.14,-10.63,14.29,17.55,1.39,23.49,-7.77,-4.62,6.56,-3.1,-1.16,2.55,1.68,13.76,32.48,30.34,,26.32,46.38,50.24,,,-19.22,-9.43,-7.45,6.04,4.46,,514.18,-1.0_KRITIKA
Kronox Lab,544187.0,KRONOX,Chemicals,153.75,17.42,5.15,-17.31,0.0,0.1,2.48,3.64,11.27,19.67,-5.52,-13.4,0.75,2.81,3.56,21.72,34.35,,,46.11,61.9,,,,,-37.31,-30.43,2.05,,,570.46,544187.0_KRONOX
Krsnaa Diagnost.,543328.0,KRSNAA,Healthcare,615.95,24.39,-168.61,-128.88,84.21,-20.27,22.13,53.03,-59.25,75.48,-108.54,-33.13,-66.19,88.32,108.21,-230.32,-219.64,-255.15,,228.58,385.05,505.43,,,-877.12,-622.54,-478.52,152.91,111.62,7.19,1988.88,543328.0_KRSNAA
Krypton Industri,523550.0,__NA__,Tyres,42.33,0.69,-0.46,-1.51,-0.13,-0.96,1.42,0.8,-1.72,-0.4,-0.91,1.76,0.45,0.97,1.79,2.83,6.0,,,6.27,13.11,,,,,-6.11,-3.38,2.76,,,62.23,523550.0___NA__
Krystal Integrat,544149.0,KRYSTAL,Miscellaneous,815.6,-1.64,-13.23,-111.19,191.26,78.43,8.83,178.72,67.45,80.16,-43.91,-27.54,8.71,0.12,18.61,65.51,44.35,55.22,,91.93,104.02,151.11,,,-237.2,-206.17,-165.56,25.96,20.22,,1139.57,544149.0_KRYSTAL
