Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization,join_key
Organic Coatings,531157.0,__NA__,Chemicals,17.0,24.06,-5.49,21.22,9.13,-4.07,3.76,-1.55,-4.33,52.36,6.11,-4.26,-15.61,21.22,9.13,,,,,0.0,-1.21,-0.93,0.19,0.44,13.05,531157.0___NA__
Organic Recyclin,543997.0,__NA__,Miscellaneous,301.95,29.97,,55.09,,16.69,16.69,,,45.65,,,,26.06,,,,,,,,,,,232.5,543997.0___NA__
Oriana Power Ltd,-1.0,ORIANA,Power Generation And Supply,2517.9,125.23,,322.34,,57.55,57.55,,,189.7,,,,129.3,,,,,,,14.75,,23.81,,4829.99,-1.0_ORIANA
Oricon Enterpris,513121.0,ORICONENT,Packaging,38.3,-30.5,-33.41,-15.43,,0.19,-20.52,-25.65,-16.48,,,,,-15.43,,,,,,0.65,-1.81,11.49,15.53,43.1,601.48,513121.0_ORICONENT
Orient Bell,530365.0,ORIENTBELL,Ceramics - Tiles / Sanitaryware,394.7,10.31,3.38,-49.13,-36.54,2.07,2.07,0.81,1.66,-12.43,-8.8,-12.23,-6.59,-49.41,-36.84,-33.92,-8.5,-33.66,-7.83,0.97,14.05,,20.48,,576.05,530365.0_ORIENTBELL
Orient Beverages,507690.0,__NA__,Miscellaneous,396.25,47.45,13.99,34.58,6.89,30.18,30.18,19.12,,130.72,14.82,16.92,,34.58,6.89,36.95,,36.95,,4.59,-0.1,,6.31,,85.59,507690.0___NA__
Orient Cement,535754.0,ORIENTCEM,Cement - South India,269.35,11.08,4.78,-6.38,29.77,7.78,7.78,7.87,8.29,-6.43,7.35,13.52,7.54,-6.38,29.77,33.6,5.59,33.6,5.59,0.53,171.96,117.77,336.93,252.82,5518.14,535754.0_ORIENTCEM
Orient Ceratech,504879.0,ORIENTCER,Refractories / Intermediates,50.3,1.61,0.25,6.85,-3.55,4.95,9.69,5.44,6.16,-1.46,-5.39,5.19,1.9,6.85,-3.55,9.97,6.84,9.97,6.84,0.0,13.42,14.41,22.33,24.26,601.78,504879.0_ORIENTCER
Orient Electric,541301.0,ORIENTELEC,Domestic Appliances,271.05,11.43,8.57,-19.89,-2.62,11.19,10.59,44.24,,-10.91,0.92,30.6,,-20.04,-2.73,,,26.61,,-0.21,92.54,,147.66,,5783.29,541301.0_ORIENTELEC
Orient Green,533263.0,GREENPOWER,Power Generation And Supply,20.43,1.81,-3.47,34.71,21.53,-9.32,4.86,-4.71,-4.12,4.09,-6.05,-5.25,-0.25,34.71,21.53,12.95,7.79,12.98,7.98,-19.31,0.03,-51.27,123.92,121.4,2003.61,533263.0_GREENPOWER
Orient Paper,502420.0,ORIENTPPR,Paper,55.18,23.34,3.22,28.74,-40.64,5.85,-11.77,7.2,-6.18,77.87,-10.41,8.71,0.09,28.74,-40.64,-9.23,3.71,-9.23,3.71,0.0,8.11,17.98,23.53,42.79,1170.81,502420.0_ORIENTPPR
Orient Press,526325.0,ORIENTLTD,Packaging,106.6,6.48,-2.96,19.22,,-0.7,-0.7,-1.52,-0.46,10.56,-8.98,-7.13,-3.1,19.22,,,,,,-0.05,-2.99,-0.46,2.71,5.83,106.6,526325.0_ORIENTLTD
Orient Tradelink,531512.0,__NA__,Construction,12.49,-2.75,-15.02,-37.0,-21.91,-7.25,-12.74,0.48,14.91,-6.42,-11.3,19.6,66.93,-39.32,-23.58,-9.3,,-7.89,,1.79,0.56,0.27,0.9,0.55,30.65,531512.0___NA__
Oriental Aromat.,500078.0,OAL,Chemicals,389.45,5.67,2.08,-55.39,-31.18,0.69,-2.02,8.99,,-29.91,-14.25,-2.41,,-55.39,-31.18,-20.68,,-14.92,,0.0,54.21,,82.0,,1310.63,500078.0_OAL
Oriental Carbon,506579.0,OCCL,Chemicals,207.0,6.53,1.42,-16.49,-9.66,4.79,-0.84,4.91,3.43,-5.81,-4.62,2.1,3.75,-16.49,-9.66,-0.44,1.99,-0.87,1.68,0.0,57.57,56.37,85.8,84.52,206.8,506579.0_OCCL
Oriental Hotels,500314.0,ORIENTHOT,Hotels,136.85,50.26,2.54,39.06,24.86,-0.34,-0.34,2.32,1.01,85.23,12.71,10.44,6.43,39.06,24.86,39.63,24.66,39.63,24.66,0.24,0.68,2.55,30.47,28.7,2444.13,500314.0_ORIENTHOT
Oriental Rail,531859.0,__NA__,Miscellaneous,276.7,33.71,30.46,24.82,20.59,14.49,61.69,27.24,,27.3,25.57,21.72,,19.48,17.46,19.15,,21.4,,-3.04,17.71,12.63,35.8,24.73,1700.56,531859.0___NA__
Oriental Trimex,532817.0,ORIENTALTL,Trading,10.93,-41.52,-45.01,-50.65,,-5.07,-53.0,-32.53,-22.75,,,,-6.57,-43.86,,,5.59,,3.78,-0.84,-3.66,-1.62,0.16,1.24,32.15,532817.0_ORIENTALTL
Orissa Bengal,541206.0,OBCL,Miscellaneous,61.04,-0.62,-7.38,-12.98,-18.78,-3.44,-10.57,6.59,,-12.34,-16.21,-1.95,,-12.98,-18.78,-28.88,,1.7,,2.55,5.67,4.94,9.65,9.27,128.67,541206.0_OBCL
Orissa Minerals,590086.0,ORISSAMINE,Mining / Minerals / Metals,7210.0,,,20.95,14.06,-57.03,-57.03,,,24.54,14.79,,,20.95,14.06,,,,,0.0,-121.19,-81.5,-134.85,-85.36,4326.0,590086.0_ORISSAMINE
Orosil Smiths,531626.0,__NA__,Diamond Cutting / Jewellery,3.88,0.0,-20.66,-6.08,-1.63,-21.28,-21.28,-16.52,-19.58,-1.47,-3.04,,,-6.08,-1.63,-8.52,-2.31,-8.53,-2.28,-24.49,-0.31,-0.28,-0.31,-0.26,16.04,531626.0___NA__
Ortel Commu.,539015.0,ORTEL,Entertainment / Electronic Media Software,1.67,-28.25,-18.38,-12.54,,0.39,-21.16,-8.7,-3.32,-54.82,-42.25,-27.15,-16.82,-8.34,,-12.67,-0.9,,-7.47,,-24.86,-15.13,-9.48,5.18,5.51,539015.0_ORTEL
Ortin Labs.,539287.0,ORTINLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,19.89,-34.62,-57.66,,,-1.83,-27.1,-37.55,-28.68,,,,,,,,,,,-9.17,-1.62,-0.39,-0.22,2.18,16.16,539287.0_ORTINLAB
Oscar Global,530173.0,__NA__,Leather / Leather Products,8.7,,,23.76,14.59,-39.39,-100.0,,,23.61,14.58,,,23.76,14.59,,,,,0.22,-0.87,-0.69,-0.87,-0.64,2.87,530173.0___NA__
Osia Hyper Reta.,-1.0,OSIAHYPER,Trading,23.56,53.6,37.79,50.02,17.22,56.26,48.14,42.69,121.1,61.21,32.05,52.35,,39.61,5.6,26.9,,54.27,,-17.19,10.24,6.64,29.69,17.97,278.3,-1.0_OSIAHYPER
Osiajee Texfab,540198.0,__NA__,Trading,38.74,-21.66,,42.6,,-15.52,-15.52,,,30.5,,,,42.6,,,,,,0.0,,,,,20.91,540198.0___NA__
Oswal Agro Mills,500317.0,OSWALAGRO,Trading,45.21,-60.02,,-41.77,-29.54,2.51,-62.35,-26.08,-16.67,-27.41,-18.06,-13.1,-12.44,-41.77,-29.54,-23.94,-16.15,-23.94,-16.15,0.17,20.63,22.24,8.86,10.5,606.85,500317.0_OSWALAGRO
Oswal Green Tech,539290.0,OSWALGREEN,Finance & Investments,36.71,-21.03,-13.02,-49.69,-33.23,-7.3,-7.3,-8.64,-8.0,-43.0,-25.94,-20.17,-18.36,-49.69,-33.23,-27.76,-21.82,-27.76,-21.82,0.01,45.55,45.27,67.97,64.48,942.75,539290.0_OSWALGREEN
Oswal Leasing,509099.0,__NA__,Finance & Investments,37.88,-7.58,-1.28,,,-5.88,6.25,-0.92,-4.98,,,,,,,,,,,0.0,-0.01,-0.02,0.0,0.0,1.89,509099.0___NA__
Oswal Yarns,514460.0,__NA__,Trading,18.55,-19.22,-7.66,,,-4.93,9.0,-10.87,-8.9,,,,,,,,-21.32,,-21.32,0.0,-0.09,-0.05,-0.06,0.04,7.44,514460.0___NA__
OTCO Intl,523151.0,__NA__,Miscellaneous,7.97,-21.21,51.72,-47.72,15.85,56.0,56.0,4.37,36.43,-35.43,18.04,4.92,30.2,-47.72,15.85,-5.59,7.39,-5.63,,0.0,0.16,0.24,0.19,0.33,10.34,523151.0___NA__
Ovobel Foods,530741.0,__NA__,Food - Processing - Indian,206.4,16.4,12.41,128.2,25.93,7.68,11.72,13.15,5.18,265.62,20.67,65.23,2.98,128.2,25.93,32.38,20.75,32.38,20.75,54.57,11.59,7.81,16.81,12.01,216.73,530741.0___NA__
Owais Metal,-1.0,OWAIS,Mining / Minerals / Metals,1369.0,,,,,,,,,,,,,,,,,,,,,,,,2489.16,-1.0_OWAIS
Oxygenta Pharma,524636.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs,32.17,-8.67,14.09,,-1.72,27.91,16.32,25.35,32.21,,,,,,10.8,8.89,5.79,4.86,1.82,16.52,-4.86,-4.95,-5.54,-5.08,114.15,524636.0___NA__
P & G Health Ltd,500126.0,PGHL,Pharmaceuticals - Multinational,5055.25,-3.21,11.99,-3.69,22.7,8.74,10.48,3.92,5.99,-4.05,20.63,17.91,10.53,-3.69,22.7,22.81,11.31,22.81,11.31,0.0,337.59,200.3,409.92,251.94,8391.72,500126.0_PGHL
P & G Hygiene,500459.0,PGHH,Personal Care - Multinational,16654.3,9.28,9.8,15.99,12.39,5.81,9.14,8.07,8.86,11.85,7.11,3.91,10.9,15.99,12.39,6.95,12.59,6.95,12.59,0.0,553.71,466.73,751.35,667.17,54061.1,500459.0_PGHH
P B A Infra.,532676.0,__NA__,Construction,11.25,47.58,-6.59,212.51,17.84,-36.23,-47.81,-5.35,-14.58,51.86,4.03,4.3,-7.98,212.51,17.84,14.12,21.7,14.12,21.7,0.0,-21.33,-21.18,-20.02,-3.34,15.18,532676.0___NA__
P I Industries,523642.0,PIIND,Pesticides / Agrochemicals - Indian,3842.25,18.76,21.96,31.57,33.08,18.08,18.5,18.94,16.99,24.86,28.86,20.91,21.78,31.57,30.58,18.7,22.95,20.37,24.29,-0.65,989.81,673.64,1212.32,837.09,58293.9,523642.0_PIIND
P. H. Capital,500143.0,__NA__,Finance & Investments,201.5,49.49,25.63,25.03,116.67,14.63,14.63,19.62,20.74,20.41,388.37,79.63,52.06,25.03,116.67,129.71,54.88,129.71,54.88,0.0,7.09,4.32,10.13,6.38,60.46,500143.0___NA__
P.E. Analytics,-1.0,PROPEQUITY,Miscellaneous,290.0,,,,,20.99,20.99,,,,,,,,,,,,,,,,,,303.98,-1.0_PROPEQUITY
P.M. Telelinnks,513403.0,__NA__,Trading,5.45,28.98,6.11,16.96,-9.25,-11.77,-4.18,13.2,0.04,6.92,-9.38,-10.0,-5.8,16.96,-9.25,-10.21,-7.26,-10.21,-7.26,1.45,0.19,-0.38,0.25,-0.42,5.49,513403.0___NA__
Pace E-Commerce,543637.0,__NA__,Trading,30.5,193.11,,224.41,,50.9,50.9,,,134.78,,,,202.78,,,,,,,0.72,,1.35,,68.73,543637.0___NA__
Pacheli Indust.,523862.0,__NA__,Finance & Investments,15.7,51.13,30.75,-53.58,-27.52,-8.82,-93.55,16.38,17.14,-58.51,-30.12,-29.88,-16.4,-53.58,-27.52,-25.7,-14.87,-25.7,-14.87,-7.72,0.02,0.04,0.03,0.06,5.86,523862.0___NA__
Pacific Inds,523483.0,__NA__,Miscellaneous,240.95,2.15,14.49,4.5,160.86,1.74,1.74,10.42,,1.23,35.71,18.06,,4.54,160.92,23.46,,23.44,,-6.83,8.99,,15.07,,166.09,523483.0___NA__
Padam Cotton,531395.0,__NA__,Finance & Investments,40.01,,,,,-98.2,-100.0,,,,,,,,,,,,,0.0,-0.34,-0.22,-0.36,-0.19,15.5,531395.0___NA__
Padmalaya Tele.,532350.0,__NA__,Entertainment / Electronic Media Software,2.98,,,,8.76,-8.26,-100.0,,,,11.01,8.79,,,8.76,8.81,5.88,8.81,5.88,0.0,0.18,-0.17,0.16,-0.17,5.06,532350.0___NA__
Padmanabh Alloys,531779.0,__NA__,Plastics Products,31.29,13.01,4.05,38.67,-0.41,1.86,1.86,6.65,7.59,22.45,2.83,0.35,-0.7,38.67,-0.41,-5.25,-3.56,-5.25,-3.56,-5.4,0.29,0.47,0.73,0.92,16.93,531779.0___NA__
Padmanabh Inds.,526905.0,__NA__,Chemicals,8.03,,,21.32,9.0,-100.0,-100.0,-14.79,,24.93,11.84,0.0,,21.32,9.0,,,,,0.78,-0.3,-0.15,-0.3,-0.14,4.88,526905.0___NA__
PAE,517230.0,__NA__,Auto Ancillaries,4.26,,,27.87,15.4,-80.85,-96.97,,,-34.58,16.62,10.59,7.75,27.87,15.4,10.47,7.22,10.47,7.23,-3.06,-2.77,-5.79,-1.0,-3.69,4.44,517230.0___NA__
Pagaria Energy,531396.0,__NA__,Mining / Minerals / Metals,8.78,,,71.0,20.11,-34.29,-78.15,,,20.51,6.96,0.0,5.76,71.0,20.11,25.85,,25.85,,0.0,0.02,0.02,0.03,0.02,3.82,531396.0___NA__
Page Industries,532827.0,PAGEIND,Textiles - Products,38909.85,17.38,9.94,18.63,8.1,16.34,3.27,11.57,14.45,17.7,6.83,10.66,13.08,18.63,8.1,11.46,14.07,11.46,14.07,-3.21,472.25,378.62,665.04,555.58,43384.45,532827.0_PAGEIND
Paisalo Digital,532900.0,PAISALO,Finance & Investments,75.06,23.96,12.81,45.78,25.94,13.31,13.31,13.94,11.69,28.37,16.59,16.28,13.08,42.91,23.4,17.59,11.16,19.32,12.3,3.79,93.29,72.19,322.27,248.34,6740.7,532900.0_PAISALO
Pakka,516030.0,PAKKA,Paper,251.8,30.14,10.09,42.5,18.5,0.85,0.85,12.83,10.63,29.82,13.6,16.36,15.06,37.57,16.02,25.23,33.32,28.73,38.02,2.64,36.9,23.78,63.34,46.19,986.25,516030.0_PAKKA
Palash Securi.,540648.0,PALASHSECU,Finance & Investments,142.95,-11.24,-2.03,7.74,,-1.37,-1.37,-1.96,,-1.04,,,,7.74,,,,,,5.05,-9.71,,-9.18,,142.99,540648.0_PALASHSECU
Palco Metals Ltd,539121.0,__NA__,Castings & Forgings,82.99,26.82,11.75,30.88,42.02,16.54,21.77,,,41.81,37.25,82.79,,30.88,42.02,55.92,,55.92,,0.0,1.89,0.94,4.3,2.51,33.2,539121.0___NA__
Palm Jewels,541444.0,__NA__,Trading,21.47,28.08,35.83,71.0,27.23,60.2,45.45,80.94,55.71,62.19,33.67,81.14,,71.0,14.78,2.58,,62.56,,-8.99,0.18,0.1,0.34,0.19,21.56,541444.0___NA__
Palred Technolog,532521.0,PALREDTEC,Computers - Software - Medium / Small,105.15,-0.29,27.86,,9.68,16.01,16.01,15.95,,-25.06,18.72,12.48,,,10.82,8.61,,7.67,,-7.72,-1.44,-4.74,2.02,-3.67,128.63,532521.0_PALREDTEC
Pan Electronics,517397.0,__NA__,Electronics - Components,64.03,,189.4,-28.36,,-100.0,-14.48,29.63,,-44.8,,-10.59,5.85,-28.36,,-25.81,4.69,-25.81,4.69,0.0,-3.29,-2.17,-2.75,-1.89,25.61,517397.0___NA__
Pan India Corpor,511525.0,__NA__,Finance & Investments,2.13,,,24.39,14.66,-100.0,-100.0,-26.94,-18.77,24.39,14.66,9.25,7.16,24.39,14.66,9.25,7.16,9.25,7.16,0.0,-0.43,-2.02,-0.43,-2.0,45.65,511525.0___NA__
Panabyte Tech,538742.0,__NA__,Trading,25.57,-27.42,-14.73,-25.31,,-14.58,-14.58,-14.12,13.05,27.87,5.02,-5.82,9.84,-25.31,,,,,,-13.72,-0.07,0.05,0.16,0.19,11.23,538742.0___NA__
Panacea Biotec,531349.0,PANACEABIO,Pharmaceuticals - Indian - Bulk Drugs & Formln,135.45,-3.63,4.13,20.87,13.46,5.83,14.84,0.39,0.92,-59.55,15.38,-32.91,7.7,20.87,13.46,5.39,6.49,5.39,6.49,0.0,-126.54,-122.39,-17.16,-14.43,829.64,531349.0_PANACEABIO
Panache Digilife,-1.0,PANACHE,Computers - Hardware,117.5,7.56,0.72,8.67,-0.27,8.91,8.91,3.0,,1.18,3.53,3.19,,8.67,-0.27,-7.55,,-2.72,,-1.6,1.16,,5.71,,141.0,-1.0_PANACHE
Panafic Industri,538860.0,__NA__,Finance & Investments,1.23,10.79,-7.79,-58.51,-36.25,-5.56,-5.41,-8.22,-0.57,-41.52,-34.02,-34.93,-5.44,-58.51,-36.25,-35.7,-21.39,-35.7,0.0,-5.08,0.06,0.13,0.18,0.31,10.09,538860.0___NA__
Panama Petrochem,524820.0,PANAMAPET,Petrochemicals,396.55,17.66,13.17,12.97,30.34,5.46,5.46,16.01,14.01,11.06,21.21,19.29,23.76,12.97,30.34,24.06,27.13,24.05,26.61,-5.86,164.46,102.11,219.18,144.43,2398.87,524820.0_PANAMAPET
Panasonic Carbon,508941.0,__NA__,Electrodes - Graphites,527.0,1.61,2.54,-0.6,8.65,2.17,2.17,0.7,3.93,-0.92,6.49,1.21,9.14,-0.6,8.65,2.9,10.55,2.9,10.55,-0.03,16.51,14.48,22.19,20.39,252.94,508941.0___NA__
Panasonic Energy,504093.0,__NA__,Dry Cells,520.0,7.97,7.11,2.81,18.51,1.2,4.87,4.96,2.68,2.75,15.77,6.65,2.11,2.81,18.51,9.14,4.65,9.14,4.65,0.0,6.23,8.59,8.4,12.34,390.0,504093.0___NA__
Panch.Organics,531726.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs,183.8,28.59,16.97,41.22,28.42,4.31,4.31,14.85,10.45,34.27,24.31,17.97,16.85,33.71,24.28,20.69,21.14,23.55,23.14,-10.14,9.37,6.27,13.26,9.18,216.55,531726.0___NA__
Panchmahal Steel,513511.0,__NA__,Steel - Medium / Small,226.95,8.05,-1.15,-28.69,3.02,2.58,-12.48,3.8,2.72,-8.24,-4.46,-1.09,5.51,-28.69,3.02,39.42,11.15,39.42,11.15,2.28,7.41,2.22,21.35,14.68,433.02,513511.0___NA__
Panjon,526345.0,__NA__,Pharmaceuticals - Indian - Formulations,19.7,-4.68,-13.52,16.96,2.71,0.93,-27.59,-1.53,-4.21,-8.37,-9.8,-3.14,9.6,14.99,1.66,3.44,11.21,4.2,11.39,0.0,-0.62,-0.42,-0.59,-0.45,32.13,526345.0___NA__
Pankaj Piyush,506122.0,__NA__,Finance & Investments,244.5,,,103.08,66.38,11.29,-65.25,,,55.85,36.95,-2.22,19.19,103.08,66.38,-0.55,17.06,-0.55,17.06,0.0,0.03,0.14,0.08,0.21,9.78,506122.0___NA__
Pankaj Polymers,531280.0,__NA__,Trading,9.83,11.78,16.5,-6.47,13.03,-17.02,-1.12,-15.33,-24.79,44.22,19.2,13.42,-19.15,-6.47,13.03,9.56,,9.56,,3.77,-0.16,-0.4,-0.09,-0.16,5.45,531280.0___NA__
Panorama Studios,539469.0,__NA__,Entertainment / Electronic Media Software,905.0,79.26,79.73,96.13,109.24,18.34,18.34,,,70.1,64.19,,,62.4,74.92,,,,,1.0,14.99,,28.84,,1207.87,539469.0___NA__
Pansari Develop.,-1.0,PANSARI,Construction,102.15,16.1,41.21,11.49,22.48,66.9,66.9,52.84,,8.49,17.21,23.03,,11.49,22.48,23.78,,23.78,,-0.05,3.4,3.08,7.03,5.83,178.23,-1.0_PANSARI
Panth Infinity,539143.0,__NA__,Trading,7.25,-39.79,-21.34,,,-9.39,7.96,-32.92,1.57,,,,,,,,,,,-43.01,0.07,0.04,0.12,0.08,13.39,539143.0___NA__
Panyam Cement,500322.0,__NA__,Cement - South India,229.3,,12.65,,3.71,-6.73,-100.0,-7.55,9.91,,-0.97,,-4.42,,-20.48,,,,-11.05,42.37,0.48,-10.26,23.96,14.56,183.93,500322.0___NA__
Paos Industries,530291.0,__NA__,Detergents / Intermediates,29.29,,,24.05,0.0,-100.0,,,,25.08,-1.73,,5.24,24.05,3.08,-6.75,,,,0.0,-0.85,-0.81,-0.71,-0.42,17.88,530291.0___NA__
Par Drugs & Che.,-1.0,PAR,Pharmaceuticals - Indian - Bulk Drugs,245.0,16.33,15.6,12.88,42.02,9.32,20.55,10.1,13.37,12.49,22.7,15.34,12.21,12.87,33.41,19.39,24.35,34.3,35.02,0.35,9.95,5.69,13.6,9.34,301.47,-1.0_PAR
Paradeep Phosph.,543530.0,PARADEEP,Fertilizers,85.71,30.87,21.58,-23.97,-9.58,23.18,23.18,,,8.11,7.89,,,-85.41,-66.42,,,,,,248.98,,555.92,,6983.46,543530.0_PARADEEP
Parag Milk Foods,539889.0,PARAGMILK,Food - Processing - Indian,176.0,19.45,5.55,60.64,-5.71,12.49,8.51,8.88,11.17,17.33,-1.09,11.38,10.23,42.95,-12.09,24.03,-2.96,27.81,18.66,-3.59,-54.1,0.16,11.31,66.11,2101.05,539889.0_PARAGMILK
Paragon Finance,531255.0,__NA__,Finance & Investments,57.69,5.09,-2.32,43.67,-5.31,-12.79,-12.79,-4.87,-4.06,35.91,-10.1,-10.17,-8.47,43.67,-5.31,-3.46,3.0,-3.46,3.0,6.01,0.64,0.86,0.86,1.54,24.52,531255.0___NA__
Paragon Fine,-1.0,PARAGON,Chemicals,124.0,13.37,,47.94,,18.64,18.64,,,41.32,,,,-74.52,,,,,,,,,,,242.62,-1.0_PARAGON
Paramount Comm.,530555.0,PARACABLES,Cables - Power,72.95,27.4,11.76,202.94,24.04,9.55,12.01,19.13,10.03,71.75,16.27,22.9,22.57,161.06,10.7,13.89,9.63,17.95,12.44,-12.8,34.22,-11.18,40.9,8.84,2213.57,530555.0_PARACABLES
Paramount Cosmet,507970.0,__NA__,Personal Care - Indian,42.74,7.61,-0.05,-61.11,16.59,1.49,10.61,-6.48,-7.47,-12.6,-10.78,-10.34,-6.16,-61.11,16.59,12.08,-35.06,12.08,-35.06,0.0,-0.72,-0.12,1.51,2.57,20.74,507970.0___NA__
Paras Defence,543367.0,PARAS,Engineering,1459.25,20.93,10.42,24.13,9.58,13.97,13.97,,,9.37,5.19,,,13.55,-25.46,,,,,,25.7,,42.67,,5691.11,543367.0_PARAS
Paras Petrofils,521246.0,PARASPETRO,Textiles - Manmade,3.71,,,,,-100.0,-100.0,,,,,,,,,,5.58,,5.58,1.05,0.47,0.57,0.47,0.43,124.0,521246.0_PARASPETRO
Parin Furniture,-1.0,PARIN,Miscellaneous,235.0,-0.79,2.83,-20.92,-11.06,0.91,0.91,,,-10.31,-1.31,,,-20.92,-11.06,,,,,0.0,3.55,,8.78,,261.27,-1.0_PARIN
Parker Agrochem,524628.0,__NA__,Miscellaneous,19.71,35.19,10.13,35.47,29.01,-48.13,26.68,-8.54,-29.88,52.17,56.97,11.7,4.68,35.47,29.01,47.63,13.19,47.63,13.19,0.0,-0.45,-0.22,-0.24,-0.09,9.43,524628.0___NA__
Parle Industries,532911.0,__NA__,Construction,11.81,,,-46.87,-50.0,-51.63,-100.0,,,0.0,-42.69,6.67,4.62,-46.87,-50.0,-4.03,11.61,-4.03,11.61,-26.0,0.07,0.14,0.1,0.24,16.51,532911.0___NA__
Parmax Pharma,540359.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs,30.79,-24.98,-1.62,,,-15.57,-15.57,,,,,,,,,,,,,0.03,-0.91,-0.44,-0.29,-0.12,11.52,540359.0___NA__
Parnax Lab,506128.0,__NA__,Pharmaceuticals - Indian - Formulations,102.0,27.96,11.65,203.56,23.83,3.11,2.81,10.33,10.45,33.89,14.59,8.94,10.0,176.91,16.61,9.88,10.42,14.7,13.79,9.7,4.64,3.81,11.95,10.3,117.15,506128.0___NA__
Parshva Enterpr.,542694.0,__NA__,Trading,175.95,34.56,28.79,14.47,-2.09,35.38,35.38,,,13.37,2.53,,,11.15,-9.71,,,,,1.65,0.24,,0.39,,176.83,542694.0___NA__
Parshwanath Corp,511176.0,__NA__,Construction,61.2,10.27,-1.92,19.43,3.9,13.46,13.46,13.71,-2.24,12.96,-2.98,11.41,48.17,19.43,3.9,24.36,19.17,24.36,18.12,0.0,0.38,0.32,0.44,0.35,19.17,511176.0___NA__
Parsvnath Devl.,532780.0,PARSVNATH,Construction,13.42,9.03,-12.67,-20.97,-25.34,-30.35,5.51,7.69,-1.81,,-5.4,,,-20.97,-25.34,,,,,-2.48,-523.09,-314.49,-42.5,18.25,584.02,532780.0_PARSVNATH
Party Cruisers,-1.0,PARTYCRUS,Miscellaneous,130.5,89.88,27.03,151.71,26.5,16.59,52.82,25.12,21.5,125.79,27.21,34.66,22.6,151.43,18.48,-28.33,-23.15,40.69,23.23,0.0,2.83,1.94,3.85,2.77,146.66,-1.0_PARTYCRUS
Parvati Sweetner,541347.0,__NA__,Sugar,12.16,11.24,6.19,13.42,95.56,16.64,16.64,6.82,,9.92,1.34,3.92,,4.67,86.35,,,6.5,,-1.49,1.06,,4.57,,181.35,541347.0___NA__
Pasari Spinning,521080.0,__NA__,Textiles - Cotton/Blended,9.55,5.36,1.84,26.98,9.75,1.47,1.47,12.11,,5.04,-0.39,15.98,-0.38,26.98,9.75,13.81,11.88,13.81,11.88,-0.43,0.21,0.03,0.28,0.16,13.17,521080.0___NA__
Pashupati Cotsp.,-1.0,PASHUPATI,Textiles - Cotton/Blended,475.0,14.29,4.13,16.05,-7.66,11.47,11.08,13.23,24.77,4.13,-1.97,3.92,19.6,16.05,-14.69,,,-8.6,38.48,4.05,5.88,7.32,20.73,21.83,725.99,-1.0_PASHUPATI
Pasupati Acrylon,500456.0,PASUPTAC,Textiles - Manmade,38.0,4.44,-6.96,-32.58,-13.59,-0.55,-19.6,3.21,0.98,-26.84,-13.99,-12.98,-3.01,-32.58,-13.59,-13.9,4.11,-13.9,4.11,0.0,30.22,29.34,45.14,47.77,338.7,500456.0_PASUPTAC
Pasupati Fincap,511734.0,__NA__,Finance & Investments,3.26,,,16.26,,,,,,19.68,,-12.27,,16.26,,,,,,0.0,-0.11,-0.48,-0.1,-0.47,1.53,511734.0___NA__
Pasupati Spinng.,503092.0,__NA__,Textiles - Spinning - Synthetic / Blended,36.05,17.55,-0.86,27.76,42.78,-7.55,-2.41,-4.57,-6.2,95.54,-5.56,-5.13,-2.79,27.76,42.78,-4.26,21.34,-4.26,21.34,0.0,-1.05,-0.38,3.64,5.33,33.67,503092.0___NA__
Patanjali Foods,500368.0,PATANJALI,Solvent Extraction,1637.2,24.8,20.04,4.02,58.18,3.05,24.4,7.99,2.67,14.22,46.78,24.4,6.88,-2.75,55.66,14.26,52.41,14.55,53.64,-25.13,673.95,-448.08,1064.92,8.47,59265.79,500368.0_PATANJALI
Patdiam Jeweller,539401.0,__NA__,Diamond Cutting / Jewellery,219.0,15.24,8.52,30.44,39.69,-0.05,-0.05,12.7,10.93,27.41,23.7,16.77,12.21,30.44,39.69,29.5,13.58,29.5,22.66,0.0,5.04,3.2,8.03,5.98,94.54,539401.0___NA__
Patel Engineerin,531120.0,PATELENG,Construction,66.1,31.58,13.98,70.72,14.49,3.85,10.79,2.27,2.07,30.2,7.35,2.5,3.48,67.34,8.5,21.05,19.27,23.87,32.28,-20.13,83.96,55.52,493.08,523.76,5581.32,531120.0_PATELENG
Patel Integrated,526381.0,PATINTLOG,Miscellaneous,22.99,11.03,-8.29,380.3,-2.63,-6.67,4.41,-6.18,-6.06,2.7,-11.51,-9.82,-4.05,383.78,-2.21,-5.12,8.22,-4.89,8.91,-5.95,3.19,5.27,8.75,13.32,148.46,526381.0_PATINTLOG
